ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
35902331;61457575;1124639;91767968;36727000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1121548.95248457.1121812.1124639.61457575
35929200;39796374;1126012;60270012;36727000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1121548.95248457.1121812.1126012.39796374
95140858;33552177;1139683;51127527;36638432101;0;0;2025-09-30;1970-01-01;2079-06-06;0;1121548.95248279.95248294.1151868.1139683.33552177
235203787;164816558;1159857;599888146;36614404;0;249622567;2025-09-29;2024-08-22;2025-09-29;0;1121548.95248153.95248159.1159857.164816558
238896199;168336660;1159857;608746078;36614404;0;249695017;2025-10-01;2024-12-05;2025-10-01;0;1121548.95248153.95248159.1159857.168336660
244631836;170419029;1157795;640983775;36614157056;0;0;2025-09-29;2025-02-19;2079-06-06;0;1121548.95248153.95248157.1155924.1157795.170419029
246809016;172394479;1141086;646400344;36628155051;0;0;2025-09-30;2025-05-23;2079-06-06;0;1121548.95248391.95248393.1147205.1141086.172394479
249271630;174608094;1133691;688961269;36701310;0;249620111;2025-09-29;2025-09-12;2025-09-29;0;1121548.95248444.95248446.1125825.1133691.174608094
249586278;174913184;1138996;689632276;36628416101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248398.1141051.1138996.174913184
249586277;174913183;1138996;689632275;36628416101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248398.1141051.1138996.174913183
249586441;174913346;1126187;689633159;36727000106;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248457.1123950.1126187.174913346
249586545;174913448;1128397;689633322;36704000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248454.1122019.1128397.174913448
249586579;174913482;1124640;689633376;36704000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248454.1122019.1124640.174913482
249588368;174915262;1141357;689637194;36626424101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248190.95248197.1139081.1141357.174915262
249588395;174915289;1138296;689637238;36626424101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248190.95248197.1139081.1138296.174915289
249588427;174915321;1142618;689637290;36626424101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248190.95248197.1139081.1142618.174915321
249588422;174915316;1137801;689637279;36626424106;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248190.95248197.1138529.1137801.174915316
249588448;174915342;1139432;689637318;36626424101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248190.95248197.1139081.1139432.174915342
249588451;174915345;1149006;689637321;36628163;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248394.1149006.174915345
249588493;174915387;1148305;689637373;36628163051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248394.1138937.1138994.1148305.174915387
249588569;174915463;1148305;689637453;36628163051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248394.1138937.1138994.1148305.174915463
249590098;174916987;174896972;689639992;36614404;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248159.96249953.174896972.174916987
249590100;174916989;174896972;689639994;36614404;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248159.96249953.174896972.174916989
249590102;174916991;174896972;689639996;36614404;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248159.96249953.174896972.174916991
249590204;174917093;174896972;689640211;36614404;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248159.96249953.174896972.174917093
249590206;174917095;174896972;689640213;36614404;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248159.96249953.174896972.174917095
249590228;174917117;1141987;689640268;36628163;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248394.1148540.1141987.174917117
95326807;88087426;1159857;130320497;36614404;0;249590342;2025-09-29;2018-06-21;2025-09-29;0;1121548.95248153.95248159.1159857.88087426
95327522;88100770;1159857;130336840;36614404;0;249590465;2025-09-29;2018-06-21;2025-09-29;0;1121548.95248153.95248159.1159857.88100770
244631835;170419028;1157795;640983774;36614157056;0;0;2025-09-29;2025-02-19;2079-06-06;0;1121548.95248153.95248157.1155924.1157795.170419028
115898652;103050825;1148641;230413660;36614157;0;0;2025-09-29;2021-11-29;2079-06-06;0;1121548.95248153.95248157.1159368.1148641.103050825
249590944;174917825;1149265;689642543;36638158051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248279.95248282.1141007.1149265.174917825
249590946;174917827;1149265;689642545;36638158051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248279.95248282.1141007.1149265.174917827
249590948;174917829;1149265;689642547;36638158051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248279.95248282.1141007.1149265.174917829
249590950;174917831;1149265;689642549;36638158051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248279.95248282.1141007.1149265.174917831
249590952;174917833;1149265;689642551;36638158051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248279.95248282.1141007.1149265.174917833
249590954;174917835;1149265;689642553;36638158051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248279.95248282.1141007.1149265.174917835
249590956;174917837;1139978;689642578;36628424156;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248400.1145253.1139978.174917837
249591609;174918478;1138508;689643721;36713000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248456.1121900.1138508.174918478
249591610;174918479;1138508;689643724;36713000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248456.1121900.1138508.174918479
249591743;174918612;1148050;689644034;36618428101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248266.95248273.1138006.1148050.174918612
249591753;100790595;1143216;689644060;36618448111;112982677;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248266.95248278.1137199.1143216.100790595
249593225;174920086;1143825;689646261;36624424101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248252.95248256.1136835.1143825.174920086
249593226;174920087;1143825;689646263;36624424101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248252.95248256.1136835.1143825.174920087
249593244;174920104;1148641;689646291;36614157;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248157.1159368.1148641.174920104
249593367;174920225;1153230;689646513;36614157;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248157.1153230.174920225
249593457;174920315;1146788;689646642;36640457101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248357.95248360.1140967.1146788.174920315
249593488;168301149;174896972;689646685;36614404;238860381;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248159.96249953.174896972.168301149
238860380;168301148;1159857;608693986;36614404;0;249595289;2025-09-29;2024-12-04;2025-09-29;0;1121548.95248153.95248159.1159857.168301148
95326993;88098810;1159857;130334434;36614404;0;249595414;2025-09-29;2018-06-21;2025-09-29;0;1121548.95248153.95248159.1159857.88098810
238860386;168301154;1159857;608693992;36614404;0;249595563;2025-09-29;2024-12-04;2025-09-29;0;1121548.95248153.95248159.1159857.168301154
94883640;6555445;1142405;11471784;36640457101;0;0;2025-09-29;1960-01-01;2079-06-06;0;1121548.95248357.95248360.1140967.1142405.6555445
249597686;168301155;174896972;689652923;36614404;238860387;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248159.96249953.174896972.168301155
249598002;174924714;1142405;689653359;36640457101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248357.95248360.1140967.1142405.174924714
249608290;163099348;174896972;689665969;36614404;233264872;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248159.96249953.174896972.163099348
249608709;168301985;174896972;689666429;36614404;238861220;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248159.96249953.174896972.168301985
235203790;164816561;1159857;599888149;36614404;0;249609540;2025-09-29;2024-08-22;2025-09-29;0;1121548.95248153.95248159.1159857.164816561
249609571;174929382;173367780;689667442;36628163051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248394.1138937.1139213.173367780.174929382
249609584;174929395;173367780;689667473;36628163051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248394.1138937.1139213.173367780.174929395
249610258;174930069;161346810;689668730;36628163051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248394.1138937.1139213.161346810.174930069
249610310;167032050;174896972;689668841;36614404;237552464;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248153.95248159.96249953.174896972.167032050
249610328;174930138;1138277;689668875;36628163;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248394.1142590.1138277.174930138
249610381;174930191;163871107;689668946;36628163051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1121548.95248391.95248394.1138937.1139213.163871107.174930191
235198539;164811342;1159857;599878996;36614404;0;249610447;2025-09-29;2024-08-21;2025-09-29;0;1121548.95248153.95248159.1159857.164811342
