OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
72061530;47fcdb9a-4880-4316-9d72-d23ad72f7b8c;689748076;1;10;2018-02-08;2025-09-30
1131416;e2eaeba1-0132-4ecf-8155-c67492a54b9d;689756837;1;7;2017-12-10;2025-09-30
30152897;3a222b9d-8a63-4b55-a262-184ece8925d6;689808496;1;10;2014-09-10;2025-10-01
31258955;3a4d591d-7efe-4237-a3e0-241321fa208b;689642745;1;10;2018-08-23;2025-09-29
31414145;8fe4fffe-0d46-4260-a4e9-84ace2ee1baa;689743674;0;11;2017-11-24;2025-09-30
160761886;6ebc428b-0a7f-40ee-8a5a-40034609da1e;689645012;1;10;2023-10-19;2025-09-29
32116037;3e1f1ae4-cec3-4d5d-9e38-23540b15ae69;689646606;1;10;2017-12-17;2025-09-29
59200166;fa8d9d6e-353b-4cd2-a2bc-80096dd3bce7;689710503;0;10;2019-06-28;2025-09-30
173121383;76fa4597-e378-477b-b779-707e0a121ca8;689796581;1;9;2025-06-26;2025-10-01
62848613;4da9fc09-ee2b-4ad6-97c2-a79412fcdad6;689712431;1;10;2019-07-10;2025-09-30
30099021;4abf0903-01bd-478d-a64b-4fd45961674f;689748123;1;10;2018-02-08;2025-09-30
28277635;c6d8e879-40c3-44f1-b92b-0fd4f898e908;689785752;1;10;2018-02-08;2025-10-01
72739168;206be8eb-49a3-4842-afee-df5431cf819d;689809690;0;10;2019-07-10;2025-10-01
64427168;cc99c37e-87e7-4629-8822-127632cd2c40;689679582;0;10;2019-04-13;2025-09-29
55951002;5b7ab891-464a-44fa-a465-127304969f62;689796945;0;10;2017-02-08;2025-10-01
9646416;5d2bfba3-380e-4370-92d9-f47db49dfb5a;689816073;1;11;2018-10-25;2025-10-01
9646777;9ec35672-b7c9-4088-af1c-568e7042b050;689817220;1;11;2018-10-25;2025-10-01
77193871;7378890b-48c7-4a5d-b0df-657b6acc441e;689793954;0;10;2019-07-10;2025-10-01
48794572;5ab25148-6ca0-4856-ba93-fa7070095a0e;689793960;0;10;2019-07-10;2025-10-01
35341375;a7925915-d312-48e1-ac06-2f44c5d1e91a;689790584;1;10;2017-12-18;2025-10-01
65940143;8d4039a0-a66a-43d1-919e-269b00171f28;689811073;1;11;2019-03-31;2025-10-01
32328543;b78f8462-2c67-4f00-9368-8f409c0cc997;689794096;0;10;2019-07-10;2025-10-01
35851665;a52136ff-7b5e-405b-a726-0169f6974f34;689643720;0;11;2019-04-08;2025-09-29
36140960;6e9e0bac-3229-47b3-ade3-c22fb8354b5c;689745259;1;10;2019-07-10;2025-09-30
44761309;0585cf73-754c-46f1-a596-93fcc8d3ac60;689796542;0;10;2019-07-10;2025-10-01
36320574;1fd136ee-06b7-4b3a-8b5f-5a1ec56ee1d7;689756015;1;10;2019-01-23;2025-09-30
36362868;baa71958-d274-44f9-a124-9616909e19d6;689696700;1;10;2019-01-21;2025-09-29
36479688;f741c51d-32a0-43bb-b83f-51ab7527db40;689696732;1;10;2019-01-23;2025-09-29
83837187;8286bf5b-d9d5-469d-8257-93a40239c1aa;689675680;1;10;2018-10-11;2025-09-29
41824272;9a8e9d5b-b43e-4977-9f5f-aad8fcab14e4;689694392;1;10;2018-11-01;2025-09-29
158204338;04a09b84-6ec9-4682-bea9-b735c26dbade;689744957;1;10;2023-03-02;2025-09-30
60340727;e5c83d80-8a74-4bd5-a7fc-c33be8c4b970;689645030;1;10;2018-10-01;2025-09-29
35085210;ce8b09ad-7295-42fd-a0bf-8499d0e7a241;689807422;1;10;2019-07-10;2025-10-01
30137800;94d01532-1b7a-472e-ad06-a2f33ba1564c;689637552;1;10;2017-07-17;2025-09-29
36469072;2fb11104-8e7b-4216-92da-508d24130527;689755695;1;10;2019-01-25;2025-09-30
67393202;71c02fbb-2409-46c4-8d7c-106eca8795a7;689708658;1;10;2017-12-17;2025-09-30
33552177;371eadf7-448e-4207-96a1-c2c70da8af23;689742579;0;10;2018-10-24;2025-09-30
44790452;683a0845-73b1-4119-b935-a542b23af6bf;689794124;0;10;2019-07-10;2025-10-01
42421773;b4e20967-f9bc-4dee-8202-0be436e1f164;689675544;1;10;2018-10-12;2025-09-29
29211495;a1e2edca-ff2a-456a-9f96-1e9fc2944a5c;689640178;1;10;2018-12-21;2025-09-29
45248112;01dba2ef-9adb-4f3e-b40d-de22e8e32f91;689745765;1;10;2019-07-10;2025-09-30
40272402;c3ef79fd-917e-46b0-ac8d-8330b1298878;689794091;0;10;2019-07-10;2025-10-01
34966093;8258d30e-d0e6-427b-8033-9193e81b9d4c;689809878;1;10;2018-02-08;2025-10-01
36421005;54ddcbd5-9282-4ca0-865f-0734335bbd29;689696853;1;10;2019-01-23;2025-09-29
33895786;6feebd46-a92c-473d-a1d4-b9eda2744c62;689790686;0;10;2019-07-10;2025-10-01
15667620;9d3d259e-6ee5-4c94-888e-d405c6b0ff8a;689816023;0;10;2018-12-26;2025-10-01
44231396;47581d7a-c13e-4cbe-815a-2f0034a0e016;689731891;0;10;2019-07-10;2025-09-30
36679560;725a2a72-005d-48f0-9c16-2e5b5518dd25;689807620;1;10;2018-02-08;2025-10-01
39796374;0ab8140b-fe5d-4e6e-916f-eab8757089ea;689808939;0;10;2019-07-10;2025-10-01
59210595;cbdb94aa-b3c7-4148-b361-fe4daac6a548;689718392;0;10;2019-06-28;2025-09-30
70655938;d0b96c55-fed7-406e-a9d2-19cd375c135b;689644982;1;10;2018-10-05;2025-09-29
49194010;6b989085-b334-45cd-839f-9da5681efa60;689811946;1;10;2018-11-02;2025-10-01
49337677;8ff58400-8ecb-4e23-b444-e5509e14bb63;689754819;1;10;2019-07-10;2025-09-30
34921656;2fc31cb9-4e41-43aa-bb1d-663f3ba939eb;689649561;1;10;2019-07-10;2025-09-29
50922805;0d84d8fd-0d61-43fe-8f20-43e6b62cfbf0;689732738;1;11;2017-05-02;2025-09-30
66695826;01037822-b76d-46a2-9e4a-fc61ff8c7eb6;689637005;1;10;2018-09-16;2025-09-29
83080861;d697a403-9f85-4d9d-b557-1bd0a9879f61;689649350;1;10;2017-12-17;2025-09-29
53975034;8ba4adde-b311-4043-ac71-b923c60dd3ad;689811656;1;10;2019-07-10;2025-10-01
54361581;3d2d40ec-d72c-445e-95cc-41d0c66b59cd;689695014;1;10;2019-07-10;2025-09-29
55329908;31cbfc16-d38d-4524-a718-094cae81aeb2;689633156;1;10;2017-02-08;2025-09-29
56484952;4c5fb154-c6a6-459d-a83e-df5346038eec;689695339;1;10;2019-01-24;2025-09-29
