ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
641905775;95674999;139363375;689634204;8;64:48:000000:10595;2025-09-29;2020-02-19;2025-09-29
1348143499;74222442;477382831;689786968;8;64:05:240201:144;2025-10-01;2022-11-23;2025-10-01
1348147885;2463782;477386725;689753091;8;64:05:120102:118;2025-09-30;2022-11-23;2025-09-30
1348196613;79760012;477430257;689682235;8;64:22:141020:124;2025-09-29;2022-11-23;2025-09-29
1348266925;28125936;477492396;689686277;8;64:33:070201:193;2025-09-29;2022-11-23;2025-09-29
1348314664;79386195;477540135;689821576;8;64:41:410806:150;2025-10-01;2022-11-23;2025-10-01
1348956396;54029295;478181779;689752263;8;64:15:210401:1033;2025-09-30;2022-11-23;2025-09-30
1348957172;53808060;478182561;689637748;8;64:21:090309:127;2025-09-29;2022-11-23;2025-09-29
1348957362;21082554;478182751;689638144;8;64:21:070102:235;2025-09-29;2022-11-23;2025-09-29
69350052;10169172;16751036;689756587;15;61;2025-09-30;2011-12-31;2025-09-30
215823129;37124000;56334651;689747427;8;64:16:040301:541;2025-09-30;1900-01-01;2025-09-30
1484036621;9533014;574740268;689682102;8;64:22:013801:1690;2025-09-29;2023-11-20;2025-09-29
727375147;101720393;195806165;689634202;8;64:48:030227:290;2025-09-29;2021-06-30;2025-09-29
1494151834;19769634;582337765;689637771;8;64:21:090310:136;2025-09-29;2024-01-04;2025-09-29
1494163715;17604523;582349645;689750526;8;64:05:000000:15479;2025-09-30;2024-01-04;2025-09-30
1502968603;63704730;589781205;689633503;8;64:15:240501:870;2025-09-29;2024-02-13;2025-09-29
1502968001;48756724;589780607;689749025;8;64:15:130701:672;2025-09-30;2024-02-13;2025-09-30
1502968619;13461080;589781226;689720198;8;64:15:130701:676;2025-09-30;2024-02-13;2025-09-30
1502968734;14384633;589781344;689633507;8;64:15:240501:967;2025-09-29;2024-02-13;2025-09-29
1502969493;32219094;589782101;689784019;8;64:15:100901:522;2025-10-01;2024-02-13;2025-10-01
1502970333;7587736;589782940;689750453;8;64:05:130106:156;2025-09-30;2024-02-13;2025-09-30
1502971872;45001000;589784440;689638118;8;64:21:070106:159;2025-09-29;2024-02-13;2025-09-29
1502972558;74914607;589785052;689753289;8;64:05:110802:90;2025-09-30;2024-02-13;2025-09-30
1502973131;72588967;589785582;689644797;8;64:05:020601:658;2025-09-29;2024-02-13;2025-09-29
1511660201;70934445;594533697;689750429;8;64:05:130709:122;2025-09-30;2024-05-06;2025-09-30
1543740993;30845203;607054874;689751936;8;64:33:030103:1723;2025-09-30;2024-11-13;2025-09-30
1643586715;37905400;689379936;689784308;8;64:21:130706:593;2025-10-01;2025-09-23;2025-10-01
1643586720;37901172;689379942;689784329;8;64:21:130706:2010;2025-10-01;2025-09-23;2025-10-01
1643586731;47318614;689379953;689819612;8;64:21:130706:2039;2025-10-01;2025-09-23;2025-10-01
1643586746;61929094;689379959;689819621;8;64:21:130706:2062;2025-10-01;2025-09-23;2025-10-01
305529174;54032602;80869464;689631982;15;3;2025-09-29;2018-10-15;2025-09-29
1644405481;54032602;689631982;0;13;636504401610187000420004000000010;2025-09-29;2025-09-29;2079-06-06
363023636;64612718;96390663;689632037;8;64:33:010102:827;2025-09-29;2017-01-23;2025-09-29
1494154059;50648508;582339990;689632039;8;64:33:010102:520;2025-09-29;2024-01-04;2025-09-29
1644405979;174913133;689632100;0;1;6439;2025-09-29;2025-09-29;2079-06-06
1644405981;174913133;689632100;0;6;63223000165;2025-09-29;2025-09-29;2079-06-06
1644405983;174913133;689632100;0;8;64:17:190701:275;2025-09-29;2025-09-29;2079-06-06
1644405864;174913122;689632040;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644405866;174913122;689632040;0;7;63644158051;2025-09-29;2025-09-29;2079-06-06
1644405868;174913122;689632040;0;15;23;2025-09-29;2025-09-29;2079-06-06
1644405870;174913122;689632040;0;21;63644158;2025-09-29;2025-09-29;2079-06-06
1644405886;174913124;689632048;0;6;63244558000;2025-09-29;2025-09-29;2079-06-06
1644405888;174913124;689632048;0;8;64:33:010102:1706;2025-09-29;2025-09-29;2079-06-06
1644405890;174913124;689632048;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644405892;174913124;689632048;0;13;636441580510000003520046000000000;2025-09-29;2025-09-29;2079-06-06
1644405895;174913125;689632050;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644405897;174913125;689632050;0;6;63244558000;2025-09-29;2025-09-29;2079-06-06
1644405899;174913125;689632050;0;8;64:33:010102:1737;2025-09-29;2025-09-29;2079-06-06
1644405901;174913125;689632050;0;13;636441580510000003520047000000000;2025-09-29;2025-09-29;2079-06-06
1644405998;174913135;689632103;0;1;6439;2025-09-29;2025-09-29;2079-06-06
1644406000;174913135;689632103;0;6;63223000165;2025-09-29;2025-09-29;2079-06-06
1644406002;174913135;689632103;0;8;64:17:190701:206;2025-09-29;2025-09-29;2079-06-06
1644406004;174913135;689632103;0;13;636231011210000000520021000000000;2025-09-29;2025-09-29;2079-06-06
1644406016;74544387;689632105;0;8;64:17:190701:303;2025-09-29;2025-09-29;2079-06-06
1644406039;53642139;689632115;0;8;64:17:190701:223;2025-09-29;2025-09-29;2079-06-06
1644406042;174913139;689632117;0;2;6439;2025-09-29;2025-09-29;2079-06-06
1644406044;174913139;689632117;0;7;63623101121;2025-09-29;2025-09-29;2079-06-06
1644406046;174913139;689632117;0;15;16;2025-09-29;2025-09-29;2079-06-06
1644406048;174913139;689632117;0;21;63623101;2025-09-29;2025-09-29;2079-06-06
1644405984;174913133;689632100;0;15;33;2025-09-29;2025-09-29;2079-06-06
1644405986;174913133;689632100;0;21;63623101;2025-09-29;2025-09-29;2079-06-06
1644406020;174913137;689632108;0;7;63623101121;2025-09-29;2025-09-29;2079-06-06
1644406022;174913137;689632108;0;1;6439;2025-09-29;2025-09-29;2079-06-06
1644406024;174913137;689632108;0;15;34;2025-09-29;2025-09-29;2079-06-06
1644406026;174913137;689632108;0;21;63623101;2025-09-29;2025-09-29;2079-06-06
1644406067;174913142;689632120;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644406069;174913142;689632120;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644406071;174913142;689632120;0;8;64:50:031728:1006;2025-09-29;2025-09-29;2079-06-06
1644406073;174913142;689632120;0;13;636501010010000089820025000000000;2025-09-29;2025-09-29;2079-06-06
1644406075;174913143;689632121;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644406077;174913143;689632121;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644406079;174913143;689632121;0;8;64:50:031728:1007;2025-09-29;2025-09-29;2079-06-06
1644406081;174913143;689632121;0;13;636501010010000089820026000000000;2025-09-29;2025-09-29;2079-06-06
1644406104;174913146;689632127;0;1;6439;2025-09-29;2025-09-29;2079-06-06
1644406106;174913146;689632127;0;6;63223000165;2025-09-29;2025-09-29;2079-06-06
1644406108;174913146;689632127;0;8;64:17:190701:179;2025-09-29;2025-09-29;2079-06-06
1644406084;174913144;689632122;0;2;6439;2025-09-29;2025-09-29;2079-06-06
1644406086;174913144;689632122;0;7;63623101121;2025-09-29;2025-09-29;2079-06-06
1644406088;174913144;689632122;0;15;17;2025-09-29;2025-09-29;2079-06-06
1644406090;174913144;689632122;0;21;63623101;2025-09-29;2025-09-29;2079-06-06
1644406093;174913145;689632124;0;2;6439;2025-09-29;2025-09-29;2079-06-06
1644406095;174913145;689632124;0;4;6441;2025-09-29;2025-09-29;2079-06-06
1644406097;174913145;689632124;0;7;63649406101;2025-09-29;2025-09-29;2079-06-06
1644406099;174913145;689632124;0;15;22;2025-09-29;2025-09-29;2079-06-06
1644406101;174913145;689632124;0;21;63649406;2025-09-29;2025-09-29;2079-06-06
1644406111;174913146;689632127;0;21;63623101;2025-09-29;2025-09-29;2079-06-06
1644406376;27636142;689632236;0;8;64:33:090106:840;2025-09-29;2025-09-29;2079-06-06
1644406406;8206248;689632249;0;8;64:33:010102:1640;2025-09-29;2025-09-29;2079-06-06
1644406405;27631420;689632248;0;8;64:33:090105:27;2025-09-29;2025-09-29;2079-06-06
1644409342;174913497;689633400;0;2;6432;2025-09-29;2025-09-29;2079-06-06
1644409344;174913497;689633400;0;4;6444;2025-09-29;2025-09-29;2079-06-06
1644409346;174913497;689633400;0;7;63609410101;2025-09-29;2025-09-29;2079-06-06
1644409348;174913497;689633400;0;15;164;2025-09-29;2025-09-29;2079-06-06
1644409350;174913497;689633400;0;21;63609410;2025-09-29;2025-09-29;2079-06-06
1644409365;174913500;689633403;0;2;6432;2025-09-29;2025-09-29;2079-06-06
1644409367;174913500;689633403;0;4;6444;2025-09-29;2025-09-29;2079-06-06
1644409369;174913500;689633403;0;7;63609410101;2025-09-29;2025-09-29;2079-06-06
1644409371;174913500;689633403;0;15;189;2025-09-29;2025-09-29;2079-06-06
1644409373;174913500;689633403;0;21;63609410;2025-09-29;2025-09-29;2079-06-06
1644409375;174913501;689633404;0;2;6432;2025-09-29;2025-09-29;2079-06-06
1644409377;174913501;689633404;0;4;6444;2025-09-29;2025-09-29;2079-06-06
1644409379;174913501;689633404;0;7;63609410101;2025-09-29;2025-09-29;2079-06-06
1644409381;174913501;689633404;0;15;167;2025-09-29;2025-09-29;2079-06-06
1644409383;174913501;689633404;0;21;63609410;2025-09-29;2025-09-29;2079-06-06
1644409433;66247404;689633445;0;8;64:07:020201:802;2025-09-29;2025-09-29;2079-06-06
1502968703;11143070;589781312;689633508;8;64:15:240501:877;2025-09-29;2024-02-13;2025-09-29
1644409535;63704730;689633503;0;8;64:15:240501:589;2025-09-29;2025-09-29;2079-06-06
1538591962;12453562;605606129;689633534;8;64:15:200201:336;2025-09-29;2024-10-28;2025-09-29
1502968744;73867671;589781351;689633544;8;64:15:230301:389;2025-09-29;2024-02-13;2025-09-29
1644409676;49352925;689633556;0;8;64:44:050101:50;2025-09-29;2025-09-29;2079-06-06
1348173329;12445510;477409455;689633539;8;64:15:200201:325;2025-09-29;2022-11-23;2025-09-29
1644409669;60196021;689633551;0;8;64:15:230301:183;2025-09-29;2025-09-29;2079-06-06
1644409812;74096943;689633611;0;8;64:18:051302:56;2025-09-29;2025-09-29;2079-06-06
1644409817;174913532;689633614;0;1;6450;2025-09-29;2025-09-29;2079-06-06
1644409819;174913532;689633614;0;6;63401364000;2025-09-29;2025-09-29;2079-06-06
1644409821;174913532;689633614;0;8;64:48:000000:222892;2025-09-29;2025-09-29;2079-06-06
1644409823;174913532;689633614;0;13;637010000000000023720040000000000;2025-09-29;2025-09-29;2079-06-06
1644409825;103524102;689633616;0;8;64:18:000000:846;2025-09-29;2025-09-29;2079-06-06
1644409827;29845314;689633618;0;8;64:15:150301:1025;2025-09-29;2025-09-29;2079-06-06
1644409937;174913546;689633636;0;2;6439;2025-09-29;2025-09-29;2079-06-06
1644409939;174913546;689633636;0;4;6445;2025-09-29;2025-09-29;2079-06-06
1644409941;174913546;689633636;0;7;63624151051;2025-09-29;2025-09-29;2079-06-06
1644409943;174913546;689633636;0;15;124;2025-09-29;2025-09-29;2079-06-06
1644409945;174913546;689633636;0;21;63624151;2025-09-29;2025-09-29;2079-06-06
1644410006;73937504;689633645;0;8;64:15:270401:648;2025-09-29;2025-09-29;2079-06-06
1644410040;174913558;689633650;0;2;6439;2025-09-29;2025-09-29;2079-06-06
1644410042;174913558;689633650;0;4;6445;2025-09-29;2025-09-29;2079-06-06
1644410044;174913558;689633650;0;7;63624151051;2025-09-29;2025-09-29;2079-06-06
1644409997;174913553;689633644;0;2;6439;2025-09-29;2025-09-29;2079-06-06
1644409999;174913553;689633644;0;4;6445;2025-09-29;2025-09-29;2079-06-06
1644410001;174913553;689633644;0;7;63624151051;2025-09-29;2025-09-29;2079-06-06
1644410003;174913553;689633644;0;15;125;2025-09-29;2025-09-29;2079-06-06
1644410005;174913553;689633644;0;21;63624151;2025-09-29;2025-09-29;2079-06-06
1644410046;174913558;689633650;0;15;93;2025-09-29;2025-09-29;2079-06-06
1644410048;174913558;689633650;0;21;63624151;2025-09-29;2025-09-29;2079-06-06
1644410328;174913595;689633692;0;1;6439;2025-09-29;2025-09-29;2079-06-06
1644410330;174913595;689633692;0;3;6445;2025-09-29;2025-09-29;2079-06-06
1644410332;174913595;689633692;0;6;63224551000;2025-09-29;2025-09-29;2079-06-06
1644410334;174913595;689633692;0;8;64:18:000000:1096;2025-09-29;2025-09-29;2079-06-06
1644410336;174913595;689633692;0;13;636241510510000004820060000000000;2025-09-29;2025-09-29;2079-06-06
1644410346;18177179;689633694;0;8;64:18:051801:485;2025-09-29;2025-09-29;2079-06-06
1644410374;174913600;689633699;0;1;6439;2025-09-29;2025-09-29;2079-06-06
1644410376;174913600;689633699;0;3;6445;2025-09-29;2025-09-29;2079-06-06
1644410378;174913600;689633699;0;6;63224551000;2025-09-29;2025-09-29;2079-06-06
1644410380;174913600;689633699;0;8;64:18:050802:51;2025-09-29;2025-09-29;2079-06-06
1644410382;174913600;689633699;0;13;636241510510000004320079000000000;2025-09-29;2025-09-29;2079-06-06
1644410394;8450115;689633701;0;8;64:18:000000:701;2025-09-29;2025-09-29;2079-06-06
1644410397;174913602;689633703;0;2;6439;2025-09-29;2025-09-29;2079-06-06
1644410399;174913602;689633703;0;4;6445;2025-09-29;2025-09-29;2079-06-06
1644410401;174913602;689633703;0;7;63624151051;2025-09-29;2025-09-29;2079-06-06
1644410403;174913602;689633703;0;15;63;2025-09-29;2025-09-29;2079-06-06
1644410405;174913602;689633703;0;21;63624151;2025-09-29;2025-09-29;2079-06-06
172717653;29076311;44659238;689633738;8;64:18:05/901:306;2025-09-29;2015-09-30;2025-09-29
1644410453;55140480;689633740;0;8;64:50:000000:76539;2025-09-29;2025-09-29;2079-06-06
1644410484;5466488;689633771;0;8;64:50:010510:744;2025-09-29;2025-09-29;2079-06-06
1644410500;5414826;689633775;0;8;64:50:010420:562;2025-09-29;2025-09-29;2079-06-06
1644410510;30880382;689633779;0;8;64:50:011201:108;2025-09-29;2025-09-29;2079-06-06
1644410534;45413653;689633784;0;8;64:50:031744:128;2025-09-29;2025-09-29;2079-06-06
1644410540;31009545;689633788;0;8;64:50:011208:69;2025-09-29;2025-09-29;2079-06-06
1644410078;52943305;689633657;0;8;64:18:000000:719;2025-09-29;2025-09-29;2079-06-06
1644410081;174913563;689633659;0;2;6439;2025-09-29;2025-09-29;2079-06-06
1644410083;174913563;689633659;0;4;6445;2025-09-29;2025-09-29;2079-06-06
1644410085;174913563;689633659;0;7;63624151051;2025-09-29;2025-09-29;2079-06-06
1644410087;174913563;689633659;0;15;72;2025-09-29;2025-09-29;2079-06-06
1644410089;174913563;689633659;0;21;63624151;2025-09-29;2025-09-29;2079-06-06
1644410365;174913599;689633698;0;2;6439;2025-09-29;2025-09-29;2079-06-06
1644410367;174913599;689633698;0;4;6445;2025-09-29;2025-09-29;2079-06-06
1644410369;174913599;689633698;0;8;64:18:050802:75;2025-09-29;2025-09-29;2079-06-06
1644410371;174913599;689633698;0;15;78;2025-09-29;2025-09-29;2079-06-06
1644410373;174913599;689633698;0;21;63624151;2025-09-29;2025-09-29;2079-06-06
1644410385;174913601;689633700;0;2;6439;2025-09-29;2025-09-29;2079-06-06
1644410387;174913601;689633700;0;4;6445;2025-09-29;2025-09-29;2079-06-06
1644410389;174913601;689633700;0;7;63624151051;2025-09-29;2025-09-29;2079-06-06
1644410391;174913601;689633700;0;15;80;2025-09-29;2025-09-29;2079-06-06
1644410393;174913601;689633700;0;21;63624151;2025-09-29;2025-09-29;2079-06-06
1644410406;56694431;689633704;0;8;64:18:000000:833;2025-09-29;2025-09-29;2079-06-06
1644410690;174913627;689633841;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410539;45402800;689633787;0;8;64:50:031744:126;2025-09-29;2025-09-29;2079-06-06
1644410572;174913617;689633796;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410574;174913617;689633796;0;6;63250554000;2025-09-29;2025-09-29;2079-06-06
1644410576;174913617;689633796;0;8;64:50:031760:864;2025-09-29;2025-09-29;2079-06-06
1644410578;174913617;689633796;0;13;636501010550000005630058000000000;2025-09-29;2025-09-29;2079-06-06
1644410580;174913618;689633797;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410582;174913618;689633797;0;6;63250554000;2025-09-29;2025-09-29;2079-06-06
1644410584;174913618;689633797;0;8;64:50:031760:863;2025-09-29;2025-09-29;2079-06-06
1644410586;174913618;689633797;0;13;636501010550000005620059000000000;2025-09-29;2025-09-29;2079-06-06
1644410779;174913639;689633853;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410781;174913639;689633853;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410783;174913639;689633853;0;8;64:38:090152:90;2025-09-29;2025-09-29;2079-06-06
1644410785;174913639;689633853;0;13;636501010010478000020063000000000;2025-09-29;2025-09-29;2079-06-06
1644410787;174913640;689633854;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410789;174913640;689633854;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410791;174913640;689633854;0;8;64:50:000000:77358;2025-09-29;2025-09-29;2079-06-06
1644410793;174913640;689633854;0;13;636501010010478000020064000000000;2025-09-29;2025-09-29;2079-06-06
1644410795;174913641;689633855;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410797;174913641;689633855;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410799;174913641;689633855;0;8;64:38:090152:86;2025-09-29;2025-09-29;2079-06-06
1644410801;174913641;689633855;0;13;636501010010478000020065000000000;2025-09-29;2025-09-29;2079-06-06
1644410803;174913642;689633856;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410805;174913642;689633856;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410807;174913642;689633856;0;8;64:50:000000:76637;2025-09-29;2025-09-29;2079-06-06
1644410809;174913642;689633856;0;13;636501010010478000020066000000000;2025-09-29;2025-09-29;2079-06-06
1644410811;174913643;689633857;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410813;174913643;689633857;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410815;174913643;689633857;0;8;64:50:000000:76589;2025-09-29;2025-09-29;2079-06-06
1644410817;174913643;689633857;0;13;636501010010478000020067000000000;2025-09-29;2025-09-29;2079-06-06
1644410643;174913622;689633836;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410645;174913622;689633836;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410647;174913622;689633836;0;8;64:50:000000:77120;2025-09-29;2025-09-29;2079-06-06
1644410649;174913622;689633836;0;13;636501010010478000020046000000000;2025-09-29;2025-09-29;2079-06-06
1644410651;174913623;689633837;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410653;174913623;689633837;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410655;174913623;689633837;0;8;64:50:000000:77647;2025-09-29;2025-09-29;2079-06-06
1644410657;174913623;689633837;0;13;636501010010478000020047000000000;2025-09-29;2025-09-29;2079-06-06
1644410659;174913624;689633838;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410661;174913624;689633838;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410663;174913624;689633838;0;8;64:50:000000:76471;2025-09-29;2025-09-29;2079-06-06
1644410665;174913624;689633838;0;13;636501010010478000020048000000000;2025-09-29;2025-09-29;2079-06-06
1644410667;174913625;689633839;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410669;174913625;689633839;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410671;174913625;689633839;0;8;64:50:000000:77845;2025-09-29;2025-09-29;2079-06-06
1644410673;174913625;689633839;0;13;636501010010478000020049000000000;2025-09-29;2025-09-29;2079-06-06
1644410675;174913626;689633840;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410677;174913626;689633840;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410679;174913626;689633840;0;8;64:50:000000:21441;2025-09-29;2025-09-29;2079-06-06
1644410681;174913626;689633840;0;13;636501010010478000020050000000000;2025-09-29;2025-09-29;2079-06-06
1644410683;174913627;689633841;0;1;6449;2025-09-29;2025-09-29;2079-06-06
1644410685;174913627;689633841;0;6;63250501000;2025-09-29;2025-09-29;2079-06-06
1644410687;174913627;689633841;0;8;64:50:000000:77662;2025-09-29;2025-09-29;2079-06-06
1644410689;174913627;689633841;0;13;636501010010478000020051000000000;2025-09-29;2025-09-29;2079-06-06
1644410692;174913628;689633842;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410694;174913628;689633842;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410696;174913628;689633842;0;15;52;2025-09-29;2025-09-29;2079-06-06
1644410698;174913628;689633842;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410700;174913629;689633843;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410702;174913629;689633843;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410704;174913629;689633843;0;15;53;2025-09-29;2025-09-29;2079-06-06
1644410706;174913629;689633843;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410708;174913630;689633844;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410710;174913630;689633844;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410712;174913630;689633844;0;15;54;2025-09-29;2025-09-29;2079-06-06
1644410714;174913630;689633844;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410716;174913631;689633845;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410718;174913631;689633845;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410720;174913631;689633845;0;15;55;2025-09-29;2025-09-29;2079-06-06
1644410722;174913631;689633845;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410724;174913632;689633846;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410726;174913632;689633846;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410728;174913632;689633846;0;15;56;2025-09-29;2025-09-29;2079-06-06
1644410730;174913632;689633846;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410732;174913633;689633847;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410734;174913633;689633847;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410736;174913633;689633847;0;15;57;2025-09-29;2025-09-29;2079-06-06
1644410738;174913633;689633847;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410740;174913634;689633848;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410742;174913634;689633848;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410744;174913634;689633848;0;15;58;2025-09-29;2025-09-29;2079-06-06
1644410746;174913634;689633848;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410748;174913635;689633849;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410750;174913635;689633849;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410752;174913635;689633849;0;15;59;2025-09-29;2025-09-29;2079-06-06
1644410754;174913635;689633849;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410756;174913636;689633850;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410758;174913636;689633850;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410760;174913636;689633850;0;15;60;2025-09-29;2025-09-29;2079-06-06
1644410762;174913636;689633850;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410764;174913637;689633851;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410766;174913637;689633851;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410768;174913637;689633851;0;15;61;2025-09-29;2025-09-29;2079-06-06
1644410770;174913637;689633851;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410772;174913638;689633852;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410774;174913638;689633852;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410776;174913638;689633852;0;15;62;2025-09-29;2025-09-29;2079-06-06
1644410778;174913638;689633852;0;21;63650101;2025-09-29;2025-09-29;2079-06-06
1644410820;174913644;689633858;0;2;6432;2025-09-29;2025-09-29;2079-06-06
1644410822;174913644;689633858;0;4;6444;2025-09-29;2025-09-29;2079-06-06
1644410824;174913644;689633858;0;7;63609410101;2025-09-29;2025-09-29;2079-06-06
1644410826;174913644;689633858;0;15;62;2025-09-29;2025-09-29;2079-06-06
1644410828;174913644;689633858;0;21;63609410;2025-09-29;2025-09-29;2079-06-06
1644410832;174913645;689633862;0;2;6449;2025-09-29;2025-09-29;2079-06-06
1644410834;174913645;689633862;0;7;63650101001;2025-09-29;2025-09-29;2079-06-06
1644410836;174913645;689633862;0;15;5;2025-09-29;2025-09-29;2079-06-06
