ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
48905445;43603046;43599165;65801454;63701000;0;0;2025-10-01;2018-08-13;2079-06-06;0;1153886.95248644.1155589.1160527.43599165.43603046
95631148;46382420;1165151;69818788;63609410101;0;0;2025-09-29;2011-08-19;2079-06-06;0;1153886.95248511.95248512.1169972.1165151.46382420
95925513;67455926;1167166;100566486;63607415221;0;0;2025-09-30;2007-09-21;2079-06-06;0;1153886.95248554.95248555.1173226.1167166.67455926
96172288;24543314;1172719;38037498;63609410101;0;0;2025-09-29;2011-08-19;2079-06-06;0;1153886.95248511.95248512.1169972.1172719.24543314
98753038;44892750;1177844;67658923;63623101001;0;0;2025-09-29;2017-07-03;2079-06-06;0;1153886.95248645.95248647.1168120.1177844.44892750
98848204;63903547;63901200;95348793;63650101;0;0;2025-10-01;2018-07-04;2079-06-06;0;1153886.95248569.95248570.1155193.1155477.63901200.63903547
96299976;54032602;1186465;80869464;63650440;0;249586169;2025-09-29;2018-10-15;2025-09-29;0;1153886.95248569.95248572.1186465.54032602
249586229;174913135;1178227;689632103;63623101121;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248645.95248647.1169996.1178227.174913135
249586238;174913144;1171458;689632122;63623101121;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248645.95248647.1169996.1171458.174913144
249586168;174913076;49306618;689631981;63626101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248503.95248504.1154281.1158665.49306618.174913076
249586171;156781239;173914348;689631984;63650440;221438370;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248572.1186465.173914348.156781239
249586175;174913081;1159434;689631991;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1159434.174913081
249586177;174913083;1158062;689631994;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1158062.174913083
249586179;174913085;1158062;689631996;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1158062.174913085
249586181;174913087;1159434;689631999;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1159434.174913087
249586183;174913089;1157109;689632002;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1157109.174913089
249586194;174913100;1168391;689632014;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913100
249586196;174913102;1168391;689632016;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913102
249586198;174913104;1168391;689632018;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913104
249586173;174913079;1191690;689631989;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1191690.174913079
249586185;174913091;1162709;689632004;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1162709.174913091
249586187;174913093;1162709;689632006;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1162709.174913093
249586189;174913095;1169661;689632009;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1169661.174913095
249586191;174913097;1169661;689632011;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1169661.174913097
249586193;174913099;1169661;689632013;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1169661.174913099
249586200;174913106;1168391;689632020;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913106
249586202;174913108;1168391;689632022;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913108
249586204;174913110;1168391;689632024;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913110
249586206;174913112;1168391;689632026;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913112
249586208;174913114;1168391;689632028;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913114
249586210;174913116;1168391;689632030;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913116
249586214;174913120;1187711;689632034;63646440106;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248628.95248632.1176097.1187711.174913120
249586218;174913124;1182517;689632048;63644158051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248698.95248701.1179459.1182517.174913124
249586227;174913133;1176712;689632100;63623101121;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248645.95248647.1169996.1176712.174913133
249586234;174913140;1158415;689632118;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1158415.174913140
249586237;174913143;1160702;689632121;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160702.174913143
96017893;83654294;1172573;124267839;63609410101;0;0;2025-09-29;2011-08-19;2079-06-06;0;1153886.95248511.95248512.1169972.1172573.83654294
249586595;174913498;50878955;689633401;63701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248644.1155589.1159551.50874627.50878955.174913498
249586597;174913500;1171955;689633403;63609410101;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248511.95248512.1169972.1171955.174913500
243180426;169918428;1158415;620157375;63650101001;0;0;2025-09-29;2025-01-31;2079-06-06;0;1153886.95248569.95248570.1155193.1158415.169918428
249586603;174913506;1168391;689633510;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913506
249586605;174913508;1168391;689633512;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913508
249586607;174913510;1168391;689633514;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913510
249586609;174913512;1168391;689633516;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913512
249586611;174913514;1168391;689633518;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913514
249586613;174913516;1168391;689633520;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913516
249586615;174913518;1168391;689633522;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913518
249586618;174913520;4172679;689633566;63701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248644.1155589.1202254.4172679.174913520
249586632;174913534;1162334;689633620;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1162334.174913534
249586634;174913536;1162334;689633622;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1162334.174913536
249586636;174913538;1162334;689633624;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1162334.174913538
249586638;174913540;1162334;689633626;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1162334.174913540
249586619;174913521;1168391;689633596;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913521
249586621;174913523;1168391;689633598;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913523
249586623;174913525;1168391;689633600;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913525
249586625;174913527;1168391;689633602;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913527
249586627;174913529;1168391;689633604;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913529
249586629;174913531;1168391;689633606;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168391.174913531
249586645;174913547;1168080;689633637;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168080.174913547
249586647;174913549;1168080;689633639;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168080.174913549
249586641;174913543;1162334;689633629;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1162334.174913543
249586643;174913545;1162565;689633632;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1162565.174913545
249586656;174913558;1170678;689633650;63624151051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248715.95248716.1169643.1170678.174913558
249586662;174913564;65289666;689633660;63624151051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248715.95248716.1169643.1172482.65289666.174913564
249586698;174913600;1169734;689633699;63624151051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248715.95248716.1169643.1169734.174913600
249586648;174913550;1168080;689633640;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168080.174913550
249586650;174913552;1168080;689633642;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168080.174913552
249586652;174913554;1168180;689633646;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168180.174913554
249586654;174913556;1168180;689633648;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168180.174913556
249586658;174913560;1160052;689633653;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160052.174913560
249586660;174913562;1160052;689633655;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160052.174913562
249586663;174913565;65291399;689633661;63624151051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248715.95248716.1169643.1172482.65291399.174913565
249586665;174913567;1160409;689633664;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913567
249586667;174913569;1160409;689633666;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913569
249586669;174913571;1160409;689633668;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913571
249586671;174913573;1160409;689633670;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913573
249586673;174913575;1160409;689633672;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913575
249586675;174913577;1160409;689633674;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913577
249586677;174913579;1160409;689633676;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913579
249586679;174913581;1160409;689633678;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913581
249586681;174913583;1160409;689633680;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913583
249586683;174913585;1160409;689633682;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913585
249586685;174913587;1160409;689633684;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913587
249586687;174913589;1160409;689633686;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913589
249586689;174913591;1160409;689633688;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913591
249586691;174913593;1160409;689633690;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1160409.174913593
249586694;174913596;1168180;689633693;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168180.174913596
249586696;174913598;1162334;689633696;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1162334.174913598
249586699;174913601;1169734;689633700;63624151051;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248715.95248716.1169643.1169734.174913601
249586704;174913606;1168112;689633774;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1168112.174913606
249586707;174913609;1163877;689633782;63650101055;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1187432.1163877.174913609
249586715;174913617;1159634;689633796;63650101055;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1187432.1159634.174913617
249586720;174913622;1165985;689633836;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1165985.174913622
249586722;174913624;1165985;689633838;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1165985.174913624
249586724;174913626;1165985;689633840;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1165985.174913626
249586726;174913628;1165985;689633842;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1165985.174913628
249586728;174913630;1165985;689633844;63650101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1153886.95248569.95248570.1155193.1165985.174913630
