ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27408280;О присвоении адреса объекту адресации;2025-09-29;H-28945488;21;3;2025-09-29;АДМИНИСТРАЦИЯ НОВОПУШКИНСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ЭНГЕЛЬССКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27408322;О присвоении адреса объекту адресации;2025-09-26;3751А;15;2;2025-09-29;Администрация муниципального образования «Город Саратов» комитет по архитектуре;2025-09-29
27408343;Администрация муниципального образования «Город Саратов» комитет по архитектуре;2025-09-26;3753А;15;2;2025-09-29;О присвоении адреса объекту адресации;2025-09-29
27408362;О присвоении и аннулировании адреса объекта адресации;2025-09-26;3754А;15;2;2025-09-29;Администрация муниципального образования «Город Саратов» комитет по архитектуре;2025-09-29
27408401;Об аннулировании адреса объекту адресации;2025-09-29;H-28946232;21;3;2025-09-29;АДМИНИСТРАЦИЯ БАЛТАЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27410277;О внесении изменений по объекту адресации;2025-09-29;T-28946639;21;4;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ ВЫСОКОВСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КРАСНОАРМЕЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ""";2025-09-29
27410274;О присвоении адреса объекту адресации;2025-09-26;2118;15;2;2025-09-29;КОМИТЕТ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ТОПЛИВНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА, ТРАНСПОРТА И СВЯЗИ АДМИНИСТРАЦИИ ЭНГЕЛЬССКОГО МУНИЦИПАЛЬНОГО РАЙОНА;2025-09-29
27413630;О присвоении адреса объекту адресации;2025-09-24;3687А;15;2;2025-09-29;Администрация муниципального образования «Город Саратов» комитет по архитектуре;2025-09-29
27413633;О присвоении и аннулировании адреса объекта адресации;2025-09-26;3740А;15;2;2025-09-29;Администрация муниципального образования «Город Саратов» комитет по архитектуре;2025-09-29
27413671;О присвоении и аннулировании адреса объекта адресации;2025-09-26;3720А;15;2;2025-09-29;Администрация муниципального образования «Город Саратов» комитет по архитектуре;2025-09-29
27413660;О присвоении и аннулировании адреса объекта адресации;2025-09-26;3745А;15;2;2025-09-29;Администрация муниципального образования «Город Саратов» комитет по архитектуре;2025-09-29
27413670;О присвоении адреса объекту адресации;2025-09-29;H-28947802;21;3;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413676;О присвоении адресов объектам адресации;2025-09-29;H-28947908;21;3;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413704;О присвоении и аннулировании адреса объекта адресации;2025-09-29;H-28948417;21;3;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413699;О присвоении и аннулировании адреса объекта адресации;2025-09-29;H-28948320;15;3;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ П. МИХАЙЛОВСКИЙ САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413718;О присвоении адресов объектам адресации;2025-09-29;H-28948809;21;3;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413746;О присвоении адресов объектам адресации;2025-09-29;H-28949355;21;3;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413764;О внесении изменений по объекту адресации;2025-09-29;T-28949726;21;4;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413798;О присвоении адреса объекту адресации;2025-09-29;H-28950098;21;3;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413814;О присвоении адреса объекту адресации;2025-09-29;H-28950412;21;3;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413820;о присвоении адреса объекту адресации;2025-09-23;А-20250923-31847379486-3;23;2;2025-09-29;"КОМИТЕТ ПО АРХИТЕКТУРЕ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД САРАТОВ""";2025-09-29
27413810;о присвоении адреса объекту адресации;2025-09-23;А-20250923-31847090538-3;23;2;2025-09-29;"КОМИТЕТ ПО АРХИТЕКТУРЕ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД САРАТОВ""";2025-09-29
27413828;О внесении изменений по объекту адресации;2025-09-29;T-28950609;21;4;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413851;О внесении изменений по объекту адресации;2025-09-29;T-28951028;21;4;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413862;О внесении изменений по объекту адресации;2025-09-29;T-28951143;21;4;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27413835;о присвоении адреса объекту адресации;2025-09-23;А-20250923-31847712225-3;23;2;2025-09-29;"КОМИТЕТ ПО АРХИТЕКТУРЕ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД САРАТОВ""";2025-09-29
27413841;О присвоении адреса объекту адресации по результатам инвентаризации объектов недвижимости на территории муниципального образования «Город Саратов»;2025-09-26;741Р;15;2;2025-09-29;"Администрация муниципального образования ""Город Саратов"" комитет по архитектуре";2025-09-29
27413877;О внесении изменений по объекту адресации;2025-09-29;T-28951298;21;4;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27414333;Об аннулировании адреса объекту адресации;2025-09-29;H-28947334;21;3;2025-09-29;АДМИНИСТРАЦИЯ БАЛТАЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27414322;О внесении изменений по объекту адресации;2025-09-29;T-28946731;21;4;2025-09-29;АДМИНИСТРАЦИЯ БАЛТАЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27414336;О присвоении и аннулировании адреса объекту адресации;2025-09-29;H-28947437;21;3;2025-09-29;АДМИНИСТРАЦИЯ БАЛТАЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
27414352;О присвоении и аннулировании адреса объекту адресации;2025-09-29;H-28947939;21;3;2025-09-29;АДМИНИСТРАЦИЯ БАЛТАЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;2025-09-29
