ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
1719432;86266219;1db1f61e-4eca-44eb-89cf-19f37e0c8e60;127992368;26005;10;74207287;2025-10-01;2019-07-04;2025-10-01;0;0
6443716;90978480;7fa18e53-8194-411f-b4cf-825fc13aa677;133644070;4;10;74207308;2025-10-01;2019-10-25;2025-10-01;0;0
10554943;95088044;11f6d442-4e2b-4df7-a420-1ab3ca7a3f8e;138044174;4;10;74207307;2025-10-01;2019-09-25;2025-10-01;0;0
72660943;172060723;21e11758-fdc6-46da-83ff-e02715bf048a;645523591;1И;10;74183349;2025-09-30;2025-05-05;2025-09-30;0;0
74165323;174913078;1c8a3d54-a36a-42a0-9684-87010c8d85a9;689631988;41;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165325;174913080;fe530702-48be-40be-90fa-94cd09b37ccb;689631990;10а;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165327;174913082;51a63fef-dc85-43cd-a9d2-511294a042cf;689631993;5в;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165329;174913084;00dd58cc-c085-41e0-b11b-e2e8c0df248f;689631995;5г;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165331;174913086;2ed5ee9d-418d-425f-a007-2b6e920f8413;689631997;16б;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165333;174913088;1db647d5-7dcd-47c4-a8ce-70a3176f6ef4;689632000;59;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165335;174913090;4eb04fec-9eec-41e6-bf69-d52b13787fdc;689632003;50;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165337;174913092;84b5b8d3-e379-49a2-a121-2e17ebe53e92;689632005;40;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165339;174913094;4901ee33-168b-4998-b4ec-8680856430ae;689632008;8;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165341;174913096;99f25409-54a7-45fe-840d-403ab065de0f;689632010;3;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165343;174913098;21841057-715d-4900-becc-7c45f3765f65;689632012;76;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165345;174913100;0f92f2f0-56f2-4299-b883-8032bd7ada0a;689632014;869;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165347;174913102;d10dd007-d54c-43cd-a185-e4fe2432bea0;689632016;846;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165349;174913104;c6a8128a-c839-49be-930b-6e27cfcb77fb;689632018;756;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165351;174913106;c14c21da-6488-41f0-9644-9870a61fe0d1;689632020;623;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165353;174913108;30085ac3-a15c-425e-8739-23b4b78d508d;689632022;437;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165355;174913110;8d5b7268-7397-48c7-9c9e-653da49b96f5;689632024;524;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165357;174913112;00edef55-d27e-4afc-a23d-676bc26c4268;689632026;1423;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165359;174913114;a52538fd-6180-4c8d-957e-4d38d000534c;689632028;772;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165361;174913116;c4b6381f-abc3-4344-ab66-8501c7edb0ea;689632030;451;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165364;174913120;aaca548e-5f8e-42aa-979b-f6cc4d1ae4de;689632034;16/1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165372;174913140;3977c93e-ee26-42c4-a854-c5288ba7f44f;689632118;8а;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165598;169918428;97b69e5f-80a2-47ab-9d26-600925e80412;689633501;8;30;0;2025-09-29;2025-09-29;2079-06-06;1;0
74165600;174913507;8203d0a3-bda2-4f97-af6c-56b4bc7c40f4;689633511;1396;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165602;174913509;6bf45809-8440-4f47-a2db-8b45a36d7490;689633513;512;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165604;174913511;09d18d62-92cf-4ba4-a7d8-76249e4948a1;689633515;1363;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165606;174913513;0a449637-2d39-45b8-b56e-4794903ae0e1;689633517;1202;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165608;174913515;79caf31e-5922-434d-922d-534de78b6112;689633519;114;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165610;174913517;ec5b566b-5b86-4bb9-8eaf-91a5f01bf19e;689633521;827;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165612;174913519;c9c04a19-a0cb-4b44-ac69-120f73d21328;689633523;908;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165615;174913522;ee882fdc-1aa6-489d-83a2-f0129d43a62a;689633597;1348;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165617;174913524;ac41327e-0e08-435e-940e-5dd5369134fc;689633599;413;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165619;174913526;d7c30c7a-c730-4557-82a6-2c347e4d8b17;689633601;1139;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165621;174913528;3cb5b2a2-4e8c-4eb6-afe2-c4bc2d58eefd;689633603;18;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165623;174913530;9d3af576-5ed3-4f8e-9205-7f6944ef13c9;689633605;452;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165625;174913533;6e2df9a0-0316-4058-bcf0-ed941f9dae7a;689633619;1518;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165627;174913535;bee92f02-48cd-45a0-88e4-0dcaba48c452;689633621;1517;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165629;174913537;a9dcc467-b0a6-47cd-a65f-7b1ae1a5fc24;689633623;1144;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165631;174913539;b18a2ec9-092a-4c6c-a394-ad3956280001;689633625;1041;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165633;174913541;762d7dc8-d130-4842-ab55-9ef403f8aa75;689633627;171;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165635;174913543;59c7df8e-ba18-4c2d-94e6-b18ceee962c4;689633629;1098;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165637;174913545;c90ad20b-d354-4dca-b4b7-525a7018ce36;689633632;15;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165639;174913548;4fde2259-7b9d-4395-9331-123e5fc94831;689633638;2;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165641;174913550;4df71980-d141-4054-9493-61467c12b746;689633640;38;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165643;174913552;dc396d0d-6687-4539-9f3e-b35a5a02bdbb;689633642;29;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165645;174913555;ad05bea4-0786-470a-99fa-0d6439dbce2a;689633647;76;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165647;174913557;8e16f98e-7209-45d8-8da7-5847a403761a;689633649;69;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165649;174913561;e8c5aac3-8853-4b5f-a6d2-552aacd70d5c;689633654;41а;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165651;174913566;e2fec59f-8021-4405-bf84-883f411148ac;689633663;57;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165653;174913568;6fca5fa9-b987-49a7-870a-8d01873a0d2e;689633665;124;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165655;174913570;a5938d3f-99ad-4906-a138-bbc5b064fd0e;689633667;59;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165657;174913572;66163b08-e514-40c7-a348-5d03a06a6f30;689633669;47;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165659;174913574;8d4705a4-92c4-467a-8ce2-e4e209ed9de7;689633671;10;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165661;174913576;1cd6f26c-2f4c-4119-935f-784f51a00e3d;689633673;85;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165663;174913578;8218bfe7-76d9-4212-b5b3-84a17a9e40d6;689633675;121;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165665;174913580;33a97f1c-2567-4e59-9097-d81218eb2bc1;689633677;34;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165667;174913582;9a3e7a5d-7dae-463d-b8a7-ebacc399f06a;689633679;54;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165669;174913584;2eb93a39-2026-4109-b9ca-cab7b4635fa1;689633681;123;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
