ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644406519;161215523;689632382;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406521;161215525;689632384;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406523;161215527;689632386;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406525;161215529;689632388;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406527;161215531;689632390;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406529;161215533;689632392;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406531;161215535;689632394;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406533;161215537;689632396;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406535;161215539;689632398;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406537;161215541;689632400;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406539;161215543;689632402;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406541;161215545;689632404;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406543;161215547;689632406;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406545;161215549;689632408;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406547;161215551;689632410;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406549;161215553;689632412;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406551;161215555;689632414;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406553;161215557;689632416;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406555;161215559;689632418;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406557;161215561;689632420;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406559;161215564;689632422;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406561;161215566;689632424;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406563;161215568;689632426;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406565;161215570;689632428;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406567;161215572;689632430;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406569;161215574;689632432;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406571;161215577;689632434;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406573;161215579;689632436;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406575;161215581;689632438;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406577;161215583;689632440;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406579;161215585;689632442;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406581;161215587;689632444;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406583;161215589;689632446;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406585;161215591;689632448;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406587;161215593;689632450;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406589;161215595;689632452;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406591;161215597;689632454;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406593;161215599;689632456;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406595;161215601;689632458;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406597;161215603;689632460;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406599;161215607;689632462;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406601;161215609;689632464;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406603;161215611;689632466;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406605;161215627;689632468;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406607;161215629;689632470;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406609;161215631;689632472;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406611;161215633;689632474;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406613;161215636;689632476;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406615;161215638;689632478;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406617;161215640;689632480;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406619;161215644;689632482;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406621;161215646;689632484;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406623;161215648;689632486;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406625;161215650;689632488;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406627;161215659;689632490;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406629;161215661;689632492;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406631;161215663;689632494;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406633;161215672;689632496;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406635;161215521;689632498;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406637;161215562;689632500;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406639;161215604;689632502;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406641;161215612;689632504;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406643;161215614;689632506;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406645;161215616;689632508;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406647;161215618;689632510;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406649;161215620;689632512;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406651;161215622;689632514;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406653;161215624;689632516;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406655;161215635;689632518;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
1644406657;161215643;689632520;0;20;17.01.2024;2025-09-29;2025-09-29;2079-06-06
