ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644382665;174910161;689624700;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644382667;174910161;689624700;0;6;64212000004;2025-09-29;2025-09-29;2079-06-06
1644382669;174910161;689624700;0;8;65:10:0000003:166;2025-09-29;2025-09-29;2079-06-06
1644382671;174910161;689624700;0;13;647120001110000001210006000000000;2025-09-29;2025-09-29;2079-06-06
1644401696;174912631;689631012;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644401698;174912631;689631012;0;6;64252000010;2025-09-29;2025-09-29;2079-06-06
1644401700;174912631;689631012;0;8;65:14:0000023:70;2025-09-29;2025-09-29;2079-06-06
1644401702;174912631;689631012;0;13;647520001460000000110004000000000;2025-09-29;2025-09-29;2079-06-06
1644401668;174912628;689631009;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644401670;174912628;689631009;0;3;6504;2025-09-29;2025-09-29;2079-06-06
1644401672;174912628;689631009;0;6;64216000018;2025-09-29;2025-09-29;2079-06-06
1644401674;174912628;689631009;0;8;65:03:0000008:809;2025-09-29;2025-09-29;2079-06-06
1644401676;174912628;689631009;0;13;647160001710000000110037000000000;2025-09-29;2025-09-29;2079-06-06
1644401688;174912630;689631011;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644401690;174912630;689631011;0;6;64212501000;2025-09-29;2025-09-29;2079-06-06
1644401692;174912630;689631011;0;8;65:11:0000020:143;2025-09-29;2025-09-29;2079-06-06
1644401694;174912630;689631011;0;13;647120000010000006810180000000000;2025-09-29;2025-09-29;2079-06-06
1644405340;174913063;689631961;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644405342;174913063;689631961;0;3;6501;2025-09-29;2025-09-29;2079-06-06
1644405344;174913063;689631961;0;6;64401000000;2025-09-29;2025-09-29;2079-06-06
1644405346;174913063;689631961;0;8;65:01:0801002:607;2025-09-29;2025-09-29;2079-06-06
1644405348;174913063;689631961;0;13;647010000010000121010109000000000;2025-09-29;2025-09-29;2079-06-06
1644405350;174913064;689631962;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644405352;174913064;689631962;0;3;6501;2025-09-29;2025-09-29;2079-06-06
1644405354;174913064;689631962;0;6;64401000000;2025-09-29;2025-09-29;2079-06-06
1644405356;174913064;689631962;0;8;65:01:0801002:53;2025-09-29;2025-09-29;2079-06-06
1644405358;174913064;689631962;0;13;647010000010000121010110000000000;2025-09-29;2025-09-29;2079-06-06
1644405360;174913065;689631963;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644405362;174913065;689631963;0;3;6501;2025-09-29;2025-09-29;2079-06-06
1644405364;174913065;689631963;0;6;64401000000;2025-09-29;2025-09-29;2079-06-06
1644405366;174913065;689631963;0;8;65:01:0801002:31;2025-09-29;2025-09-29;2079-06-06
1644405368;174913065;689631963;0;13;647010000010000121010111000000000;2025-09-29;2025-09-29;2079-06-06
1644405370;174913066;689631964;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644405372;174913066;689631964;0;3;6501;2025-09-29;2025-09-29;2079-06-06
1644405374;174913066;689631964;0;6;64401000000;2025-09-29;2025-09-29;2079-06-06
1644405376;174913066;689631964;0;8;65:01:0801002:302;2025-09-29;2025-09-29;2079-06-06
1644405378;174913066;689631964;0;13;647010000010000121010112000000000;2025-09-29;2025-09-29;2079-06-06
1644405380;174913067;689631965;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644405382;174913067;689631965;0;3;6501;2025-09-29;2025-09-29;2079-06-06
1644405384;174913067;689631965;0;6;64401000000;2025-09-29;2025-09-29;2079-06-06
1644405386;174913067;689631965;0;8;65:01:0801002:148;2025-09-29;2025-09-29;2079-06-06
1644405388;174913067;689631965;0;13;647010000010000121010113000000000;2025-09-29;2025-09-29;2079-06-06
1644405390;174913068;689631966;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644405392;174913068;689631966;0;3;6501;2025-09-29;2025-09-29;2079-06-06
1644405394;174913068;689631966;0;6;64401000000;2025-09-29;2025-09-29;2079-06-06
1644405396;174913068;689631966;0;8;65:01:0801002:130;2025-09-29;2025-09-29;2079-06-06
1644405398;174913068;689631966;0;13;647010000010000121010114000000000;2025-09-29;2025-09-29;2079-06-06
1644405400;174913069;689631967;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644405402;174913069;689631967;0;3;6501;2025-09-29;2025-09-29;2079-06-06
1644405404;174913069;689631967;0;6;64401000000;2025-09-29;2025-09-29;2079-06-06
1644405406;174913069;689631967;0;8;65:01:0801001:8;2025-09-29;2025-09-29;2079-06-06
1644405408;174913069;689631967;0;13;647010000010000121010115000000000;2025-09-29;2025-09-29;2079-06-06
1644405410;174913070;689631968;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644405412;174913070;689631968;0;3;6501;2025-09-29;2025-09-29;2079-06-06
1644405414;174913070;689631968;0;6;64401000000;2025-09-29;2025-09-29;2079-06-06
1644405416;174913070;689631968;0;8;65:01:0801002:1;2025-09-29;2025-09-29;2079-06-06
1644405418;174913070;689631968;0;13;647010000010000121010116000000000;2025-09-29;2025-09-29;2079-06-06
1644405420;174913071;689631969;0;8;65:01:0801001:67;2025-09-29;2025-09-29;2079-06-06
1644405422;174913071;689631969;0;2;6500;2025-09-29;2025-09-29;2079-06-06
1644405424;174913071;689631969;0;4;6501;2025-09-29;2025-09-29;2079-06-06
1644405426;174913071;689631969;0;7;64701000001;2025-09-29;2025-09-29;2079-06-06
1644405428;174913071;689631969;0;13;647010000010000121010117000000000;2025-09-29;2025-09-29;2079-06-06
1644405437;174913072;689631977;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644405439;174913072;689631977;0;3;6501;2025-09-29;2025-09-29;2079-06-06
1644405441;174913072;689631977;0;6;64401000000;2025-09-29;2025-09-29;2079-06-06
1644405443;174913072;689631977;0;8;65:02:0000011:515;2025-09-29;2025-09-29;2079-06-06
1644405445;174913072;689631977;0;13;647010000001284000010354000000000;2025-09-29;2025-09-29;2079-06-06
1644406672;174913186;689632535;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644406674;174913186;689632535;0;6;64252555000;2025-09-29;2025-09-29;2079-06-06
1644406676;174913186;689632535;0;8;65:14:0000009:682;2025-09-29;2025-09-29;2079-06-06
1644406678;174913186;689632535;0;13;647520000560000001410002000000000;2025-09-29;2025-09-29;2079-06-06
1644407105;174913233;689632918;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644407107;174913233;689632918;0;6;64212000011;2025-09-29;2025-09-29;2079-06-06
1644407109;174913233;689632918;0;8;65:10:0000013:1158;2025-09-29;2025-09-29;2079-06-06
1644407111;174913233;689632918;0;13;647120001560000000610007000000000;2025-09-29;2025-09-29;2079-06-06
1644414072;174914015;689634559;0;1;6500;2025-09-29;2025-09-29;2079-06-06
1644414074;174914015;689634559;0;3;6507;2025-09-29;2025-09-29;2079-06-06
1644414076;174914015;689634559;0;6;64246551000;2025-09-29;2025-09-29;2079-06-06
1644414078;174914015;689634559;0;8;65:18:0000026:595;2025-09-29;2025-09-29;2079-06-06
1644414080;174914015;689634559;0;13;647460000510000001710008000000000;2025-09-29;2025-09-29;2079-06-06
1644414250;88882012;689634728;0;20;10.09.2020;2025-09-29;2025-09-29;2079-06-06
1644420701;174915045;689636719;0;2;6500;2025-09-29;2025-09-29;2079-06-06
1644420703;174915045;689636719;0;4;6501;2025-09-29;2025-09-29;2079-06-06
1644420705;174915045;689636719;0;7;64701000001;2025-09-29;2025-09-29;2079-06-06
1644420707;174915045;689636719;0;15;28;2025-09-29;2025-09-29;2079-06-06
1644420709;174915045;689636719;0;21;64701000;2025-09-29;2025-09-29;2079-06-06
1644420711;174915046;689636720;0;3;6517;2025-09-29;2025-09-29;2079-06-06
1644420713;174915046;689636720;0;6;64204501000;2025-09-29;2025-09-29;2079-06-06
1644420715;174915046;689636720;0;8;65:21:0000003:416;2025-09-29;2025-09-29;2079-06-06
1644420717;174915046;689636720;0;15;15;2025-09-29;2025-09-29;2079-06-06
1644420719;174915046;689636720;0;21;64504000;2025-09-29;2025-09-29;2079-06-06
1644420747;174915049;689636743;0;2;6500;2025-09-29;2025-09-29;2079-06-06
1644420749;174915049;689636743;0;4;6501;2025-09-29;2025-09-29;2079-06-06
1644420751;174915049;689636743;0;7;64701000001;2025-09-29;2025-09-29;2079-06-06
1644420753;174915049;689636743;0;15;187;2025-09-29;2025-09-29;2079-06-06
1644420755;174915049;689636743;0;21;64701000;2025-09-29;2025-09-29;2079-06-06
1644435562;174917347;689640706;0;2;6500;2025-09-29;2025-09-29;2079-06-06
