ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
11749914;97049334;70eb861f-3e0f-4425-bf3e-e8702199da7f;151664354;25А/1;10;0;74198410;2025-10-01;2020-06-08;2025-10-01;0;0
2081535;86626840;a94178e3-fb90-4906-a1e1-88804ecde511;128468774;4А;10;;74192840;2025-09-30;2019-03-14;2025-09-30;0;0
3675802;88215290;71d42265-44e8-4f48-95c3-017522d97c72;130475732;34А;10;;74198166;2025-10-01;2016-03-17;2025-10-01;0;0
14471824;101892676;d161da37-0a57-44c9-b3c9-947ee8809baa;197046120;35;10;0;74198508;2025-10-01;2021-07-20;2025-10-01;0;0
6979777;91514210;51035e65-9d95-4977-bded-bc703b867e7c;134247359;14/2;10;;74199233;2025-10-01;2019-05-20;2025-10-01;0;0
7559961;92093961;4046bae4-d148-4d45-ae54-69ceef7109e8;134883698;14;10;;74193420;2025-09-30;2019-05-21;2025-09-30;0;0
65956850;156817038;fe983b7c-3b12-4357-a4a3-d7e5af0ac185;460996651;218;10;0;74175714;2025-09-29;2022-10-31;2025-09-29;0;0
67462391;161874618;de1e31b4-621b-402c-bd0a-942a0bb58af9;577124524;60;10;0;74198399;2025-10-01;2023-12-21;2025-10-01;0;0
67840984;163027896;74b16c13-bc33-4b27-8554-fff98089fc17;592803141;4;10;0;74198406;2025-10-01;2024-04-02;2025-10-01;0;0
73054383;172774253;3d0e4e25-744b-4b9a-adc2-611fa26ab7fb;647409264;5б;10;0;74203143;2025-10-01;2025-06-09;2025-10-01;0;0
73241015;173159506;66b952e7-f789-47bd-a015-56c45a0d65ea;654680368;16;10;0;74174586;2025-09-29;2025-06-30;2025-09-29;0;0
74118835;174828056;4a4d073e-6881-45fa-9996-0e1f87f97b26;689417216;7;10;0;74198418;2025-10-01;2025-09-24;2025-10-01;0;0
74164475;174911976;19499dce-4065-4b52-b291-15c2908c1255;689629507;103;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164951;174912547;481f2b2d-c414-403f-bccc-31759c937378;689630776;256;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164955;174912565;141997a2-3849-4fda-868d-6c62d60ac9b1;689630839;22а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74164959;174912571;09c2aefe-fedb-44c2-9cac-45be9590fc9f;689630845;9;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165367;174913130;d1f2415f-bc72-423b-935d-03695f3371d5;689632095;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165371;91703367;79955339-d7e6-4fc1-b9ee-738706ccfcf1;689632116;44/2;20;7169224;;2025-09-29;2025-09-29;2079-06-06;1;1
74166280;174914558;fe9313b2-1c5f-4f9b-ada8-88cc2ea4a7ff;689635822;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167217;174916949;1f30753e-11bf-4175-89af-8ed3b4337d3f;689639935;25;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167369;174917156;303d6d05-4102-45ab-8b10-eb86ad32bfd7;689640320;74А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167395;174917195;7a1e06a5-68dc-4286-abf7-180d2c09ed79;689640509;50А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167401;174917216;dfd5e090-66bd-428f-9d21-4bc8fbb138e9;689640535;14;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167411;174917246;b095d6c2-e5f5-4810-8bfc-3d3028ef77b1;689640574;8в;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167418;174917282;e2825bce-c5ff-41f0-b2aa-faff5ed18e00;689640616;42;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167476;174917348;567fe475-5394-494c-97d2-aefc151a60e8;689640709;2б;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168116;174918554;97389da9-d493-4721-9dec-2914211aea3d;689643924;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170077;174922146;d7f530ae-62cc-47b3-b0b1-8f3a92fa7320;689649667;13;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171315;174925754;b9c65505-f542-4fae-9d45-0052e7a9b0af;689655243;74;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171317;174925756;ac7960f1-5b60-42c0-bd6f-26dc374aa5ca;689655245;55;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171319;174925758;11b86ce3-b618-4467-9018-a9aace096fcd;689655247;30;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171707;95190181;47b7f1fa-7274-4875-b49c-692b4dc704a9;689662862;1/1;20;10657085;;2025-09-29;2025-09-29;2079-06-06;1;1
74171764;174927840;a7769845-7651-4e98-b140-3e6b8eb7541b;689663402;162;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171766;174927842;516eb2b9-374c-44a9-aaf7-419105ee0098;689663404;148;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171768;174927844;d3182b2c-6d2d-4586-ae9f-7e4cd24974af;689663406;138;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
