ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
484837612;86004706;127640386;689806957;15;203;2025-10-01;2019-03-04;2025-10-01
489176978;86443061;128226626;689807038;15;2;2025-10-01;2019-02-27;2025-10-01
497054255;87244160;129271210;689807116;15;30;2025-10-01;2019-02-27;2025-10-01
512569751;88840791;131221452;689806909;15;193;2025-10-01;2019-03-04;2025-10-01
514048904;88993236;131398527;689808539;15;120;2025-10-01;2019-02-28;2025-10-01
515205601;89111953;131535186;689807053;15;18;2025-10-01;2019-02-27;2025-10-01
516848723;89281358;131730064;689808475;15;151;2025-10-01;2019-02-28;2025-10-01
521881231;89795833;132311703;689807613;15;88;2025-10-01;2019-02-28;2025-10-01
1644395963;174911974;689629505;0;2;6677;2025-09-29;2025-09-29;2079-06-06
1644395965;174911974;689629505;0;7;65537000116;2025-09-29;2025-09-29;2079-06-06
1644395967;174911974;689629505;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644395969;174911974;689629505;0;21;65537000;2025-09-29;2025-09-29;2079-06-06
1644395981;174911976;689629507;0;2;6617;2025-09-29;2025-09-29;2079-06-06
1644395983;174911976;689629507;0;4;6681;2025-09-29;2025-09-29;2079-06-06
1644395985;174911976;689629507;0;7;65534000107;2025-09-29;2025-09-29;2079-06-06
1644395987;174911976;689629507;0;15;152;2025-09-29;2025-09-29;2079-06-06
1644395989;174911976;689629507;0;21;65534000;2025-09-29;2025-09-29;2079-06-06
1644400747;174912540;689630766;0;2;6683;2025-09-29;2025-09-29;2079-06-06
1644400749;174912540;689630766;0;4;6633;2025-09-29;2025-09-29;2079-06-06
1644400751;174912540;689630766;0;7;65741000001;2025-09-29;2025-09-29;2079-06-06
1644400753;174912540;689630766;0;15;75;2025-09-29;2025-09-29;2079-06-06
1644400755;174912540;689630766;0;21;65741000;2025-09-29;2025-09-29;2079-06-06
1644400806;174912547;689630776;0;2;6683;2025-09-29;2025-09-29;2079-06-06
1644400808;174912547;689630776;0;4;6633;2025-09-29;2025-09-29;2079-06-06
1644400810;174912547;689630776;0;7;65741000001;2025-09-29;2025-09-29;2079-06-06
1644400812;174912547;689630776;0;15;371;2025-09-29;2025-09-29;2079-06-06
1644400814;174912547;689630776;0;21;65741000;2025-09-29;2025-09-29;2079-06-06
1644400988;174912564;689630838;0;2;6683;2025-09-29;2025-09-29;2079-06-06
1644400990;174912564;689630838;0;4;6633;2025-09-29;2025-09-29;2079-06-06
1644400992;174912564;689630838;0;7;65623405136;2025-09-29;2025-09-29;2079-06-06
1644400994;174912564;689630838;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644400996;174912564;689630838;0;21;65623405;2025-09-29;2025-09-29;2079-06-06
1644400998;174912565;689630839;0;7;65623405136;2025-09-29;2025-09-29;2079-06-06
1644401000;174912565;689630839;0;1;6683;2025-09-29;2025-09-29;2079-06-06
1644401002;174912565;689630839;0;3;6633;2025-09-29;2025-09-29;2079-06-06
1644401004;174912565;689630839;0;15;109;2025-09-29;2025-09-29;2079-06-06
1644401006;174912565;689630839;0;21;65623405;2025-09-29;2025-09-29;2079-06-06
1644401018;174912567;689630841;0;2;6684;2025-09-29;2025-09-29;2079-06-06
1644401020;174912567;689630841;0;4;6619;2025-09-29;2025-09-29;2079-06-06
1644401022;174912567;689630841;0;7;65628163051;2025-09-29;2025-09-29;2079-06-06
1644401024;174912567;689630841;0;15;152;2025-09-29;2025-09-29;2079-06-06
1644401026;174912567;689630841;0;21;65628163;2025-09-29;2025-09-29;2079-06-06
1644401056;174912571;689630845;0;2;6623;2025-09-29;2025-09-29;2079-06-06
1644401058;174912571;689630845;0;7;65513000001;2025-09-29;2025-09-29;2079-06-06
1644401060;174912571;689630845;0;15;100;2025-09-29;2025-09-29;2079-06-06
1644401062;174912571;689630845;0;21;65513000;2025-09-29;2025-09-29;2079-06-06
1644401147;174912580;689630857;0;2;6685;2025-09-29;2025-09-29;2079-06-06
1644401149;174912580;689630857;0;7;65552000105;2025-09-29;2025-09-29;2079-06-06
1644401151;174912580;689630857;0;15;248;2025-09-29;2025-09-29;2079-06-06
1644401153;174912580;689630857;0;21;65552000;2025-09-29;2025-09-29;2079-06-06
1644402115;100911587;689631390;0;8;66:62:0107011:528;2025-09-29;2025-09-29;2079-06-06
717654373;100911586;191411964;689631398;8;66:62:107011:532;2025-09-29;2021-04-12;2025-09-29
1644402148;100911586;689631398;0;13;657570000010000013910017000000010;2025-09-29;2025-09-29;2079-06-06
1644402126;100911579;689631393;0;8;66:62:0107011:557;2025-09-29;2025-09-29;2079-06-06
717654319;100911578;191411956;689631397;8;66:62:107011:556;2025-09-29;2021-04-12;2025-09-29
1644402146;100911578;689631397;0;13;657570000010000013910009000000010;2025-09-29;2025-09-29;2079-06-06
1644402149;100911585;689631399;0;8;66:62:0107011:533;2025-09-29;2025-09-29;2079-06-06
717654297;100911575;191411953;689631423;8;66:62:107011:555;2025-09-29;2021-04-12;2025-09-29
1644402322;100911575;689631423;0;13;657570000010000013910006000000010;2025-09-29;2025-09-29;2079-06-06
1644402369;100911581;689631441;0;8;66:62:0107011:560;2025-09-29;2025-09-29;2079-06-06
717654354;100911583;191411961;689631437;8;66:62:107011:964;2025-09-29;2021-04-12;2025-09-29
1644402366;100911583;689631437;0;13;657570000010000013910014000000010;2025-09-29;2025-09-29;2079-06-06
1644402367;100911577;689631440;0;8;66:62:0107011:527;2025-09-29;2025-09-29;2079-06-06
1644405963;174913130;689632095;0;1;6623;2025-09-29;2025-09-29;2079-06-06
1644405965;174913130;689632095;0;6;65476000000;2025-09-29;2025-09-29;2079-06-06
1644405967;174913130;689632095;0;8;66:56:0108002:37;2025-09-29;2025-09-29;2079-06-06
1644405969;174913130;689632095;0;13;657510000000000063210101000000000;2025-09-29;2025-09-29;2079-06-06
1644406040;91703367;689632116;0;13;657340000010000014310167000000020;2025-09-29;2025-09-29;2079-06-06
1644406284;174913164;689632213;0;2;6685;2025-09-29;2025-09-29;2079-06-06
1644406286;174913164;689632213;0;7;65552000102;2025-09-29;2025-09-29;2079-06-06
1644406288;174913164;689632213;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644406290;174913164;689632213;0;21;65552000;2025-09-29;2025-09-29;2079-06-06
1644409335;103239773;689633396;0;8;66:58:2902030:1190;2025-09-29;2025-09-29;2079-06-06
1644418387;174914554;689635810;0;1;6684;2025-09-29;2025-09-29;2079-06-06
1644418389;174914554;689635810;0;6;65480000012;2025-09-29;2025-09-29;2079-06-06
1644418391;174914554;689635810;0;8;66:58:1501001:877;2025-09-29;2025-09-29;2079-06-06
1644418393;174914554;689635810;0;13;657530001560000000210011000000000;2025-09-29;2025-09-29;2079-06-06
1644418427;174914558;689635822;0;1;6678;2025-09-29;2025-09-29;2079-06-06
1644418429;174914558;689635822;0;6;65412000000;2025-09-29;2025-09-29;2079-06-06
1644418431;174914558;689635822;0;8;66:35:0105003:1247;2025-09-29;2025-09-29;2079-06-06
1644418433;174914558;689635822;0;13;657310000010000004210110000000000;2025-09-29;2025-09-29;2079-06-06
1644432321;174916939;689639920;0;6;65401000000;2025-09-29;2025-09-29;2079-06-06
1644432323;174916939;689639920;0;8;66:41:0301010:1;2025-09-29;2025-09-29;2079-06-06
1644432325;174916939;689639920;0;2;6671;2025-09-29;2025-09-29;2079-06-06
1644432327;174916939;689639920;0;13;657010000000000096810002000000000;2025-09-29;2025-09-29;2079-06-06
1644432387;174916949;689639935;0;1;6684;2025-09-29;2025-09-29;2079-06-06
1644432389;174916949;689639935;0;6;65480000000;2025-09-29;2025-09-29;2079-06-06
1644432391;174916949;689639935;0;8;66:58:0112001:171;2025-09-29;2025-09-29;2079-06-06
1644432393;174916949;689639935;0;13;657530000010000029110012000000000;2025-09-29;2025-09-29;2079-06-06
1644433537;174917083;689640157;0;1;6684;2025-09-29;2025-09-29;2079-06-06
1644433539;174917083;689640157;0;3;6619;2025-09-29;2025-09-29;2079-06-06
1644433541;174917083;689640157;0;6;65224000012;2025-09-29;2025-09-29;2079-06-06
1644433543;174917083;689640157;0;8;66:14:2701002:198;2025-09-29;2025-09-29;2079-06-06
1644433545;174917083;689640157;0;13;657130003810000000910047000000000;2025-09-29;2025-09-29;2079-06-06
1644434064;174917145;689640303;0;1;6684;2025-09-29;2025-09-29;2079-06-06
1644434066;174917145;689640303;0;3;6619;2025-09-29;2025-09-29;2079-06-06
1644434068;174917145;689640303;0;6;65224000016;2025-09-29;2025-09-29;2079-06-06
1644434070;174917145;689640303;0;8;66:14:0401001:618;2025-09-29;2025-09-29;2079-06-06
1644434072;174917145;689640303;0;13;657130004010000000210091000000000;2025-09-29;2025-09-29;2079-06-06
1644434138;174917156;689640320;0;1;6684;2025-09-29;2025-09-29;2079-06-06
1644434140;174917156;689640320;0;3;6619;2025-09-29;2025-09-29;2079-06-06
1644434142;174917156;689640320;0;6;65224000019;2025-09-29;2025-09-29;2079-06-06
1644434144;174917156;689640320;0;8;66:14:4901001:976;2025-09-29;2025-09-29;2079-06-06
1644434146;174917156;689640320;0;13;657130004160000000710001000000000;2025-09-29;2025-09-29;2079-06-06
1644434378;174917181;689640492;0;1;6684;2025-09-29;2025-09-29;2079-06-06
1644434380;174917181;689640492;0;3;6619;2025-09-29;2025-09-29;2079-06-06
1644434382;174917181;689640492;0;6;65224000013;2025-09-29;2025-09-29;2079-06-06
1644434384;174917181;689640492;0;8;66:14:1901001:1295;2025-09-29;2025-09-29;2079-06-06
1644434386;174917181;689640492;0;13;657130003860000000510001000000000;2025-09-29;2025-09-29;2079-06-06
1644434457;174917195;689640509;0;1;6684;2025-09-29;2025-09-29;2079-06-06
1644434459;174917195;689640509;0;3;6619;2025-09-29;2025-09-29;2079-06-06
1644434461;174917195;689640509;0;6;65224000049;2025-09-29;2025-09-29;2079-06-06
1644434463;174917195;689640509;0;8;66:14:1001001:916;2025-09-29;2025-09-29;2079-06-06
1644434465;174917195;689640509;0;13;657130002410000000610002000000000;2025-09-29;2025-09-29;2079-06-06
1644434529;174917207;689640524;0;1;6684;2025-09-29;2025-09-29;2079-06-06
1644434531;174917207;689640524;0;3;6619;2025-09-29;2025-09-29;2079-06-06
1644434533;174917207;689640524;0;6;65224000065;2025-09-29;2025-09-29;2079-06-06
1644434535;174917207;689640524;0;8;66:14:1201001:395;2025-09-29;2025-09-29;2079-06-06
