ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
246574134;174476932;12356996;688677510;67;0;247035169;2025-09-29;2025-09-05;2025-09-29;0;1231885.1232056.1228288.12356996.174476932
246574132;174476930;12356996;688677508;67;0;247037120;2025-09-29;2025-09-05;2025-09-29;0;1231885.1232056.1228288.12356996.174476930
247027676;174914982;161249957;689636574;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1232885.161236418.161249957.174914982
247035169;174476932;52678032;689649880;67;246574134;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1232056.1226908.52678032.174476932
247037120;174476930;52678032;689652746;67;246574132;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1232056.1226908.52678032.174476930
247037257;174924382;1234972;689652899;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1237444.1239127.1234972.174924382
247037577;174924701;69411129;689653339;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1232056.1227666.69411129.174924701
247037579;174924703;69411129;689653341;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1232056.1227666.69411129.174924703
247039219;174926342;174903941;689661202;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1227473.174903941.174926342
247041388;174928496;1236199;689664410;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1232736.1236199.174928496
247041517;174928565;1245046;689665352;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1232736.1245046.174928565
247043962;174930611;96743526;689669938;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1232056.96743526.174930611
247043964;174930613;96743526;689669940;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1232056.96743526.174930613
247043993;174930642;1226910;689669988;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1232056.1226910.174930642
66050245;34279040;34278415;52207572;67;0;0;2025-09-29;2017-03-27;2079-06-06;0;1231885.1232736.1244746.34278415.34279040
247048683;174935281;1230072;689679295;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1227473.1230072.174935281
66051422;34319392;34317426;52266767;67;0;0;2025-09-29;2017-03-27;2079-06-06;0;1231885.1232736.1244746.34317426.34319392
247049024;174935621;174673257;689679923;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1227473.1230471.174673257.174935621
247055150;174941538;1248779;689693533;67;0;0;2025-09-29;2025-09-29;2079-06-06;1;1231885.1238429.1240748.1248779.174941538
247063353;174949595;1230388;689709389;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227473.1228669.1230388.174949595
247063355;174949597;1226138;689709393;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227473.1232417.1226138.174949597
247063357;174949599;1226776;689709398;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227473.1226776.174949599
247066538;174952752;1241136;689718054;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1238429.1237283.1241136.174952752
247067996;174954198;1233983;689720972;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1239756.1238778.1233983.174954198
247075893;174961108;41355551;689737581;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1236288.41355551.174961108
247075956;174961164;41355551;689737669;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1236288.41355551.174961164
247077089;174962275;77985238;689740392;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1225776.1231716.77985238.174962275
247077091;174962277;77985238;689740394;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1225776.1231716.77985238.174962277
247077093;174962279;77985238;689740396;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1225776.1231716.77985238.174962279
247077181;174962364;77978995;689740739;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1225776.1231716.77978995.174962364
247077253;174962433;174952111;689740854;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227473.1231281.174952111.174962433
247077283;174962462;10132622;689740923;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1226063.1238196.10132622.174962462
247078111;174963280;1227721;689742242;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1227653.1232852.1227721.174963280
247079485;174964614;39366136;689744799;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1229756.1227935.39366136.174964614
247079647;174964773;103889732;689745173;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1226144.103889732.174964773
247080902;174966017;1230940;689748108;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1232885.1228257.1230940.174966017
247081074;174966188;1246611;689748763;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1244047.1246611.174966188
247081235;174966349;1230940;689749054;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1232885.1228257.1230940.174966349
247081625;174966736;1228349;689750375;67;0;0;2025-09-30;2025-09-30;2079-06-06;1;1231885.1227326.1227431.1228349.174966736
