ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
10115201;18244495;0519ecf2-c6f8-4fed-9f91-9260b2309b32;28739207;56;3;10;0;111795099;2025-09-29;2017-04-18;2025-09-29;0;0
10115411;18244771;06478d2d-7ce4-4a56-baa0-66fc51aaa6d2;28739613;59;3;10;0;111795106;2025-09-29;2017-04-18;2025-09-29;0;0
10116996;18247668;33352feb-5233-46b7-8193-c482b9ef0a38;28744127;65;3;10;0;111795133;2025-09-29;2017-04-18;2025-09-29;0;0
10122364;18256995;83001a84-a135-4faf-9034-c3e606b22829;28757760;54;3;10;0;111795092;2025-09-29;2017-04-18;2025-09-29;0;0
10122474;18257137;9ee13568-c5a8-48b3-83f1-4d0448006a72;28757936;61;3;10;0;111795109;2025-09-29;2017-04-18;2025-09-29;0;0
10122966;18257882;c0666c93-71d4-4163-b1bb-ae71aceee03f;28758917;60;3;10;0;111795108;2025-09-29;2017-04-18;2025-09-29;0;0
10126283;18263693;f749451d-2b94-4a51-b8db-271f202598da;28767406;58;3;10;0;111795104;2025-09-29;2017-04-18;2025-09-29;0;0
19920587;34319392;50783fd7-50ce-4840-ba40-f193780667a0;52266767;1;2;10;0;111802159;2025-09-29;2017-03-27;2025-09-29;0;0
111795106;18244771;06478d2d-7ce4-4a56-baa0-66fc51aaa6d2;689638669;59;2;20;10115411;;2025-09-29;2025-09-29;2079-06-06;1;1
111795130;18247025;2e4fd5ba-304c-4d87-bb84-a66dd645fab1;689638708;62;2;20;10116675;;2025-09-29;2025-09-29;2079-06-06;1;1
111795097;18257668;a910c62b-82c2-4eff-8e33-c6c155506744;689638644;55;2;20;10122820;;2025-09-29;2025-09-29;2079-06-06;1;1
111795102;18248631;3fa3baf5-1d20-4827-ab9b-482f4a976a88;689638662;57;2;20;10117487;;2025-09-29;2025-09-29;2079-06-06;1;1
111795109;18257137;9ee13568-c5a8-48b3-83f1-4d0448006a72;689638685;61;2;20;10122474;;2025-09-29;2025-09-29;2079-06-06;1;1
111795132;18256427;695c7543-f6f3-45d9-bd4e-22840b6e065c;689638711;64;2;20;10122011;;2025-09-29;2025-09-29;2079-06-06;1;1
111797803;174924335;b818be00-82da-431b-8895-12b49579f9a8;689652844;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111797998;174924702;76a3b6df-5998-4c7b-bc2e-7918a59c1cf5;689653340;2;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802158;34279040;12f84925-36fc-443c-9bf8-26a9dea41f71;689679191;1;2;55;19897183;129172247;2025-09-29;2025-09-29;2079-06-06;1;0
111809179;174961108;353bec81-5546-4795-8b81-b493c66ee0ba;689737581;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111809183;174961164;9ee0314e-020b-4d64-9ea2-a17a94eed9fd;689737669;4;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111809326;174962275;cb7f7d61-87fa-4123-9b9c-dbd3716b3fbc;689740392;6;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111809328;174962277;ee83392f-1c11-47d7-984e-3ec91995faed;689740394;4;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111809330;174962279;fd93193d-dfa3-4793-a900-964fd8c6c644;689740396;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111809335;174962364;063a0557-627c-4ccd-86e2-289356df78ae;689740739;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111809348;174962461;0d749c6e-c2c5-4b12-94d9-a332c86b689c;689740922;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111809809;174964614;6b937447-12c7-4ead-95ab-f17eb086eafd;689744799;10;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111817561;174988805;a8d17c5c-e090-4b5d-ae10-ccd8da845aae;689813778;8;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
