ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
128856906;173931940;69032262-998d-460c-9ab5-ad4775f885aa;656867016;2;5;10;0;129191120;2025-10-01;2025-08-11;2025-10-01;0;0
129168854;174924382;f22a8e06-b823-40ac-a6ca-6d6a4d00656d;689652899;6;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170074;174928565;9d7b1f2c-0119-430f-ba5e-a5fed58044e1;689665352;8А;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170739;174930611;a413a9f8-11df-489a-8829-6e663d3fd81b;689669938;11;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170741;174930613;0cc5562a-8e7a-4377-bc0e-40e8a13d6c54;689669940;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170746;174930642;b8e617d8-2efa-4df9-988a-b36b2be4229b;689669988;39;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129172247;174935205;759a4ce4-7e4b-4100-9fcd-7d38d0d1b02d;689679192;19/1;2;54;111802158;0;2025-09-29;2025-09-29;2079-06-06;1;1
129172289;174935296;2e4c19f7-b7ee-4e72-9ed0-3375c619a97d;689679319;59/1;2;54;111802159;0;2025-09-29;2025-09-29;2079-06-06;1;1
129176726;174949595;680b8078-e159-43ae-a332-3507789a83c5;689709389;3;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129181675;174964773;bbc8c3b5-cf7e-41f1-81bb-a70a6db4ca40;689745173;1;7;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129183468;174969304;629e7a9f-a483-4f2a-aa82-f67108b2b2eb;689756230;6;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129190025;174989503;b65ad4a5-79de-4487-a741-d41df24fac8f;689814926;40;4;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191120;173931940;69032262-998d-460c-9ab5-ad4775f885aa;689819854;8В;5;20;128856906;;2025-10-01;2025-10-01;2079-06-06;1;1
129191350;174992535;b385c027-482b-4b24-9de3-80d896cd2487;689822225;45;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191352;174992537;191f7ec0-df2c-4749-9579-8b9f127740ba;689822227;17;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191354;174992539;6573d99d-2bd8-4ab6-b386-fd33a308d971;689822229;48;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191364;174992560;11a44ddc-67ac-441b-b183-0d1670a06710;689822328;119;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191366;174992562;1e131374-3acb-452d-9e49-d1325ff8e4e7;689822330;25;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191368;174992564;151cc97d-2e92-40f6-ae6f-28b3cb2b58f9;689822332;104;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191346;174992515;96e9ace0-eec1-44c5-9589-0729a814197f;689822154;105;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191359;174992556;2e51edd1-5543-49c3-abaa-5d55dda602d0;689822283;5;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129191361;174992558;84d4a6a2-7894-4ae5-aa2e-c702df3ae797;689822285;82;7;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
