ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
403729535;72196542;107505829;689718804;8;67:22:60970101:120;2025-09-30;2018-09-14;2025-09-30
1350800089;64511855;479979177;689822370;8;67:14:1420110:84;2025-10-01;2022-11-24;2025-10-01
137621928;22496176;35061661;689790902;6;66401365000;2025-10-01;2019-08-20;2025-10-01
840199877;104739724;283912169;689790928;6;66401365000;2025-10-01;2022-06-16;2025-10-01
1494368605;2940713;582554536;689678932;8;67:11:1300101:570;2025-09-29;2024-01-04;2025-09-29
1512421243;36529147;595294732;689697961;8;67:26:0010114:599;2025-09-29;2024-05-07;2025-09-29
1644420145;174914982;689636574;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644420147;174914982;689636574;0;4;6722;2025-09-29;2025-09-29;2079-06-06
1644420149;174914982;689636574;0;7;66508000;2025-09-29;2025-09-29;2079-06-06
1644420151;174914982;689636574;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644420153;174914982;689636574;0;21;66508000;2025-09-29;2025-09-29;2079-06-06
1644486569;174924382;689652899;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644486571;174924382;689652899;0;4;6714;2025-09-29;2025-09-29;2079-06-06
1644486573;174924382;689652899;0;7;66524000195;2025-09-29;2025-09-29;2079-06-06
1644486575;174924382;689652899;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644486577;174924382;689652899;0;21;66524000;2025-09-29;2025-09-29;2079-06-06
1644488564;174924725;689653374;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644488566;174924725;689653374;0;4;6714;2025-09-29;2025-09-29;2079-06-06
1644488568;174924725;689653374;0;7;66544000250;2025-09-29;2025-09-29;2079-06-06
1644488570;174924725;689653374;0;15;16;2025-09-29;2025-09-29;2079-06-06
1644488572;174924725;689653374;0;21;66544000;2025-09-29;2025-09-29;2079-06-06
1644512843;174928539;689664645;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644512845;174928539;689664645;0;4;6714;2025-09-29;2025-09-29;2079-06-06
1644512847;174928539;689664645;0;7;66544000;2025-09-29;2025-09-29;2079-06-06
1644512849;174928539;689664645;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644512851;174928539;689664645;0;21;66544000;2025-09-29;2025-09-29;2079-06-06
1644513639;174928565;689665352;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644513641;174928565;689665352;0;4;6725;2025-09-29;2025-09-29;2079-06-06
1644513643;174928565;689665352;0;7;66527000213;2025-09-29;2025-09-29;2079-06-06
1644513645;174928565;689665352;0;13;665270002130000000020019000000000;2025-09-29;2025-09-29;2079-06-06
1644514023;67639651;689665809;0;8;67:11:1310101:192;2025-09-29;2025-09-29;2079-06-06
1644518038;49312009;689666937;0;8;67:11:1300101:259;2025-09-29;2025-09-29;2079-06-06
1644521447;2940098;689667572;0;8;67:11:1300101:256;2025-09-29;2025-09-29;2079-06-06
1350763239;46993366;479942328;689669073;8;67:11:1300101:533;2025-09-29;2022-11-24;2025-09-29
1644527754;2941143;689669307;0;8;67:11:1300101:723;2025-09-29;2025-09-29;2079-06-06
1644530441;174930611;689669938;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644530443;174930611;689669938;0;7;66701000001;2025-09-29;2025-09-29;2079-06-06
1644530445;174930611;689669938;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644530447;174930611;689669938;0;21;66701000;2025-09-29;2025-09-29;2079-06-06
1644530449;174930612;689669939;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644530451;174930612;689669939;0;7;66701000001;2025-09-29;2025-09-29;2079-06-06
1644530453;174930612;689669939;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644530455;174930612;689669939;0;21;66701000;2025-09-29;2025-09-29;2079-06-06
1644530457;174930613;689669940;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644530459;174930613;689669940;0;7;66701000001;2025-09-29;2025-09-29;2079-06-06
1644530461;174930613;689669940;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644530463;174930613;689669940;0;21;66701000;2025-09-29;2025-09-29;2079-06-06
1644530661;174930641;689669987;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644530663;174930641;689669987;0;7;66701000001;2025-09-29;2025-09-29;2079-06-06
1644530665;174930641;689669987;0;15;20;2025-09-29;2025-09-29;2079-06-06
1644530667;174930641;689669987;0;21;66701000;2025-09-29;2025-09-29;2079-06-06
1644530669;174930642;689669988;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644530671;174930642;689669988;0;7;66701000001;2025-09-29;2025-09-29;2079-06-06
1644530673;174930642;689669988;0;15;21;2025-09-29;2025-09-29;2079-06-06
1644530675;174930642;689669988;0;21;66701000;2025-09-29;2025-09-29;2079-06-06
1644541812;67690885;689673207;0;8;67:11:1300101:724;2025-09-29;2025-09-29;2079-06-06
1644548173;67774970;689674812;0;8;67:11:1300101:283;2025-09-29;2025-09-29;2079-06-06
1644558576;174934750;689678449;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644558578;174934750;689678449;0;4;6725;2025-09-29;2025-09-29;2079-06-06
1644558580;174934750;689678449;0;7;66710000001;2025-09-29;2025-09-29;2079-06-06
1644558584;174934750;689678449;0;15;84;2025-09-29;2025-09-29;2079-06-06
1644558586;174934750;689678449;0;21;66710000;2025-09-29;2025-09-29;2079-06-06
1644559847;69374532;689678906;0;8;67:11:1300101:298;2025-09-29;2025-09-29;2079-06-06
1644559871;69402667;689678933;0;8;67:11:1300101:258;2025-09-29;2025-09-29;2079-06-06
1644561071;18930638;689679172;0;8;67:18:0040203:3719;2025-09-29;2025-09-29;2079-06-06
1644561150;174935205;689679192;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644561152;174935205;689679192;0;4;6725;2025-09-29;2025-09-29;2079-06-06
1644561154;174935205;689679192;0;7;66527000143;2025-09-29;2025-09-29;2079-06-06
1644561156;174935205;689679192;0;15;96;2025-09-29;2025-09-29;2079-06-06
1644561158;174935205;689679192;0;21;66527000;2025-09-29;2025-09-29;2079-06-06
1644562006;174935293;689679314;0;2;6700;2025-09-29;2025-09-29;2079-06-06
1644562008;174935293;689679314;0;4;6714;2025-09-29;2025-09-29;2079-06-06
1644562010;174935293;689679314;0;7;66544000279;2025-09-29;2025-09-29;2079-06-06
1644562012;174935293;689679314;0;15;74;2025-09-29;2025-09-29;2079-06-06
