ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27410530;О присвоении адреса;2025-08-04;677;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27410562;О присвоении адреса;2025-08-04;679;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27410594;О присвоении адреса;2025-08-04;681;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27410905;О присвоении адреса;2025-08-04;683;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27411265;О присвоении адреса объекту недвижимости;2025-09-03;851;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МОНАСТЫРЩИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27411309;Об аннулировании и присвоении адреса объекту адресации;2025-09-26;Р-462;15;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""РУДНЯНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27411351;О присвоении адреса земельному участку с кадастровым номером 67:18:0060108:1444 и жилому дому с кадастровым номером 67:18:0060108:8419;2025-09-24;4330;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СМОЛЕНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27412029;О присвоении адресов земельным участкам;2025-09-04;857;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МОНАСТЫРЩИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27412142;О присвоении адреса;2025-08-04;685;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27412198;О присвоении адреса;2025-08-04;687;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27412277;О присвоении адреса;2025-07-31;649;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27412635;О присвоении адреса;2025-07-31;652;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27412743;О присвоении адреса;2025-07-31;654;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27412953;О присвоении адресов объектам адресации;2025-09-25;1445-адм;21;2;2025-09-29;" АДМИНИСТРАЦИЯ ГОРОДА СМОЛЕНСКА";2025-09-29
27413535;О присвоении адреса;2025-07-31;656;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27413582;О присвоении адреса;2025-07-31;658;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27414384;О присвоении адреса объекту адресации;2025-09-25;А-20250924-31884964504-3;23;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД ДЕСНОГОРСК"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-26
27414507;О присвоении адреса;2025-07-31;665;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27414504;О присвоении адреса;2025-07-31;664;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КРАСНИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27414625;О присвоении адреса жилому дому с кадастровым номером 67:18:0040203:3719;2025-09-26;4362;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СМОЛЕНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27414669;Об аннулировании и присвоении адреса;2025-09-25;893;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""МОНАСТЫРЩИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27414860;О присвоении адреса земельному участку с кадастровым номером 67:18:0040202:2420;2025-09-19;4221;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СМОЛЕНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-23
27416801;"О присвоение адреса объекту адресации на территории муниципального образования ""Темкинский муниципальный округ"" Смоленской области";2025-09-26;637;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ТЕМКИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27417714;Об аннулировании и присвоении адреса;2025-09-11;601;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ДУХОВЩИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27419348;О присвоении адресов объектам недвижимости;2025-09-25;Р-452;15;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""РУДНЯНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-25
27419851;О присвоении адреса земельному участку с кадастровым номером 67:18:2960101:694;2025-09-26;4368;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СМОЛЕНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27419855;О присвоении адреса земельному участку с кадастровым номером 67:18:3550101:7 и жилому дому с кадастровым номером 67:18:3550201:7;2025-09-26;4363;21;2;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""СМОЛЕНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27421285;О присвоении адреса земельному участку;2025-09-29;642;21;2;2025-09-30;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ТЕМКИНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-30
27421529;Об изменении кадастрового номера объекта;2025-09-22;П-731;21;1;2025-09-30;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ХИСЛАВИЧСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-23
27424406;"О внесении изменений в адреса объектов адресации на территории муниципального образования ""город Десногорск"" Смоленской области";2025-09-29;988;21;1;2025-09-30;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОД ДЕСНОГОРСК"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-30
27424436;Об аннулировании и присвоении адресов;2025-09-29;1852;21;2;2025-09-30;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЯЗЕМСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-30
27424526;О присвоении адресов;2025-09-29;1861;21;2;2025-09-30;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЯЗЕМСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-30
27425009;О присвоении адресов;2025-09-29;1867;21;2;2025-09-30;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЯЗЕМСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-30
27425271;О присвоении и аннулировании адресов;2025-09-29;1853;21;2;2025-09-30;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЯЗЕМСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-30
27425320;О присвоении и аннулировании адресов;2025-09-29;1854;21;2;2025-09-30;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ВЯЗЕМСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-30
27425427;Об аннулировании и присвоении адреса объекту адресации;2025-09-26;Р-464;15;2;2025-09-30;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""РУДНЯНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
27425429;Об аннулировании и присвоении адреса объекту адресации;2025-08-26;Р-466;15;2;2025-09-30;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""РУДНЯНСКИЙ МУНИЦИПАЛЬНЫЙ ОКРУГ"" СМОЛЕНСКОЙ ОБЛАСТИ";2025-09-29
