ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
19130684;1239672;3385224;689641248;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19142896;1240474;3387260;689714590;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19156488;1241376;3389445;689677287;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19158851;1241553;3389901;689713437;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19160776;1241691;3390234;689714208;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19170986;1242416;3391965;689715971;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19172970;1242532;3392315;689685750;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19176589;1242728;3392924;689715291;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19185838;1243355;3394537;689685803;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19186938;1243480;3394732;689685789;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19185923;1243390;3394493;689713704;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19191933;1243811;3395593;689714326;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19191758;1243763;3395560;689713772;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19197600;1244169;3396599;689714459;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19204813;1244652;3397889;689715264;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19213671;1245237;3399466;689676628;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19213341;1245223;3399448;689676846;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19215859;1245407;3399900;689685890;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19221671;1245745;3400975;689714019;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19229571;1246249;3402389;689684711;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19232035;1246447;3402858;689715911;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19242458;1247058;3404835;689715677;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19246519;1247341;3405645;689715161;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19261089;1248227;3408519;689676996;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19266854;1248570;3409684;689685115;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19276483;1249110;3411476;689713763;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19278029;1249249;3411974;689685841;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19280832;1249372;3412571;689715742;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19286010;1249694;3413649;689715898;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19298842;1250325;3416326;689677372;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19303147;1250627;3417246;689685928;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19309877;1250981;3418673;689685593;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19324012;1251774;3421669;689715533;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19330629;1252147;3423044;689712972;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19346313;1252949;3426373;689676687;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19348656;1253112;3426885;689713622;6;68401000000;2025-09-30;2014-04-23;2025-09-30
19350763;1253254;3427329;689677515;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19352550;1253371;3427713;689685658;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19363650;1253939;3429982;689685623;6;68401000000;2025-09-29;2014-04-23;2025-09-29
1644436216;1241948;689640862;0;6;68401373000;2025-09-29;2025-09-29;2079-06-06
1644436373;1245306;689640942;0;6;68401373000;2025-09-29;2025-09-29;2079-06-06
19215349;1245338;3399812;689641359;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19152504;1241121;3388840;689641473;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19177448;1242771;3393044;689676538;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19308883;1250958;3418469;689676603;6;68401000000;2025-09-29;2014-04-23;2025-09-29
1644554990;1245237;689676628;0;6;68401373000;2025-09-29;2025-09-29;2079-06-06
1644555011;1240935;689676645;0;6;68401373000;2025-09-29;2025-09-29;2079-06-06
1644555046;1250268;689676672;0;6;68401373000;2025-09-29;2025-09-29;2079-06-06
1644555059;1245451;689676683;0;6;68401373000;2025-09-29;2025-09-29;2079-06-06
19290610;1249902;3414501;689676699;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19293013;1250075;3415078;689676725;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19201867;1244450;3397342;689676760;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19300746;1250506;3416744;689676784;6;68401000000;2025-09-29;2014-04-23;2025-09-29
19203641;1244604;3397666;689676842;6;68401000000;2025-09-29;2014-04-23;2025-09-29
1644555273;1245223;689676846;0;6;68401373000;2025-09-29;2025-09-29;2079-06-06
1644555344;1241860;689676903;0;6;68401373000;2025-09-29;2025-09-29;2079-06-06
1644555449;1248227;689676996;0;6;68401373000;2025-09-29;2025-09-29;2079-06-06
