ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
8047691;14736363;9ed36942-8e38-43ed-848c-1d1444c3a22f;23534158;15;2;10;0;111804717;2025-09-29;2017-03-02;2025-09-29;0;0
111801531;53648786;6a579798-0968-458f-aa2b-06314e2465ea;689675378;2;2;30;31876406;0;2025-09-29;2025-09-29;2079-06-06;1;0
111801532;53649280;9b182c7a-f15d-45cf-97db-795acb117a5b;689675379;1;2;30;31876640;0;2025-09-29;2025-09-29;2079-06-06;1;0
111804269;29992537;097ffe72-85a3-42e0-9969-9325bb14a11a;689694019;2;2;30;17292989;0;2025-09-29;2025-09-29;2079-06-06;1;0
111804270;29992729;f81744d8-2f98-4bb6-8d7f-48af5b07c090;689694020;1;2;30;17293095;0;2025-09-29;2025-09-29;2079-06-06;1;0
111804717;14736363;9ed36942-8e38-43ed-848c-1d1444c3a22f;689697024;15;2;30;8047691;0;2025-09-29;2025-09-29;2079-06-06;1;0
111810770;174967563;2ba7919f-8467-4d00-a2d1-c880343d89c3;689752264;37;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
29625484;50068883;1af6d41d-f743-4ed5-a926-ab65765b1e73;75164872;1;2;10;0;111815452;2025-10-01;2018-08-07;2025-10-01;0;0
29625573;50069010;1ce987cf-74c7-4b05-8e23-bf1aa54fc20b;75165080;2;2;10;0;111815453;2025-10-01;2018-08-07;2025-10-01;0;0
18566673;32086954;7484a2c9-f2a8-4b19-8b85-36fc4d2c06c3;49008428;1;2;10;0;111815564;2025-10-01;2018-07-27;2025-10-01;0;0
18566687;32086970;c8f01ccf-0b4e-44ae-ae0e-3cc073ca9511;49008448;2;1;10;0;111815777;2025-10-01;2019-07-24;2025-10-01;0;0
7176773;13220804;eaf764d2-c27f-4a8e-ab46-eff95cfa3fd8;21235438;1;2;10;0;111815901;2025-10-01;2018-08-17;2025-10-01;0;0
42105210;70568650;fb1627d7-f561-4cce-bc23-ba7227cd2fee;105147478;15;2;10;0;111815902;2025-10-01;2018-07-26;2025-10-01;0;0
111818649;174991372;a031bcec-5fbd-448c-a65d-171912631007;689818934;1;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
