ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27408712;О присвоении адреса земельному участку с кадастровым номером 68:07:0407002:15;2025-09-23;2383;21;2;2025-09-29;АДМИНИСТРАЦИЯ МИЧУРИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТАМБОВСКОЙ ОБЛАСТИ;2025-09-29
27408781;О присвоении адреса объектам адресации;2025-09-18;1850;21;2;2025-09-29;АДМИНИСТРАЦИЯ ПЕРВОМАЙСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТАМБОВСКОЙ ОБЛАСТИ;2025-09-29
27409412;О присвоении адреса земельному участку;2025-09-12;2308;21;2;2025-09-29;АДМИНИСТРАЦИЯ МИЧУРИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТАМБОВСКОЙ ОБЛАСТИ;2025-09-29
27409482;"О присвоении адресов земельным участкам с категорией ""земли сельскохозяйственного назначения""";2024-11-19;1763;21;2;2025-09-29;Администрация Инжавинского муниципального округа Тамбовской области;2025-09-29
27409970;О присвоении адресов объектам адресации;2025-09-23;2386;21;2;2025-09-29;АДМИНИСТРАЦИЯ МИЧУРИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТАМБОВСКОЙ ОБЛАСТИ;2025-09-29
27410873;О присвоении адресов земельным участкам;2025-09-10;2285;21;2;2025-09-29;АДМИНИСТРАЦИЯ МИЧУРИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТАМБОВСКОЙ ОБЛАСТИ;2025-09-29
27411286;о присвоении адреса земельному участку в кадастровом квартале 68:19:1103001;2025-09-24;1430;21;2;2025-09-29;АДМИНИСТРАЦИЯ СТАРОЮРЬЕВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТАМБОВСКОЙ ОБЛАСТИ;2025-09-29
27411369;о присвоении адреса земельному участку с кадастровым номером 68:18:1501003:22;2025-08-22;1293;21;2;2025-09-29;АДМИНИСТРАЦИЯ СОСНОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТАМБОВСКОЙ ОБЛАСТИ;2025-09-29
27411420;Общероссийский классификатор объектов административно-территориального деления;1995-07-31;ОК 019-95;900;1;2025-09-29;Федеральная служба государственной статистики;2025-09-29
27412332;О присвоении адресов земельным участкам Инжавинского муниципального округа Тамбовской области;2025-09-23;1214;21;2;2025-09-29;АДМИНИСТРАЦИЯ ИНЖАВИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТАМБОВСКОЙ ОБЛАСТИ;2025-09-29
27412398;О присвоении адреса жилому дому с кадастровым номером 68:27:0000137:496, по адресу: г. Моршанск, ул. 2-я Дачная, д. 8/2;2025-09-25;1264;21;2;2025-09-29;АДМИНИСТРАЦИЯ ГОРОДА МОРШАНСКА ТАМБОВСКОЙ ОБЛАСТИ;2025-09-29
