ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
12321616;97289308;93ac6b16-806d-482c-8690-03a68d6cae5c;156109798;6;50;11886673;74174931;2025-09-29;2020-08-28;2025-09-29;0;0
74165762;174913834;eadba0dd-bb47-4054-bf97-ba2a4bfef925;689634238;6;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165767;174913840;93f19463-af18-4091-99c1-16fd05082603;689634249;1а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165772;174913847;da100b02-11af-420d-96f2-a41e05ed5fc4;689634260;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165789;174913874;737d543f-8536-49ca-976c-e681ec4c414c;689634310;17;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165792;174913878;d9bb3eb6-f570-42c2-ab82-c9f7f5a59555;689634314;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165797;174913886;af902b4b-8057-4191-966c-09c6f260bcfc;689634322;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165803;174913893;85857b62-0f87-4226-9d7c-2f3aa1308348;689634329;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165810;174913902;bc72f804-1630-4d52-b162-2bc3035b4b10;689634338;51/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165815;174913908;1ba9e6f1-f8b1-424a-98d3-9f092888e457;689634344;2а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165818;174913912;67b7843c-a73a-4e69-9497-b4f0b89d6236;689634348;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165824;174913920;f5be060d-c5a5-4e04-82ef-4dc4fbfff134;689634356;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165830;174913928;f9b650f1-8c59-49de-a31a-2f972933a495;689634364;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165838;174913938;4e4c1b40-df88-4d15-93cd-9238b8f221ad;689634374;109/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165845;174913946;79c6d4b2-6303-4ec6-a1ac-2e94adfa7bb5;689634382;15;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165850;174913952;187979f7-6d6c-4a30-8e29-19bd27ad3959;689634388;18;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165856;174913960;bc9e446d-d45d-49cc-8c33-49bc59c4e231;689634396;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165861;174913965;9cf023a0-e5c3-43d1-a0e9-651b0080742c;689634401;37;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165865;174913972;97be7a0d-341b-4e44-829f-243181cb21f0;689634409;78/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165869;174913976;5f3cff13-3659-4ede-91c7-bcb723afc958;689634413;84;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165873;174913980;08a707ea-2e18-4f9e-a513-9ae0526ffdf9;689634417;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165877;174913984;f25e125d-41ce-4849-b5e6-735c2818ebc3;689634421;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165881;174913988;13cbd2ba-c150-4b55-968f-11fca9ec84cc;689634425;38а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165885;174913992;ca3d7aed-fc9a-4d1a-9936-ab6876be93a7;689634429;20;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165889;174913996;7056488c-e594-46b1-968f-03d6d4c31a58;689634433;40;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165893;174914000;ba03bfd1-21f2-45d0-8c3a-7e6795ce65b4;689634437;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165897;174914004;ea0d92eb-c366-4ade-91a2-355db912a114;689634441;39;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165901;174914008;d3df210d-9013-43a9-8736-5846ea0912fd;689634445;19;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165905;174914012;1d34f031-39ae-4567-ac90-8bd125aa9625;689634453;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165779;174913859;f07ee5c5-ea60-4880-b6b3-c6a5eeb879a6;689634289;1/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165783;174913867;21117f95-b0c2-4a85-a577-1d7ce336f834;689634303;19;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165795;174913881;e944870e-6353-4994-872c-d9c80d35019e;689634317;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165799;174913888;85d64e2f-e2dc-4f4d-b983-8cb2fdf33c0b;689634324;52;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165804;174913894;bf27406e-3e42-4816-b842-0368c928d51f;689634330;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165808;174913900;fc442b76-d2ba-4b67-b162-243d3ab85e94;689634336;4а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165813;174913906;85fa9329-8600-4a8d-a067-bb56bd9adbc2;689634342;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165817;174913911;c75d7b0c-15e3-4070-bab5-bb63435e49de;689634347;21а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165822;174913917;0a76d407-c058-4a44-9b72-1f2f1d7866b8;689634353;6;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165828;174913926;788013b6-5a22-4f65-9fce-109ee3783088;689634362;12;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165833;174913931;242dc0c2-04ab-454f-8b38-958486290c8d;689634367;8а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165837;174913937;8e51b359-3e37-467f-91c9-fa586790baec;689634373;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165841;174913941;1d3ffcd6-a4fc-4f0a-81dc-fc3fa8dcf4f0;689634377;27;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165844;174913945;014758dd-285f-4c3e-988e-e43a799c2f44;689634381;123;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165848;174913949;5f3bb64a-5f80-45bb-b54a-5a6b15498478;689634385;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165851;174913953;39e5a56b-cd1a-4b83-b0d6-678ee82fbf82;689634389;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165855;174913959;01bc930f-9a1f-48e1-b737-2c18ecdd5d02;689634395;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165858;174913962;318f1d2d-c3d1-4bac-b78f-aea4da8dc4b7;689634398;10;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165862;174913966;d55ef3fb-4a88-4a60-9fb2-045e4e14450c;689634402;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165866;174913973;7fa51dd5-6ecd-4493-895f-bb2a0951a9d3;689634410;1/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165870;174913977;fbe1c051-de46-48a0-b8e2-4bc25c775b65;689634414;82;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165874;174913981;7877643b-adb0-46b0-988f-16ab0c135494;689634418;43;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165878;174913985;dd6d849a-3de1-43c2-b1a5-7cc01be0952d;689634422;54;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165882;174913989;a7661205-5127-4335-964e-229f92725f93;689634426;45а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165886;174913993;a8492a99-7279-418a-9ddb-7ab47535a9a5;689634430;36;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165890;174913997;e9863a7b-e903-4f1c-aa71-f33e70475a83;689634434;25;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165894;174914001;99054d9c-3205-4bea-9aa5-84eb40d23e91;689634438;18;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165898;174914005;c246b065-5992-401e-b18b-53309a5bc1a8;689634442;61;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165902;174914009;f1726472-7413-48fd-aaae-6187e09d5793;689634446;20;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165906;174914013;4be87e48-473f-48c9-a6da-fcb2f729e3ca;689634456;6;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166360;174914981;d8a89f27-3fcd-4df6-9029-e3a6934de83b;689636556;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166375;174914985;9d49cc35-5c0f-4a79-980d-8dcf800b312e;689636605;134;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166381;174914989;1722626a-a1a9-4637-9175-27498a0e17f6;689636619;24;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166384;174914992;30872079-fb85-4add-8065-e91b0906e8ca;689636653;3А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166420;174915036;baa55d1c-b68a-4f92-a5a0-8b1d03c27fad;689636707;35;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166419;174915035;eda2a7ef-03b1-428a-8f33-09371ca04d91;689636706;91;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166423;174915039;b7c0ac0c-637c-4382-9321-6bde8423efc5;689636710;134;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166511;174915203;c6bcd664-ae25-4d0d-8834-91bc7654f993;689637007;13/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166560;174915310;c365cf02-f943-42de-9a71-8ecdb443dd5c;689637267;8/16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166594;174915379;38fded1f-6bbb-41f8-bb4a-16cb762d1fca;689637365;62;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166605;174915455;e0a620de-c6fa-4718-918d-77b207f0a796;689637445;64;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166626;174915492;8c5a4c8b-7f20-47f8-a9fa-1c4a80e60926;689637492;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166635;174915503;6da3c57f-d934-42bb-8c79-fc5037fdbf22;689637510;55/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166653;174915521;4479808c-1d74-4d11-9385-4c679efd2f26;689637545;53;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166660;174915528;eb984ecf-3c0f-45fd-b9b7-94df602cd682;689637559;49;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166671;174915540;ba31887c-4c3f-4cbf-8d85-29cf298f68a0;689637574;6/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166675;174915546;5fc616a0-8e1b-495b-99f8-6d60a0bcafa1;689637583;2/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166590;174915363;f2e5284e-2060-469e-8bde-ceb01bc70532;689637343;3/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166621;174915485;8d118432-4589-4fe8-857a-55b0caf3f41f;689637484;57;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166661;174915529;6932ae53-8b97-4ad5-b06b-318f56604f6a;689637560;6;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167346;174917106;81c95dd1-b96a-41c7-8d55-72183630e1ce;689640246;6;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167353;174917116;0c8cd4ae-8b19-4443-88b2-36a06f1c928f;689640267;64а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167366;174917153;3fed082a-a995-4ae5-9e81-7cce7a6f6b3b;689640316;14;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167404;174917219;9026f911-7386-45a3-a324-12f40676861d;689640541;61а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167439;174917303;57e22386-c36a-4b9a-95a1-eee0856296f2;689640640;11;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167371;174917160;70e6c47b-b7b3-412b-b1be-66005c886cba;689640325;33;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167416;174917270;243ec7cd-f7d0-432c-a4b2-86c88aae2215;689640600;36а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167480;174917370;7320e044-967c-406d-9e3b-49851f33480e;689640751;11а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167463;174917334;1db58f26-9625-4c14-aa2c-41984ab74aea;689640689;118;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167478;174917351;232f08af-f6ae-4fc2-ba9d-4517577531d0;689640718;117;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167483;174917397;ec41bf16-afde-4e61-a541-5a139612da47;689640787;60а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167488;174917403;a90811a4-2be3-4b89-be1e-b4cd79a96b63;689640807;78/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167492;174917417;7702fd8c-466e-4e96-a328-3c9a2f3d53f3;689640824;196;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167496;174917438;43107963-60b6-44ee-bd63-efb4edadbe34;689640853;22а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169069;174920035;4cffd430-8c07-453b-b329-773b7c690b5e;689646173;27;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169118;174920106;5697dc89-bd36-459e-af64-efe2b7cab6b3;689646293;83А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169109;174920095;5695a08a-d62b-42b1-ae35-1740e19a0ff3;689646276;39;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169129;174920122;beb2e807-8a8d-4c16-b1a0-9f811124c9a5;689646330;45;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169139;174920137;2bc01047-b9db-4069-8de2-35d96eb2fe50;689646356;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169156;174920169;53d5124d-6939-42e7-b496-ec13ccdd6c97;689646405;37/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169165;174920182;d844ad18-bfc5-4795-b112-137828a40c32;689646423;48;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169211;174920258;17fcdc05-2ba1-4ce0-a7f1-d8c911cb2db5;689646563;52;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169238;174920328;057599af-fff4-4524-a0aa-27b0b2d87b95;689646657;58;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169299;174920442;4ee9edf7-8923-483a-abb1-ac2a63f4f039;689646846;61Б;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169179;174920199;3fabc134-65ae-43dc-9e06-eec302c7b7ef;689646448;50;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169204;174920246;d057f9b8-9a69-4fad-8717-cbe36b841d4e;689646544;51;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169222;174920284;2d239f04-82ff-4ff3-a91e-4caec8d098c6;689646603;54;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169258;174920374;1aa3e2ca-e371-4c30-be38-f7dae7440bf6;689646722;59;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169302;174920448;93834824-e72b-4c44-82cf-936c5c3e0045;689646981;62;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169976;174922003;b71f7681-3d13-4c8e-b561-f43659cc5fa6;689649388;65;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169988;174922016;be8c10da-4739-497e-bd47-1dc8eb0d8552;689649414;66;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
