ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27411415;О принятии и введении в действие общероссийского классификатора территорий муниципальных образований ОК 033-2013;2013-06-14;159-ст;24;1;2025-09-29;АДМИНИСТРАЦИЯ НЕЛИДОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;2025-09-29
27411903;О присвоении адреса земельному участку на территории 5-я Заволжская;2025-09-23;4773;21;2;2025-09-29;АДМИНИСТРАЦИЯ КАЛИНИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;2025-09-29
27412258;О присвоении адреса дому в ж/д станция Чуприяновка;2025-09-15;4592;21;2;2025-09-29;АДМИНИСТРАЦИЯ КАЛИНИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;2025-09-29
27412311;О присвоении адресного номера объекту недвижимости на территории Удомельского муниципального округа;2025-09-26;794-па;21;2;2025-09-29;АДМИНИСТРАЦИЯ УДОМЕЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;2025-09-29
27412753;Об упорядочивании адресного хозяйства в г.Зубцов;2025-09-29;608;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЗУБЦОВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;2025-09-29
27412807;О присвоении адреса дому в д. Андрейково;2025-09-25;4826;21;2;2025-09-29;АДМИНИСТРАЦИЯ КАЛИНИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;2025-09-29
27413486;О присвоении адреса дому в д. Неготино;2025-09-25;4828;21;2;2025-09-29;АДМИНИСТРАЦИЯ КАЛИНИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;2025-09-29
27413812;О присвоении адреса объекту недвижимости;2025-09-17;313-па;21;2;2025-09-29;Администрация Жарковского муниципального округа;2025-09-29
27413821;Об аннулировании адреса объекта адресации;2025-09-26;721;21;2;2025-09-29;АДМИНИСТРАЦИЯ КАЛЯЗИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;2025-09-29
27414047;О присвоении адреса жилому дому в п. Заволжский;2025-09-24;4798;21;2;2025-09-29;АДМИНИСТРАЦИЯ КАЛИНИНСКОГО МУНИЦИПАЛЬНОГО ОКРУГА ТВЕРСКОЙ ОБЛАСТИ;2025-09-29
