OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
173977219;339462c4-397a-4d76-9ef3-baf2284b6832;689728423;1;9;2025-08-12;2025-09-30
52293423;ecebcc57-8790-436f-b8e6-798f7c8c3e0d;689800734;1;11;2018-09-06;2025-10-01
53587178;cc6f6ba8-1f81-42a4-add1-bbcb163d3f17;689728402;1;11;2018-09-20;2025-09-30
62169434;f1d8d015-8b3b-46fc-8e61-8ccf542a71a5;689683003;1;10;2017-08-03;2025-09-29
69420394;0833639b-9124-4070-9b9e-01da9cb7bbdd;689746013;1;10;2019-07-10;2025-09-30
173183695;1ee269cd-dc84-4090-95b2-f3614601d5fd;689662095;1;10;2025-07-01;2025-09-29
173579461;27173c19-539b-4b70-bd3c-ca4dae14e18f;689803162;0;9;2025-07-23;2025-10-01
172326467;353e5600-c9a4-4af7-8602-1e4f1b9b3232;689758259;1;9;2025-05-21;2025-09-30
63577180;a534e7d5-e26a-4b91-8b2b-3fc35cd76f19;689661993;1;10;2019-11-19;2025-09-29
53435052;51e365f6-ddc2-4e3c-a5dd-7faa4dad3635;689662155;1;10;2019-07-10;2025-09-29
63577861;5f92a9e1-2ce5-4f7e-b0f7-f9b1e6f6772f;689661989;1;10;2019-11-19;2025-09-29
174917499;e29740fd-1501-454d-a868-798aa3b06c34;689641658;1;9;2025-09-29;2025-09-29
174917497;7704b38b-dcf9-4a39-a3bd-a39e07f4442e;689641656;1;10;2025-09-29;2025-09-29
174917512;7e22b1c5-311d-4696-a2e0-c970d7bef393;689641672;1;9;2025-09-29;2025-09-29
174917514;12e61403-915e-4665-b3e1-d86dcd865df0;689641674;1;9;2025-09-29;2025-09-29
174920600;0c0fe9d5-0206-422d-b983-c2065a9aafb2;689647301;1;9;2025-09-29;2025-09-29
174920606;8ea7c3cd-6242-4159-9e5e-897082f69fb5;689647308;1;10;2025-09-29;2025-09-29
174920616;2872e4c2-4052-4658-a3b0-26cef8861e00;689647318;1;9;2025-09-29;2025-09-29
162163284;9307dd6a-94fe-4844-a755-bac7650e0abe;689650465;1;10;2024-01-23;2025-09-29
174924945;614ad4f6-0048-43f7-a32c-5f1c619c4bfd;689654036;1;9;2025-09-29;2025-09-29
174924947;c8186a8a-963e-4f42-b9c1-5febaa865ff8;689654057;1;10;2025-09-29;2025-09-29
174924949;1030120f-777b-4f89-b835-ee8787b7cc31;689654074;1;10;2025-09-29;2025-09-29
174924951;ae7e3a65-b9bd-488a-9402-22ad30e2375f;689654079;1;11;2025-09-29;2025-09-29
174924953;1bbae60e-2312-4a77-b34b-003c6ad7c55b;689654082;1;11;2025-09-29;2025-09-29
174924955;3b8e32e1-a0bd-4d60-a4a8-636a79156ec1;689654084;1;11;2025-09-29;2025-09-29
174924957;1d3e5f42-375e-4e7e-97cb-b3e715a6ea67;689654087;1;11;2025-09-29;2025-09-29
174924969;c7c58500-e26e-4dbe-915b-222f616202df;689654112;1;12;2025-09-29;2025-09-29
174924973;80a9d470-54b2-40c5-9367-f6cacf00bda7;689654119;1;9;2025-09-29;2025-09-29
174925041;b1417702-e0c2-42d9-a4b0-f666eadaa6db;689654208;1;11;2025-09-29;2025-09-29
174925043;8fe4a4bb-783e-4f3f-a5d9-3ad7a7c13d09;689654210;1;11;2025-09-29;2025-09-29
174925055;4293ad92-c341-465d-bdd0-e8561a3d0883;689654223;1;11;2025-09-29;2025-09-29
174925056;cfe51d46-b6f2-4e7e-bd36-3058a1eb6b66;689654224;1;11;2025-09-29;2025-09-29
174925076;8a7e8cfd-36d0-4a23-ace8-63f6703b68d8;689654244;1;10;2025-09-29;2025-09-29
174925081;0f8b9dd5-2958-4333-a89b-fc5e9cc3ab97;689654249;1;10;2025-09-29;2025-09-29
174925085;65a17b5e-85d3-4859-bd3e-7881a0346d40;689654254;1;10;2025-09-29;2025-09-29
174925140;82deb32b-db57-4009-b7e8-9b687a5fea96;689654317;1;11;2025-09-29;2025-09-29
174925600;fe4c3489-4ff6-4048-825f-b08c37f4df8d;689654978;1;10;2025-09-29;2025-09-29
174925673;bd0c5300-c2a4-4d8c-a0e0-774b334ad7ea;689655098;1;10;2025-09-29;2025-09-29
174925675;002cda6c-09e2-4959-bf7e-f4295ccd9846;689655100;1;10;2025-09-29;2025-09-29
174926839;92e7988d-85d4-4270-a485-847c390c7044;689661795;1;9;2025-09-29;2025-09-29
174926841;ddc98dfc-54af-49b6-b3c2-209b81a94764;689661799;1;9;2025-09-29;2025-09-29
174926866;ac0bd011-872e-4ac3-a666-4bff0db789aa;689661962;1;9;2025-09-29;2025-09-29
63577361;e26cc0ee-e7e0-419e-bb38-7516f2b98e14;689661987;1;10;2019-11-19;2025-09-29
174927898;8f29a71c-aced-4e8a-95eb-229023fedba7;689663474;1;10;2025-09-29;2025-09-29
174928159;a48b267b-480d-46d7-9d5b-48c6edee7ef8;689663754;1;9;2025-09-29;2025-09-29
174928168;3516e8cb-ca39-4b0b-a6c1-ed4989a1b6f5;689663767;1;9;2025-09-29;2025-09-29
174930324;bbe5a487-4db4-41f8-aaaf-a043b00da80f;689669321;1;10;2025-09-29;2025-09-29
174929221;c34886be-ecae-4d0c-8ea5-e3ff4345340a;689667142;1;10;2025-09-29;2025-09-29
174930240;96c9c83f-ebbc-4355-a1c9-00b0cc897878;689669055;1;10;2025-09-29;2025-09-29
174933130;2f03747e-673b-484a-9436-5ed83aaba78e;689674388;1;9;2025-09-29;2025-09-29
174933572;f3b36c0d-63b0-472d-9eff-e3bfc803f645;689675121;1;10;2025-09-29;2025-09-29
174933686;45f5e22a-b3b8-4cf4-9c29-e35b626fc3e0;689675286;1;10;2025-09-29;2025-09-29
174932275;fc179685-db02-4f0b-8a05-958439e88322;689672980;1;10;2025-09-29;2025-09-29
174937081;4f228265-4474-46b2-ad33-bd599196f103;689682592;1;9;2025-09-29;2025-09-29
174937083;bdbca8e7-6e87-46b9-b8fb-1fecde340291;689682594;1;9;2025-09-29;2025-09-29
174937187;23c7cbc9-1fce-49a6-995a-b82da1566f2b;689682729;1;10;2025-09-29;2025-09-29
174937212;1cecaa7c-938a-4c2f-b0df-1c67eb06940d;689682809;1;9;2025-09-29;2025-09-29
174937253;f281d902-aa85-4791-b2c2-a70785009767;689682889;1;10;2025-09-29;2025-09-29
174937350;683c7938-3f56-4ca3-86bc-96c2a3ab66ea;689683048;1;10;2025-09-29;2025-09-29
174937359;25751fff-1d87-48ad-99f4-cb83d21405a9;689683084;1;10;2025-09-29;2025-09-29
174937530;3c51d0bb-8643-47f4-8031-9554ab0aec68;689683358;1;10;2025-09-29;2025-09-29
174937635;1ad9f699-cac3-47d4-a7e9-fa8ece68b305;689683487;1;10;2025-09-29;2025-09-29
174937689;2f0fb981-6af5-4896-a772-a95d9eeb3df0;689683582;1;10;2025-09-29;2025-09-29
174937815;ab546276-0a92-4419-95d0-cb1d3e864fcf;689683948;1;9;2025-09-29;2025-09-29
174939621;90c483cc-0ec1-4c12-9389-0a8c6d46b871;689688841;1;9;2025-09-29;2025-09-29
174939787;59664592-0162-4a03-9290-ada1b495f783;689689356;1;9;2025-09-29;2025-09-29
174940105;7319046d-52fe-4626-b0e3-40929955d735;689690457;1;9;2025-09-29;2025-09-29
174940152;4ddcd1f5-9a22-492f-88f7-e71170a80493;689690542;1;9;2025-09-29;2025-09-29
174940347;a8ca0657-c88f-4c35-baaa-213b67dfbef5;689690820;1;9;2025-09-29;2025-09-29
174940451;36360215-40f3-4e6d-84e4-b3c63e5da998;689690968;1;9;2025-09-29;2025-09-29
174940616;ee1cf2f5-f25f-41bc-b831-1c542d67e821;689691297;1;9;2025-09-29;2025-09-29
174940770;7ac673db-0f26-4b77-91be-5ca9e116b0ee;689691585;1;9;2025-09-29;2025-09-29
174940860;33d41a8d-ac42-4d96-baba-38a3a3ba0cb5;689691734;1;9;2025-09-29;2025-09-29
174940867;c1992b65-d187-4217-807d-f7330b79c693;689691760;1;9;2025-09-29;2025-09-29
10104001;a6a98ce9-47cc-4132-b696-43a6a22bfaef;689692835;1;11;2017-01-29;2025-09-29
174943733;71a9f1ed-61dd-4532-82f8-b7cbf33b5d74;689697063;1;9;2025-09-29;2025-09-29
174943766;2ef2145c-b589-40da-9c14-9d9eb7cbec84;689697107;1;9;2025-09-29;2025-09-29
174943965;5941cfb8-d2c5-4fe7-a06e-973d205b994c;689697345;1;9;2025-09-29;2025-09-29
174943991;c72f9156-1069-4356-8d38-0f6f3809324e;689697400;1;9;2025-09-29;2025-09-29
174944023;39063f21-e134-4f52-94bc-666f1fc09c6d;689697451;1;9;2025-09-29;2025-09-29
174944675;3df01979-044a-47fc-89bb-859ae0aa25fa;689699465;1;9;2025-09-29;2025-09-29
174944683;641f4598-c73f-4777-9ce3-2a5b38fa44f6;689699551;1;9;2025-09-29;2025-09-29
174944734;de75b7a1-ee4a-48bb-9889-c0e165f8992d;689699621;1;9;2025-09-29;2025-09-29
174944747;99a87a25-9ae4-462f-af03-e027b7b64009;689699681;1;9;2025-09-29;2025-09-29
174954645;579bda1e-8b4a-4c9b-9ecf-c3f32307e5b9;689721898;1;10;2025-09-30;2025-09-30
174954663;7ec775b6-87f9-44db-b5d2-a20571048a53;689721954;1;9;2025-09-30;2025-09-30
174954770;c19dba4c-fba7-4b59-b7bb-816a27ee90f0;689722349;1;9;2025-09-30;2025-09-30
174954791;40bcbf41-8ccf-4095-8cc6-bc2d9158644c;689722430;1;9;2025-09-30;2025-09-30
174954803;ea660037-8520-413a-a2ae-acf66eb947c9;689722466;1;9;2025-09-30;2025-09-30
174954808;13923fb6-0815-4c68-bc4e-375578a727d5;689722512;1;10;2025-09-30;2025-09-30
174950400;f7108ada-7b0a-4676-aeec-a2ef1d381d67;689710862;1;9;2025-09-30;2025-09-30
174951948;ab87b346-004a-44e7-a79b-9286ead51f83;689716276;1;11;2025-09-30;2025-09-30
174951974;8722dfed-0697-4750-9e57-36c4ee6a011c;689716302;1;9;2025-09-30;2025-09-30
174951989;ddfd0343-f2e5-4ecb-8cda-5bff4e086218;689716317;1;11;2025-09-30;2025-09-30
174952068;3df62b89-41b2-458c-ae07-f46739701d12;689716402;1;10;2025-09-30;2025-09-30
174957003;eb7044b7-86d2-465a-b17c-301aa26aa43d;689726580;1;9;2025-09-30;2025-09-30
174957005;d5880ee1-984d-4d1f-bd3e-12c8ac9f6045;689726582;1;9;2025-09-30;2025-09-30
174957007;2719f768-42b5-4d56-a013-6dcb6f24efb5;689726584;1;9;2025-09-30;2025-09-30
174957009;897d4125-6ae8-4b47-a96e-6d007b6ff5e1;689726586;1;9;2025-09-30;2025-09-30
174957011;8e451638-f15b-4b50-b41a-ae32d7e373a9;689726588;1;9;2025-09-30;2025-09-30
174957013;2d8e8215-0855-4586-af57-a38b2f1fc1ca;689726590;1;9;2025-09-30;2025-09-30
174957015;2b744850-7634-4cd5-95b8-c72b1bc662d9;689726592;1;9;2025-09-30;2025-09-30
174957017;5a2d7aee-4f26-43d7-ad45-7e07185f8d49;689726594;1;9;2025-09-30;2025-09-30
174957223;16eaacdf-73b1-43bd-9ba7-c389f18c7251;689726899;1;9;2025-09-30;2025-09-30
174957225;6bd82f9d-bb2e-459a-83f6-2d7db1162662;689726901;1;9;2025-09-30;2025-09-30
174957227;5c5503b6-1553-4c27-b46f-4ee67ea187ea;689726903;1;9;2025-09-30;2025-09-30
174957229;be790ebe-8fbc-49a2-b86b-2d37218b936a;689726905;1;9;2025-09-30;2025-09-30
174957231;751f2bda-d966-4c4b-9983-96325f3e01f2;689726907;1;9;2025-09-30;2025-09-30
174957233;c2e94568-cbc4-43d6-ac5f-870748757edb;689726909;1;9;2025-09-30;2025-09-30
174957235;9ed8f5c8-db9a-4d86-b8cd-692d1aad9522;689726911;1;9;2025-09-30;2025-09-30
174957237;228c581c-90e5-45f6-b17b-0c2a729e648b;689726913;1;9;2025-09-30;2025-09-30
174957239;cfc6d73d-687c-4f15-b29a-46e7e51b3a64;689726915;1;9;2025-09-30;2025-09-30
174957276;68bdfa08-8705-42d1-bbf7-f052b31f7de8;689726962;1;9;2025-09-30;2025-09-30
174957278;9a208219-38eb-479d-aad6-4e659de04f1a;689726964;1;9;2025-09-30;2025-09-30
174957280;0c786638-9401-45dc-ba9c-5d88ccf0689a;689726966;1;9;2025-09-30;2025-09-30
174957282;b6b83a0c-bb6e-4dc0-9e14-ac0d76c57fea;689726968;1;9;2025-09-30;2025-09-30
174957416;06f951ad-c3af-48f6-9382-a66515a45a32;689728119;1;10;2025-09-30;2025-09-30
174957397;9b139f36-b825-47c2-8a5f-6322679fc090;689728093;1;9;2025-09-30;2025-09-30
174957399;24300c05-16e5-42cb-a3a5-ea564d077a7a;689728095;1;9;2025-09-30;2025-09-30
174957401;9ece43c7-da69-418e-93a7-00c50c6c3645;689728097;1;9;2025-09-30;2025-09-30
174957403;cc980fea-44b9-45d5-a177-a1b2d8da11f4;689728099;1;9;2025-09-30;2025-09-30
174957405;1d0a7038-6463-4c0a-9e6e-b32ecafddeeb;689728101;1;9;2025-09-30;2025-09-30
174957407;3a0b5c62-6a2e-49a5-b150-ceda38bb255a;689728103;1;9;2025-09-30;2025-09-30
174957409;796bbeb0-65ea-4ab0-aa20-671cea492cf5;689728105;1;9;2025-09-30;2025-09-30
174957411;18364993-2182-4882-8cb0-a8094f9ed7a1;689728107;1;9;2025-09-30;2025-09-30
174957413;92369f90-9fb1-4dce-b38a-1c1d6cf9448a;689728109;1;9;2025-09-30;2025-09-30
174957415;49984933-1c37-4178-882f-f108e3254524;689728111;1;9;2025-09-30;2025-09-30
53589217;e61ae2ae-2208-4908-a37f-b5bf38f1b056;689728404;1;11;2018-09-20;2025-09-30
174957543;36e90939-c503-4c69-9ee1-87eaf2560d69;689728422;1;9;2025-09-30;2025-09-30
174957546;e1856bb7-5e20-4ead-b1e7-2bb4113190c1;689728428;1;9;2025-09-30;2025-09-30
174957549;2357b253-aa41-4c57-8532-819140fe6382;689728447;1;9;2025-09-30;2025-09-30
174957551;6e4fbd71-776f-4572-aeb5-3cb719c386eb;689728449;1;9;2025-09-30;2025-09-30
174957553;aa486d4d-34b7-4cb7-8a7c-c28628fbe79c;689728451;1;9;2025-09-30;2025-09-30
174957555;e5060c67-53eb-4a69-bee7-629f6c206609;689728453;1;9;2025-09-30;2025-09-30
174957557;b284b07d-e56e-477c-88d0-787478bd39a3;689728522;1;11;2025-09-30;2025-09-30
