ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
64873651;33021418;1284601;50368690;70;0;0;2025-10-01;2008-06-18;2079-06-06;0;1281271.1279827.1282327.1284601.33021418
72083063;61262322;1291018;91489196;70;0;0;2025-09-29;1900-01-01;2079-06-06;0;1281271.1286009.1287910.1291018.61262322
247022658;174909985;1284092;689624270;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1286070.1290758.1284092.174909985
247022660;174909987;1294748;689624320;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1286070.1286165.1294748.174909987
247022762;174910087;1289136;689624613;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1289136.174910087
247023378;174910703;1291203;689625392;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1286070.1286165.1291203.174910703
247023471;174910796;1287743;689626302;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1290191.1287743.174910796
247023535;174910859;1285971;689626374;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1292127.1285971.174910859
247023953;174911276;1289072;689628091;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1289072.174911276
247023950;174911273;1287743;689628088;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1290191.1287743.174911273
247023962;174911285;1283659;689628109;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1282905.1283659.174911285
247023966;174911289;1277663;689628113;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277663.174911289
247023965;174911288;174895199;689628112;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1276703.174895199.174911288
247023976;174911299;1286483;689628123;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1286483.174911299
247023973;174911296;1286483;689628120;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1286483.174911296
247024142;174911465;1287423;689628445;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1292390.1287423.174911465
72078530;40867031;1283585;61829101;70;0;0;2025-09-29;2019-06-13;2079-06-06;0;1281271.1286009.1287910.1283585.40867031
72078325;40850432;40848009;61805531;70;0;0;2025-09-29;2017-06-19;2079-06-06;0;1281271.1286009.1287910.1283585.40848009.40850432
247024234;174911557;1295187;689628549;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1295187.174911557
247024644;174911967;1325699;689629435;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1316522.1316867.1325699.174911967
72077727;11347854;1281871;18482238;70;0;0;2025-09-29;1900-01-01;2079-06-06;0;1281271.1286009.1287910.1281871.11347854
247024894;174912217;1326829;689630231;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1289720.1291395.1326829.174912217
247025027;174912350;1291260;689630452;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912350
247025029;174912352;1291260;689630454;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912352
247025031;174912354;1291260;689630456;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912354
247025033;174912356;1291260;689630458;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912356
247025035;174912358;1291260;689630460;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912358
247025037;174912360;1291260;689630462;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912360
247025039;174912362;1291260;689630464;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912362
247025041;174912364;1291260;689630466;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912364
247025043;174912366;1291260;689630468;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912366
247025045;174912368;1291260;689630470;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912368
247025047;174912370;1291260;689630472;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912370
247025049;174912372;1291260;689630474;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912372
247025097;174912419;1283507;689630587;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1285779.1283507.174912419
247025113;174912435;172610795;689630607;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1291351.172610795.174912435
247025146;174912468;1287592;689630669;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1287592.174912468
247025134;174912456;1295228;689630645;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1286070.1286165.1295228.174912456
247025135;174912457;1295228;689630647;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1286070.1286165.1295228.174912457
236410492;165985605;16252470;603780984;70;0;0;2025-09-29;2024-10-07;2079-06-06;0;1281271.1286070.1286165.1295228.16252470.165985605
71831224;16252470;1295228;25804699;70;0;0;2025-09-29;2006-05-29;2079-06-06;0;1281271.1286070.1286165.1295228.16252470
247025149;174912471;1295228;689630672;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1286070.1286165.1295228.174912471
247025164;174912486;1285282;689630690;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912486
247025166;174912488;1285282;689630692;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912488
247025168;174912490;1285282;689630694;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912490
247025170;174912492;1285282;689630696;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912492
247025172;174912494;1285282;689630698;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912494
247025174;174912496;1285282;689630700;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912496
247025176;174912498;1285282;689630702;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912498
247025178;174912500;1285282;689630704;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912500
247025180;174912502;1285282;689630706;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912502
247025182;174912504;1285282;689630708;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912504
247025184;174912506;1285282;689630710;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912506
247025186;174912508;1285282;689630712;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912508
247025188;174912510;1285282;689630714;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912510
247025190;174912512;1285282;689630716;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912512
247025192;174912514;1285282;689630718;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912514
247025194;174912516;1285282;689630720;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912516
247025196;174912518;1285282;689630722;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1281284.1277224.1285282.174912518
247025360;174912681;1290096;689631388;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1282164.1284427.1290096.174912681
247025366;174912687;1291260;689631403;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912687
247025389;174912710;1291203;689631435;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1286070.1286165.1291203.174912710
247025369;174912690;1291260;689631406;70;0;0;2025-09-29;2025-09-29;2079-06-06;1;1281271.1294741.1288077.1291260.174912690
