ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
595894661;81661458;121342039;689780600;8;70:19:0000001:6073;2025-10-01;2017-06-02;2025-10-01
1503562033;81793490;590343295;689780598;8;70:19:0000001:5431;2025-10-01;2024-02-13;2025-10-01
1644390270;174911288;689628112;0;8;70:21:0200019:7314;2025-09-29;2025-09-29;2079-06-06
1644390272;174911288;689628112;0;13;697010000010000018740969000100000;2025-09-29;2025-09-29;2079-06-06
1644398778;59711439;689630397;0;8;70:10:0100019:1202;2025-09-29;2025-09-29;2079-06-06
1644400663;10455594;689630741;0;8;70:06:0101005:815;2025-09-29;2025-09-29;2079-06-06
1644402761;174912753;689631498;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644402919;174912754;689631577;0;8;70:08:0100020:590;2025-09-29;2025-09-29;2079-06-06
1644402921;174912754;689631577;0;13;696324551010000000340003000200000;2025-09-29;2025-09-29;2079-06-06
1644402758;174912752;689631497;0;15;19;2025-09-29;2025-09-29;2079-06-06
1644402922;174912755;689631578;0;8;70:21:0200027:12568;2025-09-29;2025-09-29;2079-06-06
1644402924;174912755;689631578;0;13;697010000010000046740030000400000;2025-09-29;2025-09-29;2079-06-06
1644407625;174913289;689633073;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644444680;174918556;689643929;0;8;70:19:0000001:1929;2025-09-29;2025-09-29;2079-06-06
1644444682;174918556;689643929;0;13;696321010010000004540054000100000;2025-09-29;2025-09-29;2079-06-06
1644551389;174364331;689675402;0;8;70:14:0113001:1467;2025-09-29;2025-09-29;2079-06-06
1644648384;174946929;689704514;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644658090;174948078;689706543;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644658092;174948079;689706544;0;15;2;2025-09-30;2025-09-30;2079-06-06
1644711128;174953819;689720455;0;15;11;2025-09-30;2025-09-30;2079-06-06
1644711130;174953820;689720456;0;15;12;2025-09-30;2025-09-30;2079-06-06
1644711132;174953821;689720457;0;15;13;2025-09-30;2025-09-30;2079-06-06
1644711134;174953822;689720458;0;15;14;2025-09-30;2025-09-30;2079-06-06
1644711136;174953823;689720459;0;15;15;2025-09-30;2025-09-30;2079-06-06
1644711138;174953824;689720460;0;15;16;2025-09-30;2025-09-30;2079-06-06
1644711140;174953825;689720461;0;15;17;2025-09-30;2025-09-30;2079-06-06
1644711141;174953825;689720461;0;13;697010000010000035340093001700000;2025-09-30;2025-09-30;2079-06-06
1644711143;174953826;689720462;0;13;697010000010000035340093001800000;2025-09-30;2025-09-30;2079-06-06
1644711145;174953827;689720463;0;13;697010000010000035340093001900000;2025-09-30;2025-09-30;2079-06-06
