ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
849030799;105472930;289508441;689707551;8;70:21:0200057:960;2025-09-30;2022-08-30;2025-09-30
1644376644;173940889;689623686;0;13;696584151210000000210003000000010;2025-09-29;2025-09-29;2079-06-06
1644381955;174910072;689624598;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644381957;174910072;689624598;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644381959;174910072;689624598;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644381961;174910072;689624598;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644382070;174910087;689624613;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644382072;174910087;689624613;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644382074;174910087;689624613;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644382076;174910087;689624613;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644382081;174910089;689624615;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644382083;174910089;689624615;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644382085;174910089;689624615;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644382087;174910089;689624615;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644385496;174910710;689625399;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644385498;174910710;689625399;0;7;69632101001;2025-09-29;2025-09-29;2079-06-06
1644385500;174910710;689625399;0;15;183;2025-09-29;2025-09-29;2079-06-06
1644385502;174910710;689625399;0;21;69632101;2025-09-29;2025-09-29;2079-06-06
1644385440;174910703;689625392;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644385442;174910703;689625392;0;7;69632101001;2025-09-29;2025-09-29;2079-06-06
1644385444;174910703;689625392;0;15;55;2025-09-29;2025-09-29;2079-06-06
1644385446;174910703;689625392;0;21;69632101;2025-09-29;2025-09-29;2079-06-06
1644386292;174910820;689626327;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644386294;174910820;689626327;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644386296;174910820;689626327;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644386298;174910820;689626327;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644386449;174910859;689626374;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644386451;174910859;689626374;0;1;7000;2025-09-29;2025-09-29;2079-06-06
1644386453;174910859;689626374;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644386214;174910796;689626302;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644386216;174910796;689626302;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644386218;174910796;689626302;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644386220;174910796;689626302;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644386455;174910859;689626374;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390133;174911272;689628086;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390135;174911272;689628086;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390137;174911272;689628086;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644390139;174911272;689628086;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390142;174911273;689628088;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390144;174911273;689628088;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390146;174911273;689628088;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644390148;174911273;689628088;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390159;174911275;689628090;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390161;174911275;689628090;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390163;174911275;689628090;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644390165;174911275;689628090;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390125;174911271;689628085;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390127;174911271;689628085;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390129;174911271;689628085;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644390131;174911271;689628085;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390167;174911276;689628091;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390169;174911276;689628091;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390171;174911276;689628091;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644390173;174911276;689628091;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390255;174911286;689628110;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390257;174911286;689628110;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390259;174911286;689628110;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644390261;174911286;689628110;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390313;174911294;689628118;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390315;174911294;689628118;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390317;174911294;689628118;0;15;13;2025-09-29;2025-09-29;2079-06-06
1644390319;174911294;689628118;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390324;174911296;689628120;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390326;174911296;689628120;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390328;174911296;689628120;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644390330;174911296;689628120;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390352;174911300;689628124;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390354;174911300;689628124;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390356;174911300;689628124;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644390358;174911300;689628124;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390247;174911285;689628109;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390249;174911285;689628109;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390251;174911285;689628109;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644390253;174911285;689628109;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390263;174911287;689628111;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390265;174911287;689628111;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390267;174911287;689628111;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644390269;174911287;689628111;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390274;174911289;689628113;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390276;174911289;689628113;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
1644390278;174911289;689628113;0;15;616;2025-09-29;2025-09-29;2079-06-06
1644390280;174911289;689628113;0;21;69701000;2025-09-29;2025-09-29;2079-06-06
1644390292;174911291;689628115;0;2;7000;2025-09-29;2025-09-29;2079-06-06
1644390294;174911291;689628115;0;7;69701000001;2025-09-29;2025-09-29;2079-06-06
