ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644760801;174960194;689735335;0;1;7100;2025-09-30;2025-09-30;2079-06-06
1644760803;174960194;689735335;0;6;70222855010;2025-09-30;2025-09-30;2079-06-06
1644760805;174960194;689735335;0;10;71011000060001500;2025-09-30;2025-09-30;2079-06-06
1644760807;174960194;689735335;0;13;706224552410011000001;2025-09-30;2025-09-30;2079-06-06
1644945938;174982199;689801022;0;1;7100;2025-10-01;2025-10-01;2079-06-06
1644945940;174982199;689801022;0;6;70222835005;2025-10-01;2025-10-01;2079-06-06
1644945942;174982199;689801022;0;10;71011000029001000;2025-10-01;2025-10-01;2079-06-06
1644945944;174982199;689801022;0;13;706224351210002000401;2025-10-01;2025-10-01;2079-06-06
1644993861;174988546;689813377;0;1;7100;2025-10-01;2025-10-01;2079-06-06
1644993863;174988546;689813377;0;6;70234810003;2025-10-01;2025-10-01;2079-06-06
1644993865;174988546;689813377;0;10;71017000017000300;2025-10-01;2025-10-01;2079-06-06
1644993867;174988546;689813377;0;13;707240001910099000001;2025-10-01;2025-10-01;2079-06-06
