ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;AREACODE;CITYCODE;PLACECODE;PLANCODE;STREETCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
247028552;174915854;1306608;689638184;71;23;0;180;0;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1300934.1311019.1306608.174915854
247029311;174916612;1299550;689639172;71;16;0;263;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1299550.174916612
247029309;174916610;1302470;689639165;71;16;0;134;26;39;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1302595.1304990.1302470.174916610
247029464;174916765;1298471;689639473;71;16;0;136;14;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1295365.1304935.1298471.174916765
247029463;174916764;1298471;689639472;71;16;0;136;14;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1295365.1304935.1298471.174916764
247029467;174916768;1295615;689639476;71;16;0;139;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1295615.174916768
247029468;174916769;1302470;689639477;71;16;0;134;26;39;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1302595.1304990.1302470.174916769
247029476;174916777;1303104;689639485;71;16;0;263;2;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1299550.1306028.1303104.174916777
247029471;174916772;1305636;689639480;71;16;0;245;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1305636.174916772
247029477;174916778;100190558;689639486;71;16;0;23;0;19;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1299751.100190558.174916778
247029483;174916784;1302595;689639492;71;16;0;134;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1302595.174916784
247029485;174916786;1304533;689639494;71;16;0;93;3;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1298276.1304533.174916786
247031697;174918976;1307874;689644601;71;24;0;85;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1305855.1307874.174918976
247058745;174945039;1297127;689700933;71;16;0;238;0;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1304473.1297127.174945039
247041372;174928480;1292397;689664378;71;0;2;18;0;9;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1285893.1292038.1292397.174928480
247041920;174928607;1299026;689665814;71;0;2;10;0;34;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1285893.1292219.1299026.174928607
247042567;174929249;174672891;689667189;71;11;0;29;6;7;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1302937.1299468.174660166.174672891.174929249
247043400;174930080;1294850;689668741;71;5;1;0;210;218;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1293404.1293449.1301598.1294850.174930080
247043546;174930211;1291555;689669003;71;4;0;39;0;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1292508.1296312.1291555.174930211
247043569;174930234;1295534;689669041;71;14;0;83;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1295534.174930234
247043851;174930502;166246691;689669762;71;11;0;35;0;8;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1302937.1300410.166246691.174930502
247043970;174930619;1295534;689669949;71;14;0;83;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1295534.174930619
247043997;174930646;1300090;689669992;71;11;0;5;0;11;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1302937.1295337.1300090.174930646
247044084;174930729;1303658;689670143;71;14;0;129;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1303658.174930729
247044143;174930788;1303658;689670226;71;14;0;129;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1303658.174930788
247044200;174930844;1303658;689670325;71;14;0;129;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1303658.174930844
247044936;174931577;1300245;689671562;71;14;0;130;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1300245.174931577
247045143;174931777;1302435;689672025;71;14;0;48;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1302435.174931777
247045178;174931809;1302435;689672171;71;14;0;48;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1302435.174931809
247045191;174931822;1302435;689672342;71;14;0;48;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1302435.174931822
247045534;174932165;1296321;689672788;71;10;0;67;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1293248.1296321.174932165
247045800;174932429;1301959;689673213;71;11;0;78;26;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1302937.1299883.1301959.174932429
247046793;174933422;1304023;689674885;71;17;0;41;0;5;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1307148.1306983.1304023.174933422
247058521;174944815;1302335;689699806;71;16;0;183;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1302335.174944815
247052977;174939514;1302435;689688664;71;14;0;48;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1302435.174939514
247053015;174939552;77486324;689688737;71;;;;;;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1294240.1291770.77486324.174939552
247053047;174939584;1302435;689688788;71;14;0;48;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1301596.1302435.174939584
247053470;174940005;1291968;689690119;71;6;1;0;0;32;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299982.1299988.1291968.174940005
72098756;93961853;1291968;136888867;71;;;;;;0;0;2025-09-29;2019-12-09;2079-06-06;0;1285838.1299982.1299988.1291968.93961853
247054673;174941062;1301087;689692237;71;16;0;234;0;8;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1298543.1301087.174941062
247054829;174941217;1301087;689692475;71;16;0;234;0;8;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1298543.1301087.174941217
247054877;174941265;99072203;689692609;71;16;0;234;0;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1298543.99072203.174941265
247054900;174941288;99072202;689692654;71;16;0;234;0;15;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1298543.99072202.174941288
247054956;174941344;99072202;689692775;71;16;0;234;0;15;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1298543.99072202.174941344
247054958;174941346;99072202;689692777;71;16;0;234;0;15;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1298543.99072202.174941346
247055001;174941389;1297803;689692899;71;16;0;234;0;14;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1298543.1297803.174941389
247055110;174941498;1298746;689693224;71;16;0;253;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1298746.174941498
247055372;174941760;1293448;689693782;71;0;1;7;0;41;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1294240.1294642.1293448.174941760
247055523;174941908;102715957;689693969;71;16;0;85;0;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1303359.102715957.174941908
247056438;174942820;1300182;689695527;71;11;0;44;0;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1302937.1300182.174942820
247056510;174942891;1307312;689695641;71;16;0;18;17;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1297022.1307312.174942891
247057152;174943526;1295747;689696726;71;11;0;93;1;8;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1302937.1299903.1294496.1295747.174943526
247057260;174943633;1289340;689696891;71;0;1;0;0;1006;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1294240.1289340.174943633
247057334;174943706;101952642;689697019;71;11;0;99;1;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1302937.1304024.101952642.174943706
247057442;174943811;1294983;689697165;71;11;0;74;0;1;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1302937.1298293.1294983.174943811
247058732;174945026;101178363;689700890;71;16;0;186;11;20;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1302115.1305371.101178363.174945026
247057852;174944219;1298404;689697962;71;0;1;0;0;591;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1294240.1298404.174944219
247058234;174944600;1302215;689698867;71;16;0;168;24;26;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1305073.1306675.1302215.174944600
247058774;174945068;1296278;689700979;71;16;0;242;0;2;0;0;2025-09-29;2025-09-29;2079-06-06;1;1285838.1299831.1301156.1296278.174945068
247066738;174952951;1298461;689718479;71;0;1;0;0;346;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1294240.1298461.174952951
247066766;174952979;36291572;689718521;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36291572.174952979
247066768;174952981;36291572;689718523;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36291572.174952981
247066770;174952983;36291572;689718525;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36291572.174952983
247066772;174952985;36291572;689718527;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36291572.174952985
247066796;174953009;36290273;689718601;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36290273.174953009
247066798;174953011;36290273;689718603;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36290273.174953011
247066800;174953013;36290273;689718605;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36290273.174953013
247066837;174953049;36289761;689718675;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36289761.174953049
247066839;174953051;36289761;689718677;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36289761.174953051
247066868;174953080;36290554;689718728;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36290554.174953080
247066870;174953082;36290554;689718730;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36290554.174953082
247070263;174956441;174873157;689725702;71;0;1;0;0;335;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1294240.1293131.174873157.174956441
247071605;174957768;36288821;689729499;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36288821.174957768
247071607;174957770;36288821;689729501;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36288821.174957770
247071609;174957772;36288821;689729503;71;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1307148.1307256.1307263.36288821.174957772
247071615;174957778;174873157;689729514;71;0;1;0;0;335;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1294240.1293131.174873157.174957778
247075605;174960832;1292090;689737109;71;9;0;1;68;0;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1302028.1292380.1292090.174960832
247078380;174963545;1292784;689742664;71;0;2;1;0;65;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1285893.1295006.1292784.174963545
247079048;174964205;1291124;689743628;71;0;2;6;0;15;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1285893.1292807.1291124.174964205
247080470;174965591;1305938;689746557;71;21;0;29;0;0;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1303458.1305938.174965591
75501825;25649316;25648031;39668302;71;;;;;;0;0;2025-09-30;2019-01-18;2079-06-06;0;1285838.1301596.1303238.1294773.25648031.25649316
247082597;174967696;1294773;689752575;71;14;0;16;0;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1301596.1303238.1294773.174967696
247084511;174969593;1303504;689756690;71;16;0;187;0;0;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1299831.1303504.174969593
247084658;174969731;1298372;689757023;71;16;0;112;10;0;0;0;2025-09-30;2025-09-30;2079-06-06;1;1285838.1299831.1306194.1298372.174969731
