ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
5964697;90499919;72fc4baa-41cf-40bf-8c8f-621a9408bc1d;133103417;9А/2Б;10;74178062;2025-09-29;2019-12-09;2025-09-29;0;0
68132720;93985736;d339a1dd-0e97-4a60-9937-39d576ed4b8c;596577556;40/1;20;74201266;2025-10-01;2024-06-05;2025-10-01;0;0
74166910;174916600;d041ec6c-a45d-4bef-bf18-f37a28f84cba;689639155;7;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166921;174916612;a07f6c26-c79f-4a12-b2b1-b134481ecefb;689639172;49Б;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167074;174916767;8e998512-6a49-4bda-b5d8-4894d97e0f2b;689639475;23А;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167076;174916769;5e579909-da6b-4d60-9dd7-032894c5554b;689639477;30/10;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167078;174916777;17ff2893-14e2-40dd-a3be-54e3ee3f6c89;689639485;22;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167080;174916786;bddb1ca3-2e87-4dd2-9f05-a4da2b5a0ae6;689639494;27;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167081;174916796;4309512d-2c0d-4246-90f1-a9837560f146;689639505;108Г;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172503;174929132;0fa293c0-b1e3-48f3-a754-9d55e69926ff;689666992;6;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173168;174930201;16c4ae5b-d42e-4e94-82cd-9a56c3fbc268;689668971;3;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173205;174930247;e74fc825-4cba-429b-9b8e-e07d0c020641;689669067;13;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173177;174930212;9210138d-f8ff-4cb5-a2d9-2b46065c64e4;689669005;10;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173507;174930619;db1f8474-c698-402d-bcc7-a4d8fc3958b1;689669949;12;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173499;174930607;bcf495e3-3575-4e01-b61e-7d02d48354b5;689669928;5;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173623;174930788;2b6f71d3-6647-4270-b284-2d9be0f250af;689670226;14;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173600;174930724;3c3d8267-c39d-4d01-800a-d6253639d446;689670127;1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173663;174930844;23bf9024-6ed8-4b1d-9b04-e7f555e9f639;689670325;16;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173981;174931577;a2d9fe2d-36e7-4ff3-b609-120ec7b72065;689671562;7;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174073;174931803;d7721104-cacd-47a4-8044-2ecc3a471961;689672142;42;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174076;174931809;a8884738-502e-4126-997a-d355f2b322e8;689672171;43;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174091;174931840;cfb79fbe-0e60-44f0-9775-9d26740194bc;689672369;46;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174867;174933422;de29dc27-92f7-4002-8623-fe898e9c702a;689674885;3/1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177253;174939514;7a480708-b7d8-4343-bacc-fc870f38aa8e;689688664;4;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177274;174939553;7a9179c6-1554-4224-9ce9-06f00f0e6445;689688738;12;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177307;174939625;efbb191a-f317-46dd-a3e0-fcfe05470d41;689688850;30;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177583;90504086;040b3559-e722-4f6b-99b1-100b42f39cdf;689689960;9Б/1;20;;2025-09-29;2025-09-29;2079-06-06;1;1
74178005;93961853;0c9b48d7-60b6-4014-92cc-3080f5a32c59;689691276;9А/2А;30;0;2025-09-29;2025-09-29;2079-06-06;1;0
74178291;174941062;8c234d56-6963-4053-a9b3-ea6f4dd7cbe9;689692237;5В;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178453;174941264;47e2f30a-a5db-44f3-8d95-72d0d3cc8631;689692608;22Г;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178455;174941266;21a7d67f-f906-45cf-b779-bef13534a8f7;689692610;22Б;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178497;174941344;a2d1a329-7d7c-423d-83b6-a60c206e52aa;689692775;25;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178499;174941346;8fe1ab4f-8a9b-481e-9969-dec614f78ef9;689692777;25Б;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178589;174941498;07b07cd3-3280-41ff-936a-1d4150305c99;689693224;140;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74178752;174941877;5bd00453-334f-4337-85ef-2a54241e8242;689693930;6;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179399;174942891;fbd89189-f0d5-42cb-bcdc-81ab536713a8;689695641;416;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179774;174943642;abb0572a-340a-4e7f-aaa7-928289874726;689696905;37;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74179993;174944148;961147e3-4a97-49a0-8b45-4bd9183d4e84;689697623;17А;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180319;174945017;f3d94186-2863-4dbd-84ad-428de7adf243;689700866;50;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74190244;174960832;7a32c19f-2a4f-43be-94ab-5f41e4238ba6;689737109;87;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74192485;174964205;d8857f51-0b68-4f44-9843-9b19fae08e3a;689743628;3;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74195673;174969178;7747ceec-de13-4baf-a57b-4d11230491c2;689755940;4;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74196127;174969731;097e87a5-b542-4252-9003-42e631e5a75d;689757023;3;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74196210;174969851;f661191e-2bc2-4f5b-aa85-d7953bc5da83;689757444;24;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74196450;174970491;01de46b3-e6c3-427a-bef1-744e743f3e3b;689759121;29;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74196541;174970717;d2915e7c-10f2-4783-bdb5-ea46a4e65ae4;689777235;35;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74201304;163788124;91e4690e-e55d-468a-b3fe-1b3e3bcf8bd5;689796692;40Б/1;20;;2025-10-01;2025-10-01;2079-06-06;1;1
74201900;174981285;cc5abbb1-45fb-4ee4-b7fa-feb92fd8a69d;689799151;12;10;0;2025-10-01;2025-10-01;2079-06-06;1;1
74202455;174982610;f7a01ead-63c6-4f39-8f0b-788073d773f3;689801681;33;10;0;2025-10-01;2025-10-01;2079-06-06;1;1
74202532;174982741;f2e6d896-7e9b-46e7-b63f-d9b264108843;689801956;46;10;0;2025-10-01;2025-10-01;2079-06-06;1;1
74203092;174983898;eadb5d05-cd57-4a46-aa39-10deea277980;689804926;168;10;0;2025-10-01;2025-10-01;2079-06-06;1;1
74204522;174986083;e93c3958-d65b-4d3f-b0c4-acd2ff4fd5b8;689809662;26/3;10;0;2025-10-01;2025-10-01;2079-06-06;1;1
74206683;174991107;104eeffb-6bf5-42a7-afae-ac00bc89fc8d;689818258;3;10;0;2025-10-01;2025-10-01;2079-06-06;1;1
