ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
49883379;83355398;dc1b2502-10cf-4804-8115-3410e70ab875;123819790;15;2;10;0;111806527;2025-09-30;2018-02-15;2025-09-30;0;0
51973838;99180271;e8b2f1d9-19a0-4675-89d5-5a1747d3632f;158718289;7;2;10;0;111806444;2025-09-30;2020-11-19;2025-09-30;0;0
3066378;6469186;cade100c-e47f-4f9e-a8bf-dbee5474ecee;11344387;1;2;10;0;111801408;2025-09-29;2018-08-14;2025-09-29;0;0
13427743;23756717;dc8a0b0a-c7bf-4e3f-b3e5-56938cdc31f1;36886302;1;1;10;0;111794860;2025-09-29;2018-08-30;2025-09-29;0;0
19891281;34267719;b4904cbf-6136-4d78-b44d-24f70bbe6e47;52190092;10;2;10;0;111806544;2025-09-30;2017-07-11;2025-09-30;0;0
29068889;49155401;570afdc1-1c3a-49e3-b09e-f9083ecd3bdf;73840271;3;2;10;0;111800785;2025-09-29;2018-08-14;2025-09-29;0;0
29069155;49155907;f6ac6025-0416-4e4c-a356-e7482df72735;73841106;1;2;10;0;111800787;2025-09-29;2018-08-14;2025-09-29;0;0
41214230;69108528;e8c721dc-952b-4464-9bff-609325317652;103012733;2;2;10;0;111797021;2025-09-29;2018-08-14;2025-09-29;0;0
41305116;69250986;d690adf4-389c-4ca6-97a4-76a163f0994b;103213821;2;2;10;0;111818031;2025-10-01;2017-05-03;2025-10-01;0;0
46944479;78481052;e0cb3229-651e-44f6-b57d-25bb547eaab7;116669564;2;2;10;0;111818021;2025-10-01;2015-11-18;2025-10-01;0;0
48127373;80481880;3f849ede-f5eb-47a9-a911-7aceee8bb288;119613248;1б;2;10;0;111806729;2025-09-30;2019-07-22;2025-09-30;0;0
111408424;173768138;70b76332-570f-49bc-a1b5-fd50a8aaa027;656375983;31;1;10;0;111793516;2025-09-29;2025-08-01;2025-09-29;0;0
111408426;173768140;92d46851-1e87-48ea-8685-88a210c87568;656375985;29;1;10;0;111793518;2025-09-29;2025-08-01;2025-09-29;0;0
111408428;173768142;f7eee935-f3a5-49db-8adf-359ab692b89f;656375987;27;1;10;0;111793520;2025-09-29;2025-08-01;2025-09-29;0;0
111793515;173768137;ccec388d-1e2c-4bbf-9674-9357c225bb49;689629691;32;1;30;111408423;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793517;173768139;a852c372-7b2d-4495-b465-aeaa6df9f513;689629693;30;1;30;111408425;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793519;173768141;83d2e62a-3c54-455e-8e6d-9afb09c8c489;689629695;28;1;30;111408427;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793521;173768143;6102144f-d42d-4cd2-86e1-6c3b2af9dc3e;689629697;26;1;30;111408429;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793522;173768144;bbebbbc5-2d08-4e72-8421-2376858b8b05;689629698;25;1;30;111408430;0;2025-09-29;2025-09-29;2079-06-06;1;0
