ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1476844236;71539315;571977660;689809958;8;72:23:0220002:223;2025-10-01;2023-11-03;2025-10-01
1352927485;18466383;482086737;689679452;8;72:23:0427001:23138;2025-09-29;2022-11-24;2025-09-29
303666617;53692289;80368070;689706624;8;72:13:0101045:247;2025-09-30;1900-01-01;2025-09-30
1484569854;28787932;574978417;689630630;8;72:26:0303004:917;2025-09-29;2023-11-23;2025-09-29
1486187446;11358717;575827572;689688330;8;72:21:0501002:341;2025-09-29;2023-12-06;2025-09-29
1486187449;11317342;575827575;689705213;8;72:21:0501002:320;2025-09-30;2023-12-06;2025-09-30
1476161808;40760171;571702492;689708596;8;72:23:0106001:519;2025-09-30;2023-10-30;2025-09-30
1487683321;12152671;576531690;689672755;8;72:21:0601002:116;2025-09-29;2023-12-13;2025-09-29
1494738662;42436128;582924593;689707721;8;72:23:0106002:6767;2025-09-30;2024-01-04;2025-09-30
1494738480;2159171;582924404;689790446;8;72:23:0428001:6039;2025-10-01;2024-01-04;2025-10-01
1494739533;56166515;582925464;689704583;8;72:23:0217001:4663;2025-09-30;2024-01-04;2025-09-30
1494739793;27219530;582925724;689628792;8;72:23:0220001:6199;2025-09-29;2024-01-04;2025-09-29
1494739640;12661211;582925571;689779861;8;72:17:1313001:9991;2025-10-01;2024-01-04;2025-10-01
1494739708;40873362;582925639;689815457;8;72:23:0218001:1230;2025-10-01;2024-01-04;2025-10-01
1494746372;67597945;582932302;689815987;8;72:23:0427001:2228;2025-10-01;2024-01-04;2025-10-01
1494750622;31086592;582936554;689779868;8;72:23:0430001:13904;2025-10-01;2024-01-04;2025-10-01
1494751466;49961216;582937394;689669983;8;72:17:1313001:9886;2025-09-29;2024-01-04;2025-09-29
1494752363;4234222;582938294;689653371;8;72:18:0601001:451;2025-09-29;2024-01-04;2025-09-29
1494752902;11056343;582938832;689780456;8;72:17:1313004:1745;2025-10-01;2024-01-04;2025-10-01
1494753452;12718377;582939383;689751073;8;72:17:1313001:14364;2025-09-30;2024-01-04;2025-09-30
1494754487;18870058;582940417;689814985;8;72:23:0216004:5944;2025-10-01;2024-01-04;2025-10-01
1494755227;29952551;582941158;689688775;8;72:23:0427001:1561;2025-09-29;2024-01-04;2025-09-29
