ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;AREACODE;CITYCODE;PLACECODE;PLANCODE;STREETCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
247032875;174920147;174912709;689646367;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920147
247032877;174920149;174912709;689646369;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920149
247032879;174920151;174912709;689646371;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920151
247032881;174920153;174912709;689646373;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920153
247032943;174920213;174912709;689646500;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920213
247032945;174920215;174912709;689646502;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920215
247032947;174920217;174912709;689646504;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920217
247032982;174920252;174912709;689646552;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920252
247032984;174920254;174912709;689646554;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920254
247033000;174920270;174912709;689646586;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920270
247033002;174920272;174912709;689646588;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920272
247033004;174920274;174912709;689646590;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920274
247033006;174920276;174912709;689646592;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920276
247033008;174920278;174912709;689646594;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920278
247033034;174920304;174912709;689646628;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920304
247033036;174920306;174912709;689646630;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920306
247033038;174920308;174912709;689646632;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920308
247033040;174920310;174912709;689646634;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920310
247033042;174920312;174912709;689646636;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920312
247033062;174920332;174912709;689646663;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920332
247033064;174920334;174912709;689646665;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920334
247033066;174920336;174912709;689646667;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920336
247033074;174920344;1334986;689646683;73;6;0;1;0;47;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1340419.1343769.1334986.174920344
247033083;174920351;174912709;689646694;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920351
247033085;174920353;174912709;689646696;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920353
247033087;174920355;174912709;689646698;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920355
247033109;174920377;174912709;689646754;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920377
247033111;174920379;174912709;689646756;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920379
247033113;174920381;174912709;689646758;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920381
247033115;174920383;174912709;689646760;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920383
247033150;174920418;1333463;689646813;73;6;0;1;0;31;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1340419.1343769.1333463.174920418
247033162;174920430;174912709;689646831;73;0;1;0;1183;0;0;0;2025-09-29;2025-09-29;2079-06-06;1;1325381.1325680.1334342.174912709.174920430
