ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27407545;О присвоении  адреса объектам адресации в                                               г. Ульяновске;2025-09-25;1887;15;2;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА УЛЬЯНОВСКА;2025-09-29
27408866;О присвоении адреса земельному участку в рп. Карсун Карсунского района Ульяновской области;2025-09-25;641;21;2;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРСУНСКИЙ РАЙОН""";2025-09-29
27409516;О присвоении адреса земельному участку в рп. Карсун Карсунского района Ульяновской области;2025-09-25;640;21;2;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРСУНСКИЙ РАЙОН""";2025-09-29
27409529;О присвоении адреса объекту недвижимости;2025-09-25;638;21;2;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРСУНСКИЙ РАЙОН""";2025-09-29
27410368;О присвоении адреса объекту недвижимости;2025-09-25;636;21;2;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРСУНСКИЙ РАЙОН""";2025-09-29
27410539;О присвоении адреса объекту недвижимости;2025-09-25;634;21;2;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРСУНСКИЙ РАЙОН""";2025-09-29
27410814;О присвоении адреса земельному участку в рп. Карсун Карсунского района Ульяновской области;2025-09-24;618;21;2;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРСУНСКИЙ РАЙОН""";2025-09-29
27410926;Об изменении адреса;2025-09-29;43;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ПОСПЕЛОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ;2025-09-29
27411022;О присвоении адреса земельному участку в рп. Карсун Карсунского района Ульяновской области;2025-09-24;615;21;2;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРСУНСКИЙ РАЙОН""";2025-09-29
27411284;О присвоении адреса земельному участку в рп. Карсун Карсунского района Ульяновской области;2025-09-24;613;21;2;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРСУНСКИЙ РАЙОН""";2025-09-29
27411382;О присвоении адреса объекту недвижимости;2025-09-24;611;21;2;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАРСУНСКИЙ РАЙОН""";2025-09-29
27411403;О присвоении адреса;2025-09-26;38;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ДУБРОВСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ;2025-09-29
27412081;Об изменении, присвоении адреса объектам адресации в                                               г. Ульяновске;2025-09-29;1898;15;2;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА УЛЬЯНОВСКА;2025-09-29
27412321;О присвоении адреса;2025-09-29;230;21;2;2025-09-29;Муниципальное учреждение администрация муниципального образования Красногуляевское городское поселение Сенгилеевского района Ульяновской области;2025-09-29
27412365;О присвоении адреса;2025-09-29;228;21;2;2025-09-29;Муниципальное учреждение администрация муниципального образования Красногуляевское городское поселение Сенгилеевского района Ульяновской области;2025-09-29
27415884;Об изменении, присвоении адреса объектам адресации в Засвияжском районе г. Ульяновска;2025-09-29;1903;15;2;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА УЛЬЯНОВСКА;2025-09-29
27415962;О присвоении адреса объекту адресации в Засвияжском районе г. Ульяновска;2025-09-29;1902;15;2;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА УЛЬЯНОВСКА;2025-09-29
27416009;О присвоении адреса объектам адресации в Заволжском районе г. Ульяновска;2025-09-29;1900;15;2;2025-09-29;УПРАВЛЕНИЕ АРХИТЕКТУРЫ И ГРАДОСТРОИТЕЛЬСТВА АДМИНИСТРАЦИИ ГОРОДА УЛЬЯНОВСКА;2025-09-29
