ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
48704413;81431302;13933239-9e8a-47fa-88fb-e4989460555d;121001031;300;2;10;0;111815575;2025-10-01;2018-12-17;2025-10-01;0;0
48717181;81451802;a17fa954-c2b7-49e9-bae3-10e6ed4ad2c4;121030668;213;2;10;0;111815643;2025-10-01;2018-12-17;2025-10-01;0;0
48718528;81454041;c711a739-8b29-425f-afc4-6054636c5e7c;121034029;155;2;10;0;111815543;2025-10-01;2018-12-17;2025-10-01;0;0
48718450;81453936;c4a16c30-6715-4f14-8fc6-f9693b9edf12;121033894;222;2;10;0;111815584;2025-10-01;2018-12-17;2025-10-01;0;0
48715602;81449051;69c595ae-6ae9-4085-b1da-35208e77dc71;121026481;196;2;10;0;111815517;2025-10-01;2018-12-17;2025-10-01;0;0
48728554;81471340;f4ac0737-f853-483c-a48b-9d6993b3c280;121060031;166;2;10;0;111815486;2025-10-01;2018-12-17;2025-10-01;0;0
1882129;4501072;20943d84-3b7e-4a2c-8b21-34775e557905;8446792;27;2;10;0;111810300;2025-09-30;2018-12-10;2025-09-30;0;0
1885034;4506205;52b4d519-f0dd-420f-8aaa-f4f0850cde8c;8454670;17;2;10;0;111810249;2025-09-30;2018-12-10;2025-09-30;0;0
1903328;4534792;28e0a388-e5ac-41dd-a80c-8a23e7bcabe0;8495248;24;2;10;0;111813822;2025-10-01;2018-12-18;2025-10-01;0;0
1963119;4634726;80d98eaf-3b93-45bd-8e3b-f832c60fdf47;8643507;36;2;10;0;111810500;2025-09-30;1900-01-01;2025-09-30;0;0
7849451;14391866;454d795b-13d3-4dec-aa0f-8bbc7f85ef1b;23012052;5;2;10;0;111816452;2025-10-01;2017-04-04;2025-10-01;0;0
15061681;26457486;5ccc011b-a549-41e0-b93a-f9e94f3a9cdc;40857111;116;2;10;0;111810587;2025-09-30;2018-12-18;2025-09-30;0;0
15066266;26465369;6ae22cfe-9bfc-4644-950a-865670dbf972;40868992;120;2;10;0;111810596;2025-09-30;2018-12-18;2025-09-30;0;0
15074727;26480928;8f5a816b-939d-4069-8f93-9970076f06f9;40893230;98;2;10;0;111810643;2025-09-30;1900-01-01;2025-09-30;0;0
15075238;26481834;916ca38c-3d75-4ee7-a2b3-a28b458a7532;40894761;108;2;10;0;111810741;2025-09-30;1900-01-01;2025-09-30;0;0
15087138;26503832;f0db19ab-5268-4ab4-9578-cbb772087943;40929981;106;2;10;0;111810734;2025-09-30;1900-01-01;2025-09-30;0;0
15709738;27507727;6ef54fde-ebb3-40a1-bcba-03e732619bbd;42398640;71;2;10;0;111812967;2025-10-01;2018-12-18;2025-10-01;0;0
15728200;27532289;b636e1af-04af-4e84-9bf7-e8f81323ff19;42433059;52;2;10;0;111811921;2025-10-01;2018-12-18;2025-10-01;0;0
15728872;27533292;c04e1c40-7cf1-4896-b9e1-9b724a1d2cf0;42434575;78;2;10;0;111810695;2025-09-30;2018-12-18;2025-09-30;0;0
18738476;32361176;6321cc75-2cff-4c8b-b5f2-af37bcf9f4aa;49398230;8;2;10;0;111810674;2025-09-30;2018-12-10;2025-09-30;0;0
19887250;34261638;7a910bdb-a1bd-4cdd-a12a-46d37094b6e2;52181523;52;2;10;0;111806914;2025-09-30;2017-04-04;2025-09-30;0;0
26363870;44763789;3466aadb-7e5e-4f27-82d3-9b52d28205cc;67470508;106;2;10;0;111813057;2025-10-01;2018-12-15;2025-10-01;0;0
26383484;44794598;e6ea1810-525e-47cb-bf5f-18659adf3b17;67514327;109;2;10;0;111813064;2025-10-01;1900-01-01;2025-10-01;0;0
32427633;54559383;e83a9cc6-0259-4acf-a052-49c849778c42;81640908;4;2;10;0;111795550;2025-09-29;2017-04-04;2025-09-29;0;0
111794280;174914185;050bc002-a976-4dfa-b692-944567e0d78f;689635009;1;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794278;174914167;49f49403-c812-441a-8d48-7b6abc50aa21;689634980;75;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
31772942;53475124;6fafb50b-b479-4b5a-a089-f4065d84e634;80044515;2;2;10;0;111794345;2025-09-29;2017-04-24;2025-09-29;0;0
31773131;53475349;c43a7590-84ee-4c49-b798-4e6cfb3499e8;80044920;1;2;10;0;111794346;2025-09-29;2017-04-24;2025-09-29;0;0
111795618;174917333;b7cfd693-77c2-4c05-9bd7-2d07da53fcb9;689640688;1;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796362;174920244;03b58e36-4ed9-4a7f-87e4-49359ae6c721;689646541;2;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
