ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1515118892;85747448;596492612;689744736;8;74:36:0612005:155;2025-09-30;2024-05-31;2025-09-30
1644396422;174912017;689629648;0;1;7453;2025-09-29;2025-09-29;2079-06-06
1644396424;174912017;689629648;0;3;7457;2025-09-29;2025-09-29;2079-06-06
1644396426;174912017;689629648;0;6;75424000000;2025-09-29;2025-09-29;2079-06-06
1644396428;174912017;689629648;0;8;74:10:0420005:568;2025-09-29;2025-09-29;2079-06-06
1644396430;174912017;689629648;0;13;756291010010000006010054000000000;2025-09-29;2025-09-29;2079-06-06
1644396469;174912022;689629654;0;1;7453;2025-09-29;2025-09-29;2079-06-06
1644396471;174912022;689629654;0;3;7457;2025-09-29;2025-09-29;2079-06-06
1644396473;174912022;689629654;0;6;75424000000;2025-09-29;2025-09-29;2079-06-06
1644396475;174912022;689629654;0;8;74:10:0420005:23;2025-09-29;2025-09-29;2079-06-06
1644396477;174912022;689629654;0;13;756291010010000006010056000000000;2025-09-29;2025-09-29;2079-06-06
1644396480;174912023;689629656;0;1;7453;2025-09-29;2025-09-29;2079-06-06
1644396482;174912023;689629656;0;3;7457;2025-09-29;2025-09-29;2079-06-06
1644396484;174912023;689629656;0;6;75424000000;2025-09-29;2025-09-29;2079-06-06
1644396486;174912023;689629656;0;8;74:10:0420005:34;2025-09-29;2025-09-29;2079-06-06
1644396488;174912023;689629656;0;13;756291010010000006010057000000000;2025-09-29;2025-09-29;2079-06-06
1644396459;174912021;689629653;0;1;7453;2025-09-29;2025-09-29;2079-06-06
1644396461;174912021;689629653;0;3;7457;2025-09-29;2025-09-29;2079-06-06
1644396463;174912021;689629653;0;6;75424000000;2025-09-29;2025-09-29;2079-06-06
1644396465;174912021;689629653;0;8;74:10:0420005:569;2025-09-29;2025-09-29;2079-06-06
1644396467;174912021;689629653;0;13;756291010010000006010055000000000;2025-09-29;2025-09-29;2079-06-06
1644396662;174912044;689629686;0;1;7453;2025-09-29;2025-09-29;2079-06-06
1644396664;174912044;689629686;0;3;7457;2025-09-29;2025-09-29;2079-06-06
1644396666;174912044;689629686;0;6;75424000000;2025-09-29;2025-09-29;2079-06-06
1644396668;174912044;689629686;0;8;74:10:0420005:35;2025-09-29;2025-09-29;2079-06-06
1644396670;174912044;689629686;0;13;756291010010000006010058000000000;2025-09-29;2025-09-29;2079-06-06
1644396682;174912046;689629688;0;1;7453;2025-09-29;2025-09-29;2079-06-06
1644396684;174912046;689629688;0;3;7457;2025-09-29;2025-09-29;2079-06-06
1644396672;174912045;689629687;0;1;7453;2025-09-29;2025-09-29;2079-06-06
1644396674;174912045;689629687;0;3;7457;2025-09-29;2025-09-29;2079-06-06
1644396676;174912045;689629687;0;6;75424000000;2025-09-29;2025-09-29;2079-06-06
1644396678;174912045;689629687;0;8;74:10:0420005:60;2025-09-29;2025-09-29;2079-06-06
1644396680;174912045;689629687;0;13;756291010010000006010059000000000;2025-09-29;2025-09-29;2079-06-06
1644396712;174912049;689629721;0;1;7453;2025-09-29;2025-09-29;2079-06-06
1644396714;174912049;689629721;0;3;7457;2025-09-29;2025-09-29;2079-06-06
1644396716;174912049;689629721;0;6;75424000000;2025-09-29;2025-09-29;2079-06-06
1644396718;174912049;689629721;0;8;74:10:0420005:246;2025-09-29;2025-09-29;2079-06-06
