ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
111790980;174909187;61df653f-0d95-488f-b7e0-04a40589fc7c;689623316;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111790982;174909204;664e0552-0ec2-426a-99cf-9c6a7e93e0e6;689623334;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111790984;174909210;3e80e377-c6c5-4f6c-bbb6-8aab1093e063;689623340;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111790986;174909212;1e1ce43f-3806-40be-bd64-cea427794a47;689623342;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111790988;174909233;a08b2fbe-0565-474e-b1f1-458256bc0914;689623366;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111790994;174909465;cd335eee-f76a-40d1-b624-cb0539b56d2e;689623700;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111790996;174909503;4e7b8735-fad7-42e0-8a14-8588244b24da;689623746;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791003;174909544;bf6b6389-cb31-4565-b346-ec41df292178;689623790;14;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791007;174909578;bed9135c-ee54-4c41-be2f-a5b4d41b60ab;689623824;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791010;174909588;c7d0b274-27b7-4004-bc12-fb9241b7feec;689623836;3;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791000;174909525;358e93f6-942a-4460-bead-83839bb71e7e;689623769;62;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791002;174909534;d685a183-43f4-47c5-ba02-d1b251798fec;689623779;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791005;174909547;2baafd55-d991-42e3-94c8-c115150df2f2;689623793;22;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791012;174909593;6dab3d4e-45ab-4366-bd1a-ac79bb0d67a3;689623841;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791159;174910086;09c26af0-7e88-49a2-aaa1-763395b1ebd5;689624612;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791161;174910090;895f4147-06ca-4760-b117-df93b1563ff1;689624616;4;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791163;174910094;3e884706-0167-4e78-a140-f07ce74b183f;689624620;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791166;174910111;830d324a-505a-4a65-84e6-bef1aa9467b4;689624638;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791165;174910107;48c5ccda-4a5b-4266-b004-37dfae0c11a8;689624633;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111791169;174910115;376b7a36-52f9-4945-aa7f-3645f159396f;689624643;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111792263;174910864;542a18ac-9cf0-4a60-8905-545b5e661dcf;689626382;15;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111792265;174910867;120853bd-8f02-4d2d-82b1-fdf92f8f0716;689626386;26;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111792268;174910894;2a123ac8-b86f-4b67-b148-48acc3b7287b;689626415;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111792267;174910893;49b64511-0f60-4601-91b1-db8b1cdb5804;689626413;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793397;174911361;c1ea3c38-0a2f-4313-83bc-caab382bb857;689628327;13;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793399;174911376;461e1f92-7f76-493f-b256-6c0f652bb0a1;689628344;18;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793407;174911437;15d69205-bad2-4d8c-a80b-545088ba04fa;689628410;5;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793410;174911453;3a2cbc31-3434-4813-ac30-4c4e62d59999;689628429;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793415;174911495;37a38939-82d2-41bc-8f82-3a6e1442f6db;689628481;35;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793422;174911554;c7789454-2075-49fd-ba7b-8b817b884e9e;689628545;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793412;174911488;a1e49347-4cc2-44ed-8995-11c649f37768;689628470;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793414;174911493;1f2f976d-615b-4b97-85f1-ef28ce46a610;689628478;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793417;174911506;77d37916-795a-486e-8c58-2830a75c8f05;689628492;49;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793421;174911535;f2cb3200-4054-4a9f-b441-9e6dc1c52bce;689628524;24;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
