ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644374073;174909187;689623316;0;8;75:22:170105:117;2025-09-29;2025-09-29;2079-06-06
1644374075;174909187;689623316;0;13;766504751010000002040009000100000;2025-09-29;2025-09-29;2079-06-06
1644374196;174909203;689623333;0;15;51;2025-09-29;2025-09-29;2079-06-06
1644374198;174909204;689623334;0;8;75:28:020101:352;2025-09-29;2025-09-29;2079-06-06
1644374200;174909204;689623334;0;13;766261011210000000140001000100000;2025-09-29;2025-09-29;2079-06-06
1644374230;174909209;689623339;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644374235;174909211;689623341;0;8;75:28:070502:240;2025-09-29;2025-09-29;2079-06-06
1644374237;174909211;689623341;0;13;766261010010000008840012000100000;2025-09-29;2025-09-29;2079-06-06
1644374378;174909230;689623361;0;8;75:28:070422:970;2025-09-29;2025-09-29;2079-06-06
1644374380;174909230;689623361;0;13;766261010010000001040029005200000;2025-09-29;2025-09-29;2079-06-06
1644374233;174909210;689623340;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644374238;174909212;689623342;0;8;75:28:070101:755;2025-09-29;2025-09-29;2079-06-06
1644374240;174909212;689623342;0;13;766261010010000003340009000200000;2025-09-29;2025-09-29;2079-06-06
1644374400;174909233;689623366;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644374421;53827326;689623370;0;8;75:28:070405:529;2025-09-29;2025-09-29;2079-06-06
1644376686;174909463;689623694;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644376699;174909465;689623700;0;8;75:16:220108:226;2025-09-29;2025-09-29;2079-06-06
1644376701;174909465;689623700;0;13;766364521010000000140016000100000;2025-09-29;2025-09-29;2079-06-06
1644376821;174909480;689623721;0;15;53;2025-09-29;2025-09-29;2079-06-06
1644376995;53891313;689623744;0;8;75:28:070404:462;2025-09-29;2025-09-29;2079-06-06
1644377005;174909503;689623746;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644377116;174909518;689623762;0;8;75:28:070202:94;2025-09-29;2025-09-29;2079-06-06
1644377118;174909518;689623762;0;13;766261010010000007640036000200000;2025-09-29;2025-09-29;2079-06-06
1644377152;174909523;689623767;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644377162;174909525;689623769;0;8;75:28:070422:1002;2025-09-29;2025-09-29;2079-06-06
1644377164;174909525;689623769;0;13;766261010010000001040029005400000;2025-09-29;2025-09-29;2079-06-06
1644377222;174909533;689623777;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644377226;174909534;689623779;0;8;75:28:020101:353;2025-09-29;2025-09-29;2079-06-06
1644377228;174909534;689623779;0;13;766261011210000000140001000200000;2025-09-29;2025-09-29;2079-06-06
1644377303;174909544;689623790;0;15;9;2025-09-29;2025-09-29;2079-06-06
1644377305;174909545;689623791;0;8;75:28:070416:340;2025-09-29;2025-09-29;2079-06-06
1644377307;174909545;689623791;0;13;766261010010000003440052001000000;2025-09-29;2025-09-29;2079-06-06
1644377319;174909547;689623793;0;15;11;2025-09-29;2025-09-29;2079-06-06
1644377513;174909572;689623818;0;8;75:28:070105:24;2025-09-29;2025-09-29;2079-06-06
1644377515;174909572;689623818;0;13;766261010010000011140005000200000;2025-09-29;2025-09-29;2079-06-06
1644377557;174909578;689623824;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644377594;53787054;689623830;0;8;75:28:070405:655;2025-09-29;2025-09-29;2079-06-06
1644377627;174909589;689623837;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644377653;174909593;689623841;0;8;75:28:070215:165;2025-09-29;2025-09-29;2079-06-06
1644377655;174909593;689623841;0;13;766261010010000004040012000200000;2025-09-29;2025-09-29;2079-06-06
1644377665;174909595;689623843;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644377604;174909585;689623833;0;8;75:28:020101:356;2025-09-29;2025-09-29;2079-06-06
1644377606;174909585;689623833;0;13;766261011210000000340011000100000;2025-09-29;2025-09-29;2079-06-06
1644377624;174909588;689623836;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644382066;174910086;689624612;0;8;75:28:070215:281;2025-09-29;2025-09-29;2079-06-06
1644382068;174910086;689624612;0;13;766261010010000004040009000100000;2025-09-29;2025-09-29;2079-06-06
1644382078;174910088;689624614;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644382088;174910090;689624616;0;8;75:28:070505:38;2025-09-29;2025-09-29;2079-06-06
1644382090;174910090;689624616;0;13;766261010010000004140010000100000;2025-09-29;2025-09-29;2079-06-06
1644382100;174910092;689624618;0;15;55;2025-09-29;2025-09-29;2079-06-06
1644382110;174910094;689624620;0;8;75:28:070104:138;2025-09-29;2025-09-29;2079-06-06
1644382112;174910094;689624620;0;13;766261010010000012340008000200000;2025-09-29;2025-09-29;2079-06-06
1644382202;174910106;689624632;0;15;56;2025-09-29;2025-09-29;2079-06-06
1644382225;29720521;689624636;0;8;75:01:080110:238;2025-09-29;2025-09-29;2079-06-06
1644382235;174910111;689624638;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644382250;174910114;689624642;0;8;75:28:070306:628;2025-09-29;2025-09-29;2079-06-06
1644382205;174910107;689624633;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644382247;174910113;689624641;0;8;75:28:070422:991;2025-09-29;2025-09-29;2079-06-06
1644382249;174910113;689624641;0;13;766261010010000001040029005700000;2025-09-29;2025-09-29;2079-06-06
1644382254;174910115;689624643;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644382369;174910130;689624659;0;8;75:28:070422:956;2025-09-29;2025-09-29;2079-06-06
1644382371;174910130;689624659;0;13;766261010010000001040029005800000;2025-09-29;2025-09-29;2079-06-06
1644382252;174910114;689624642;0;13;766261010010000002140001000100000;2025-09-29;2025-09-29;2079-06-06
1644386468;174910861;689626379;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644386457;28654412;689626376;0;8;75:01:080106:267;2025-09-29;2025-09-29;2079-06-06
1644386487;174910864;689626382;0;15;13;2025-09-29;2025-09-29;2079-06-06
1644386497;174910866;689626384;0;8;75:28:070416:346;2025-09-29;2025-09-29;2079-06-06
1644386499;174910866;689626384;0;13;766261010010000003440052001400000;2025-09-29;2025-09-29;2079-06-06
1644386502;174910867;689626386;0;15;15;2025-09-29;2025-09-29;2079-06-06
1644386688;174910891;689626410;0;8;75:28:070416:344;2025-09-29;2025-09-29;2079-06-06
1644386690;174910891;689626410;0;13;766261010010000003440052001600000;2025-09-29;2025-09-29;2079-06-06
1644386701;174910893;689626413;0;15;17;2025-09-29;2025-09-29;2079-06-06
1644386705;174910894;689626415;0;15;18;2025-09-29;2025-09-29;2079-06-06
1644386801;28857653;689626432;0;8;75:01:080106:487;2025-09-29;2025-09-29;2079-06-06
1644390749;61024859;689628309;0;8;75:03:290151:153;2025-09-29;2025-09-29;2079-06-06
1644390791;174911353;689628318;0;8;75:28:070416:336;2025-09-29;2025-09-29;2079-06-06
1644390793;174911353;689628318;0;13;766261010010000003440052001900000;2025-09-29;2025-09-29;2079-06-06
1644390851;174911361;689628327;0;8;75:28:070416:325;2025-09-29;2025-09-29;2079-06-06
1644390853;174911361;689628327;0;13;766261010010000003440052002000000;2025-09-29;2025-09-29;2079-06-06
1644390953;174911374;689628340;0;15;21;2025-09-29;2025-09-29;2079-06-06
