ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1600024011;67795835;642357956;689653345;8;75:22:060104:17;2025-09-29;2025-03-12;2025-09-29
258483934;45153237;68027667;689780062;15;3;2025-10-01;1900-01-01;2025-10-01
1355951792;60947167;484840608;689777537;8;75:21:200104:316;2025-10-01;2022-11-25;2025-10-01
849771130;105585904;289895866;689665368;8;75:20:130503:110;2025-09-29;2022-09-14;2025-09-29
1644374066;174909186;689623315;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644374068;174909186;689623315;0;6;76250000060;2025-09-29;2025-09-29;2079-06-06
1644374070;174909186;689623315;0;15;20;2025-09-29;2025-09-29;2079-06-06
1644374072;174909186;689623315;0;21;76650475;2025-09-29;2025-09-29;2079-06-06
1644374093;174909190;689623319;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644374095;174909190;689623319;0;7;76650475;2025-09-29;2025-09-29;2079-06-06
1644374097;174909190;689623319;0;13;766504751010186000020134000000000;2025-09-29;2025-09-29;2079-06-06
1644374201;174909205;689623335;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644374203;174909205;689623335;0;6;76225000019;2025-09-29;2025-09-29;2079-06-06
1644374205;174909205;689623335;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644374207;174909205;689623335;0;21;76625428;2025-09-29;2025-09-29;2079-06-06
1644374209;174909206;689623336;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644374211;174909206;689623336;0;7;76625428101;2025-09-29;2025-09-29;2079-06-06
1644374181;174909201;689623331;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644374183;174909201;689623331;0;6;76225000019;2025-09-29;2025-09-29;2079-06-06
1644374185;174909201;689623331;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644374187;174909201;689623331;0;21;76625428;2025-09-29;2025-09-29;2079-06-06
1644374189;174909202;689623332;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644374191;174909202;689623332;0;7;76625428101;2025-09-29;2025-09-29;2079-06-06
1644374193;174909202;689623332;0;13;766254281010043000020002000000000;2025-09-29;2025-09-29;2079-06-06
1644374213;174909206;689623336;0;13;766254281010044000020002000000000;2025-09-29;2025-09-29;2079-06-06
1644374215;174909207;689623337;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644374217;174909207;689623337;0;6;76225000019;2025-09-29;2025-09-29;2079-06-06
1644374219;174909207;689623337;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644374221;174909207;689623337;0;21;76625428;2025-09-29;2025-09-29;2079-06-06
1644374223;174909208;689623338;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644374225;174909208;689623338;0;7;76625428101;2025-09-29;2025-09-29;2079-06-06
1644374227;174909208;689623338;0;13;766254281010044000020004000000000;2025-09-29;2025-09-29;2079-06-06
1644376670;174909461;689623691;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644376672;174909461;689623691;0;6;76225000019;2025-09-29;2025-09-29;2079-06-06
1644376674;174909461;689623691;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644376676;174909461;689623691;0;21;76625428;2025-09-29;2025-09-29;2079-06-06
1644376678;174909462;689623692;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644376680;174909462;689623692;0;7;76625428101;2025-09-29;2025-09-29;2079-06-06
1644376682;174909462;689623692;0;13;766254281010045000020002000000000;2025-09-29;2025-09-29;2079-06-06
1644376689;174909464;689623696;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644376691;174909464;689623696;0;6;76206501000;2025-09-29;2025-09-29;2079-06-06
1644376693;174909464;689623696;0;15;44;2025-09-29;2025-09-29;2079-06-06
1644376695;174909464;689623696;0;21;76506000;2025-09-29;2025-09-29;2079-06-06
1644381931;174910069;689624594;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644381933;174910069;689624594;0;7;76650154051;2025-09-29;2025-09-29;2079-06-06
1644381935;174910069;689624594;0;13;766501540000000029420001000000000;2025-09-29;2025-09-29;2079-06-06
1644381945;174910071;689624596;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644381947;174910071;689624596;0;6;76209501000;2025-09-29;2025-09-29;2079-06-06
1644381949;174910071;689624596;0;15;160;2025-09-29;2025-09-29;2079-06-06
1644381951;174910071;689624596;0;21;76609101;2025-09-29;2025-09-29;2079-06-06
1644382256;3510279;689624644;0;8;75:22:530101:324;2025-09-29;2025-09-29;2079-06-06
1644386479;174910863;689626381;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644386481;174910863;689626381;0;7;76620425101;2025-09-29;2025-09-29;2079-06-06
1644386483;174910863;689626381;0;15;27;2025-09-29;2025-09-29;2079-06-06
1644386485;174910863;689626381;0;21;76620425;2025-09-29;2025-09-29;2079-06-06
1552546083;67865965;609226575;689628310;8;75:22:510102:332;2025-09-29;2024-12-12;2025-09-29
1644390673;43554337;689628284;0;8;75:03:290157:77;2025-09-29;2025-09-29;2079-06-06
1644391229;67361013;689628384;0;8;75:03:290158:332;2025-09-29;2025-09-29;2079-06-06
1644391826;35654601;689628469;0;13;766261010010000007720050000000010;2025-09-29;2025-09-29;2079-06-06
1644395539;174911931;689629378;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644395541;174911931;689629378;0;6;76226501000;2025-09-29;2025-09-29;2079-06-06
1644395543;174911931;689629378;0;8;75:28:070218:345;2025-09-29;2025-09-29;2079-06-06
1644395545;174911931;689629378;0;13;766261010010000003820037000000000;2025-09-29;2025-09-29;2079-06-06
1644395557;18696632;689629382;0;8;75:28:070217:366;2025-09-29;2025-09-29;2079-06-06
1644395510;174911927;689629373;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644395512;174911927;689629373;0;7;76526000001;2025-09-29;2025-09-29;2079-06-06
1644395514;174911927;689629373;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644395516;174911927;689629373;0;21;76526000;2025-09-29;2025-09-29;2079-06-06
1644395580;174911936;689629386;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644395582;174911936;689629386;0;7;76526000001;2025-09-29;2025-09-29;2079-06-06
1644395584;174911936;689629386;0;15;64;2025-09-29;2025-09-29;2079-06-06
1644395586;174911936;689629386;0;21;76526000;2025-09-29;2025-09-29;2079-06-06
1644395722;174911953;689629409;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644395724;174911953;689629409;0;7;76624455106;2025-09-29;2025-09-29;2079-06-06
1644395726;174911953;689629409;0;15;9;2025-09-29;2025-09-29;2079-06-06
1644395728;174911953;689629409;0;21;76624455;2025-09-29;2025-09-29;2079-06-06
1644395605;174911939;689629391;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644395607;174911939;689629391;0;6;76226501000;2025-09-29;2025-09-29;2079-06-06
1644395609;174911939;689629391;0;8;75:28:070420:266;2025-09-29;2025-09-29;2079-06-06
1644395611;174911939;689629391;0;13;766261010010000011520004000000000;2025-09-29;2025-09-29;2079-06-06
1644395689;174911949;689629404;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644395691;174911949;689629404;0;6;76226501000;2025-09-29;2025-09-29;2079-06-06
