ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1632979156;165458488;655677407;689637562;8;80:02:060103:101;2025-09-29;2025-07-18;2025-09-29
1644372754;174908932;689622920;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644372756;174908932;689622920;0;7;76625404101;2025-09-29;2025-09-29;2079-06-06
1644372758;174908932;689622920;0;15;48;2025-09-29;2025-09-29;2079-06-06
1644372760;174908932;689622920;0;21;76625404;2025-09-29;2025-09-29;2079-06-06
1644372794;174908937;689622925;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644372796;174908937;689622925;0;7;76654158051;2025-09-29;2025-09-29;2079-06-06
1644372798;174908937;689622925;0;15;50;2025-09-29;2025-09-29;2079-06-06
1644372800;174908937;689622925;0;21;76654158;2025-09-29;2025-09-29;2079-06-06
1644372810;174908939;689622927;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644372812;174908939;689622927;0;7;76654158051;2025-09-29;2025-09-29;2079-06-06
1644372814;174908939;689622927;0;15;51;2025-09-29;2025-09-29;2079-06-06
1644372816;174908939;689622927;0;21;76654158;2025-09-29;2025-09-29;2079-06-06
1644372818;174908940;689622928;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644372820;174908940;689622928;0;7;76654158051;2025-09-29;2025-09-29;2079-06-06
1644372822;174908940;689622928;0;15;52;2025-09-29;2025-09-29;2079-06-06
1644372824;174908940;689622928;0;21;76654158;2025-09-29;2025-09-29;2079-06-06
1644372842;174908943;689622935;0;2;7500;2025-09-29;2025-09-29;2079-06-06
1644372844;174908943;689622935;0;7;76654450111;2025-09-29;2025-09-29;2079-06-06
1644372737;174908930;689622918;0;1;7500;2025-09-29;2025-09-29;2079-06-06
1644372739;174908930;689622918;0;6;76254558000;2025-09-29;2025-09-29;2079-06-06
1644372741;174908930;689622918;0;8;75:24:340118:1;2025-09-29;2025-09-29;2079-06-06
1644372743;174908930;689622918;0;13;766541580510000006510085000000000;2025-09-29;2025-09-29;2079-06-06
1644372745;174908931;689622919;0;1;7500;2025-09-29;2025-09-29;2079-06-06
