ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
9234718;16744825;14cc4e2b-7567-482b-a71f-b25c481e1f6e;26518916;2;2;10;0;111803719;2025-09-29;2017-05-26;2025-09-29;0;0
31821399;53560535;a1c40760-985c-4428-8fd2-f56dd66565df;80172724;2;2;10;0;111818453;2025-10-01;2011-03-01;2025-10-01;0;0
111800127;174928399;7e901427-6d23-4483-9848-b13b1acc773e;689664198;4;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111800129;174928401;78ed5b51-526c-4ba8-9ae8-5b795ea95fd9;689664200;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803707;40073229;8173fbf4-0f80-4375-8cc8-2b64df0b0d7d;689688129;2;2;30;23437261;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803708;40073716;f539c9e6-39bf-4985-b4b8-69fca8783384;689688130;1;2;30;23437522;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803712;74997662;0f1b5f1b-f992-48dd-a5f2-f56b5764e8b6;689688252;1;2;30;44809028;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803717;62675901;af681ad8-ec81-4c7d-815e-f6ad4126ce2a;689688295;1;2;30;37321393;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803718;62675915;d1341572-399e-48c9-bdc7-ad25061da11a;689688320;2;2;30;37321398;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803715;74998113;45a4e419-e49b-4f14-958a-e6434cfe770b;689688269;2;2;30;44809242;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803719;16744825;14cc4e2b-7567-482b-a71f-b25c481e1f6e;689688342;2;2;30;9234718;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803755;53554571;09126043-c808-44c4-83c6-7379e7c75dd9;689688539;1;2;55;31817801;129173660;2025-09-29;2025-09-29;2079-06-06;1;0
111803756;53554693;c88200ce-ed95-49e6-b93d-ad3a664c77a7;689688541;2;2;55;31817900;129173661;2025-09-29;2025-09-29;2079-06-06;1;0
111809787;3299197;783fc64f-4a32-41e4-ac18-6a5b27458463;689743902;1;1;20;1126851;;2025-09-30;2025-09-30;2079-06-06;1;1
111811000;174969815;1a1b862e-9400-424b-879c-c56bd864a6a0;689757315;1;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111811311;55971071;8bfa093f-a33d-48ac-b9ed-fecb21de13cc;689758526;36;2;30;33282048;0;2025-09-30;2025-09-30;2079-06-06;1;0
111813124;75230271;4e2f8bb9-0845-4fb1-bfb0-c041bb065c88;689788755;1;1;20;44952114;;2025-10-01;2025-10-01;2079-06-06;1;1
111817443;174988383;68730608-47f7-4e04-867b-e037a9130f3d;689813111;4;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111817445;174988385;ad088624-105f-4d41-b067-6604b0226e9d;689813113;2;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818453;53560535;a1c40760-985c-4428-8fd2-f56dd66565df;689817977;2;2;55;31821399;129190627;2025-10-01;2025-10-01;2079-06-06;1;0
