ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
104622324;157063740;5dde9bf1-101e-433f-a3d4-f74c845ff6f6;469859429;165;1;10;0;111807516;2025-09-30;2022-11-14;2025-09-30;0;0
104622330;157063746;2704e4b6-67bc-452e-9a88-60d049c8d65b;469859435;170;1;10;0;111807515;2025-09-30;2022-11-14;2025-09-30;0;0
52193368;99823853;ffbd5e70-ddbb-4d24-b11d-e3c246509c57;166462155;1;2;10;0;111802784;2025-09-29;2020-12-28;2025-09-29;0;0
32199701;54190045;3b7e689d-672d-4bfc-96c6-9cc8495a4744;81103903;2;2;10;0;111806998;2025-09-30;1900-01-01;2025-09-30;0;0
111794871;174915596;33948125-c66c-4ba8-920f-f0a870f46405;689637703;28Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794873;174915598;a2722fc2-b425-4a70-88eb-9a11cd3b4846;689637705;218К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794875;174915600;06e71129-62cf-4433-81ac-7cfcb8a89af2;689637707;56К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794877;174915602;f0dde1a8-f6e3-4934-8c2c-c3079c9b3492;689637709;47Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794879;174915604;dcf89b64-00de-4113-a309-3b6fcc8f2405;689637711;59К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794881;174915606;95377140-cda7-4f0d-8000-9735b8bafef3;689637713;228К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794883;174915608;04a2861a-907e-4347-a695-2fce33a7e5d5;689637715;309К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794885;174915610;e096c455-b1d8-4b82-87ef-d4a7ad98d1e8;689637717;172К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111794887;174915612;efebbeff-f4e3-4855-a8e3-728a64e1a635;689637719;158К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795668;174917453;5d58f0ec-3ec4-4dca-8261-6a9ace7d049c;689641303;147К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795670;174917455;5f222843-778c-42b8-a07e-1d923947c54b;689641306;284К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795672;174917457;e61f1b95-73ac-4f3f-85dd-fdc6e855a535;689641310;259К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795674;174917459;bde7b5cb-a6a4-4367-9ad6-6cb2df59d9a5;689641313;262К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795676;174917461;343c588a-71a3-45ec-9f3d-56c34bfba397;689641316;136К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795678;174917463;1343786e-c986-4821-8b66-c4cca1ff197e;689641319;232К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795680;174917465;3fa4b86e-0ee7-4f8f-8af2-f1a15b0e3821;689641322;291К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795682;174917467;159129b1-e3a6-442d-93f0-92034583947b;689641326;221К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795684;174917469;39833426-cac5-46b3-8e3d-e3ed538c6d91;689641329;24Т;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795686;174917471;bb1fc007-f758-4e54-aad8-cd286cb29496;689641333;326К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795688;174917473;4a2f9401-bf55-4ab1-b00c-209892473265;689641336;43Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795690;174917475;68ce3728-2d21-42cf-b6ca-6f47720f24b9;689641342;279К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795692;174917477;fdc328ab-9a1b-4465-a057-8b5f717a1462;689641345;115К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795694;174917479;ef231da1-75a4-4859-97dc-a8f2c2fc8bcf;689641347;169К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795696;174917481;a444e112-1eb6-4ef5-bc29-72deeeca3bd5;689641350;22К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795698;174917483;01aa6648-ee20-4050-8d2a-a840c07797c8;689641352;54К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795700;174917485;158ac870-40c1-485b-9037-efba202deaf8;689641354;111К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795702;174917487;6cac65a3-be63-44ab-809a-668e159bd8e3;689641356;225К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795704;174917489;6adf0a52-70c5-431b-b3e4-0321bde60ce8;689641358;143К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795706;174917491;67723923-e624-4240-8d93-1ee396e81ff8;689641376;93К;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795725;174917583;1f6a635e-82dd-4351-8e24-5282ec1edb8f;689642262;261Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795727;174917585;da551918-9570-4e4a-8efe-fda044d85596;689642264;259Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795729;174917587;7f124ccf-951d-4813-9490-555a7dd4a7e3;689642266;257Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795731;174917589;d5660762-e33c-4bf7-974f-9b0fa21166b0;689642268;255Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795733;174917591;11579f6e-12d8-49dd-be22-4ad995ec1830;689642270;253Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795735;174917593;4914d767-f97b-4c5e-b464-09fc612b9ddd;689642272;251Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795737;174917595;deecb5fd-7017-42ec-a2ac-60e4be1aa088;689642274;249Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795739;174917597;b37f4520-b367-488d-bdb6-8c4ded864946;689642276;247Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795741;174917599;d1090197-3f76-4b37-9695-6adc6a4276b4;689642278;245Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795743;174917601;f31284e3-0307-4234-af3d-7bd285e73701;689642280;243Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795745;174917603;78a1990d-8026-423b-8e7c-61cc42edc9b8;689642282;241Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795747;174917605;7b139c39-9230-4875-91ce-2793139a7fe3;689642284;239Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795749;174917607;c0992a7b-353c-4ec5-9da1-7cf1b588cbba;689642286;237Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795751;174917609;b88a41f5-19c8-4489-9ceb-757e1f5bc418;689642288;235Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795753;174917611;c016349b-4273-4fef-92db-1480a9bc4d14;689642290;233Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795755;174917613;cf047ce0-988c-40aa-a6a7-201d1c04f958;689642292;231Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795757;174917615;fe448710-3f53-4d5c-848e-8d7c0e587fa6;689642294;229Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795759;174917617;7af69f09-62ec-414c-91dc-90703c166001;689642296;227Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795761;174917619;a07264fa-7eb8-452a-9b4f-62e884b838ab;689642298;225Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795763;174917621;915327e2-2740-46b6-9187-1683dbedb242;689642300;223Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795765;174917623;26dd26c0-051a-4443-825b-f544f3d51adc;689642302;221Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795767;174917625;c94eedc7-e945-480b-963c-0c9fd22f7ea8;689642304;219Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795769;174917627;8bd24f52-5725-4e16-8669-0c266a714d9d;689642306;217Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795771;174917629;80860f2b-70f4-4386-a57f-2ce1876eb5ff;689642308;215Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795773;174917631;8c6735f6-dd83-4073-ae52-361779de883a;689642310;213Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795945;174917973;4e95d5e5-e4fc-4e22-b936-0c1c7dfac431;689642882;103;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795949;174917977;5252671c-770d-43c2-909a-08fce0820aea;689642886;562;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795953;174917981;16da5669-430c-41bb-aded-62f82c8bf4b7;689642890;144;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795957;174917985;eefe6da5-5b49-4f09-be30-6fac200bb5cf;689642894;510;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795961;174917989;e5cd7693-6449-487d-915f-322ebff45d6b;689642898;59;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795965;174917993;7403eacf-6952-40a1-b690-33c074d17933;689642902;286;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795969;174917997;0dc7c8d9-26cc-4629-9331-b31f23982060;689642906;248;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795973;174918001;6e7470a9-c1eb-4ecc-b92f-75d3d70d29e5;689642910;8;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795977;174918005;0b5affe8-3f4b-45f2-a4f7-c5fbc4405aae;689642914;519;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795981;174918009;8f7a0169-1b71-406a-99c6-9f1e623c5b38;689642918;131;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795985;174918013;d08b53be-acb2-4ec3-b9b4-a0eb1fc9af7e;689642922;370;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795989;174918017;a2c44456-c3b5-441d-8b3c-a83deec89338;689642926;456;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795993;174918021;05ddaa53-4f4c-4a84-8f4b-c0d2715cb571;689642930;257;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795776;174917634;858bd3e3-395a-449c-8d93-79a169e479d8;689642313;210Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795778;174917636;a1834ee6-ec0a-4a59-a331-6fc2bd59da99;689642315;208Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795780;174917638;3df33638-d3ae-4703-bdf1-4ca6e6a5a47e;689642317;206Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795782;174917640;a54e56bf-c881-44ef-88b0-a7f288ea30ed;689642319;204Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795784;174917642;7d0b95ce-da5a-48bb-86af-61a62007b104;689642321;202Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795786;174917644;93ccbe23-d09a-4a05-9a1b-8824592ddec8;689642323;200Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795788;174917646;8a25a6b7-9114-4a84-8d26-53c7842da69f;689642325;198Н;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
