ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644575672;166842100;689684016;0;8;77:17:0120114:57103;2025-09-29;2025-09-29;2079-06-06
1644575674;166842105;689684018;0;8;77:17:0120114:57211;2025-09-29;2025-09-29;2079-06-06
1644575676;166842125;689684020;0;8;77:17:0120114:57205;2025-09-29;2025-09-29;2079-06-06
1644575678;166842134;689684022;0;8;77:17:0120114:57191;2025-09-29;2025-09-29;2079-06-06
1644575680;166842153;689684024;0;8;77:17:0120114:57225;2025-09-29;2025-09-29;2079-06-06
1644575682;166842162;689684026;0;8;77:17:0120114:56817;2025-09-29;2025-09-29;2079-06-06
1644575684;166842191;689684028;0;8;77:17:0120114:57181;2025-09-29;2025-09-29;2079-06-06
1644575686;166842231;689684030;0;8;77:17:0120114:56840;2025-09-29;2025-09-29;2079-06-06
1644575688;166842269;689684032;0;8;77:17:0120114:57184;2025-09-29;2025-09-29;2079-06-06
1644575690;166840895;689684034;0;8;77:17:0120114:57220;2025-09-29;2025-09-29;2079-06-06
1644575692;166840901;689684036;0;8;77:17:0120114:57170;2025-09-29;2025-09-29;2079-06-06
1644575694;166840907;689684038;0;8;77:17:0120114:57070;2025-09-29;2025-09-29;2079-06-06
1644575696;166840928;689684040;0;8;77:17:0120114:57148;2025-09-29;2025-09-29;2079-06-06
1644575698;166840947;689684042;0;8;77:17:0120114:56833;2025-09-29;2025-09-29;2079-06-06
1644575700;166840960;689684044;0;8;77:17:0120114:57234;2025-09-29;2025-09-29;2079-06-06
1644575702;166840995;689684046;0;8;77:17:0120114:56839;2025-09-29;2025-09-29;2079-06-06
1644575704;166841050;689684048;0;8;77:17:0120114:57232;2025-09-29;2025-09-29;2079-06-06
1644575706;166841206;689684050;0;8;77:17:0120114:57194;2025-09-29;2025-09-29;2079-06-06
1644575708;166841274;689684052;0;8;77:17:0120114:57187;2025-09-29;2025-09-29;2079-06-06
1644575710;166841306;689684054;0;8;77:17:0120114:57182;2025-09-29;2025-09-29;2079-06-06
1644575712;166841342;689684056;0;8;77:17:0120114:57201;2025-09-29;2025-09-29;2079-06-06
1644575714;166841369;689684058;0;8;77:17:0120114:56846;2025-09-29;2025-09-29;2079-06-06
1644575716;166841389;689684060;0;8;77:17:0120114:57221;2025-09-29;2025-09-29;2079-06-06
1644575718;166841421;689684062;0;8;77:17:0120114:57081;2025-09-29;2025-09-29;2079-06-06
1644575720;166841466;689684064;0;8;77:17:0120114:57226;2025-09-29;2025-09-29;2079-06-06
1644575722;166841522;689684066;0;8;77:17:0120114:57206;2025-09-29;2025-09-29;2079-06-06
1644575724;166841571;689684068;0;8;77:17:0120114:57209;2025-09-29;2025-09-29;2079-06-06
1644575726;166841588;689684070;0;8;77:17:0120114:56845;2025-09-29;2025-09-29;2079-06-06
1644575728;166841594;689684072;0;8;77:17:0120114:57238;2025-09-29;2025-09-29;2079-06-06
1644575730;166841607;689684074;0;8;77:17:0120114:57190;2025-09-29;2025-09-29;2079-06-06
1644575732;166841643;689684076;0;8;77:17:0120114:57159;2025-09-29;2025-09-29;2079-06-06
1644575734;166841670;689684078;0;8;77:17:0120114:57186;2025-09-29;2025-09-29;2079-06-06
1644575736;166841676;689684080;0;8;77:17:0120114:57224;2025-09-29;2025-09-29;2079-06-06
1644575738;166841689;689684082;0;8;77:17:0120114:57192;2025-09-29;2025-09-29;2079-06-06
1644575740;166841715;689684084;0;8;77:17:0120114:56851;2025-09-29;2025-09-29;2079-06-06
1644575742;166841739;689684086;0;8;77:17:0120114:57198;2025-09-29;2025-09-29;2079-06-06
1644575744;166841754;689684088;0;8;77:17:0120114:56834;2025-09-29;2025-09-29;2079-06-06
1644575746;166841756;689684090;0;8;77:17:0120114:56819;2025-09-29;2025-09-29;2079-06-06
1644575748;166841779;689684092;0;8;77:17:0120114:56843;2025-09-29;2025-09-29;2079-06-06
1644575750;166841826;689684094;0;8;77:17:0120114:56832;2025-09-29;2025-09-29;2079-06-06
1644575752;166841860;689684096;0;8;77:17:0120114:56824;2025-09-29;2025-09-29;2079-06-06
1644575754;166841867;689684098;0;8;77:17:0120114:57125;2025-09-29;2025-09-29;2079-06-06
1644575756;166841891;689684100;0;8;77:17:0120114:57178;2025-09-29;2025-09-29;2079-06-06
1644575758;166841904;689684102;0;8;77:17:0120114:57183;2025-09-29;2025-09-29;2079-06-06
1644575760;166841948;689684104;0;8;77:17:0120114:57231;2025-09-29;2025-09-29;2079-06-06
1644575762;166841983;689684106;0;8;77:17:0120114:57216;2025-09-29;2025-09-29;2079-06-06
1644575764;166841994;689684108;0;8;77:17:0120114:57237;2025-09-29;2025-09-29;2079-06-06
1644575766;166842008;689684110;0;8;77:17:0120114:56816;2025-09-29;2025-09-29;2079-06-06
1644575768;166842042;689684112;0;8;77:17:0120114:57212;2025-09-29;2025-09-29;2079-06-06
1644575770;166842080;689684114;0;8;77:17:0120114:56849;2025-09-29;2025-09-29;2079-06-06
1644575874;166842109;689684211;0;8;77:17:0120114:56923;2025-09-29;2025-09-29;2079-06-06
1644575876;166842141;689684213;0;8;77:17:0120114:56897;2025-09-29;2025-09-29;2079-06-06
1644575878;166842173;689684215;0;8;77:17:0120114:56945;2025-09-29;2025-09-29;2079-06-06
1644575880;166842180;689684217;0;8;77:17:0120114:56931;2025-09-29;2025-09-29;2079-06-06
1644575882;166842192;689684219;0;8;77:17:0120114:56857;2025-09-29;2025-09-29;2079-06-06
1644575884;166842199;689684221;0;8;77:17:0120114:56901;2025-09-29;2025-09-29;2079-06-06
1644575886;166840868;689684223;0;8;77:17:0120114:56862;2025-09-29;2025-09-29;2079-06-06
1644575888;166840878;689684225;0;8;77:17:0120114:56934;2025-09-29;2025-09-29;2079-06-06
1644575890;166840893;689684227;0;8;77:17:0120114:56865;2025-09-29;2025-09-29;2079-06-06
1644575892;166840911;689684229;0;8;77:17:0120114:56863;2025-09-29;2025-09-29;2079-06-06
1644575894;166840919;689684231;0;8;77:17:0120114:56911;2025-09-29;2025-09-29;2079-06-06
1644575896;166840944;689684233;0;8;77:17:0120114:56935;2025-09-29;2025-09-29;2079-06-06
1644575898;166841023;689684235;0;8;77:17:0120114:56920;2025-09-29;2025-09-29;2079-06-06
1644575900;166841045;689684237;0;8;77:17:0120114:56899;2025-09-29;2025-09-29;2079-06-06
1644575902;166841065;689684239;0;8;77:17:0120114:56894;2025-09-29;2025-09-29;2079-06-06
1644575904;166841124;689684241;0;8;77:17:0120114:56947;2025-09-29;2025-09-29;2079-06-06
1644575906;166841182;689684243;0;8;77:17:0120114:56877;2025-09-29;2025-09-29;2079-06-06
1644575908;166841240;689684245;0;8;77:17:0120114:56893;2025-09-29;2025-09-29;2079-06-06
1644575910;166841269;689684247;0;8;77:17:0120114:56907;2025-09-29;2025-09-29;2079-06-06
1644575912;166841318;689684249;0;8;77:17:0120114:56887;2025-09-29;2025-09-29;2079-06-06
1644575914;166841429;689684251;0;8;77:17:0120114:56951;2025-09-29;2025-09-29;2079-06-06
1644575916;166841483;689684253;0;8;77:17:0120114:56895;2025-09-29;2025-09-29;2079-06-06
1644575918;166841582;689684255;0;8;77:17:0120114:56904;2025-09-29;2025-09-29;2079-06-06
1644575920;166841638;689684257;0;8;77:17:0120114:56878;2025-09-29;2025-09-29;2079-06-06
1644575922;166841651;689684259;0;8;77:17:0120114:56860;2025-09-29;2025-09-29;2079-06-06
1644575924;166841663;689684261;0;8;77:17:0120114:56902;2025-09-29;2025-09-29;2079-06-06
1644575926;166841682;689684263;0;8;77:17:0120114:56930;2025-09-29;2025-09-29;2079-06-06
1644575928;166841696;689684265;0;8;77:17:0120114:56898;2025-09-29;2025-09-29;2079-06-06
1644575930;166841716;689684267;0;8;77:17:0120114:56938;2025-09-29;2025-09-29;2079-06-06
1644575932;166841723;689684269;0;8;77:17:0120114:56855;2025-09-29;2025-09-29;2079-06-06
1644575934;166841745;689684271;0;8;77:17:0120114:56861;2025-09-29;2025-09-29;2079-06-06
1644575936;166841778;689684273;0;8;77:17:0120114:56866;2025-09-29;2025-09-29;2079-06-06
1644575938;166841797;689684275;0;8;77:17:0120114:56950;2025-09-29;2025-09-29;2079-06-06
1644575940;166841805;689684277;0;8;77:17:0120114:56874;2025-09-29;2025-09-29;2079-06-06
1644575942;166841828;689684279;0;8;77:17:0120114:56896;2025-09-29;2025-09-29;2079-06-06
1644575944;166841842;689684281;0;8;77:17:0120114:56944;2025-09-29;2025-09-29;2079-06-06
1644575946;166841889;689684283;0;8;77:17:0120114:56921;2025-09-29;2025-09-29;2079-06-06
1644575948;166841912;689684285;0;8;77:17:0120114:56883;2025-09-29;2025-09-29;2079-06-06
