CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689635509;18580228;59aec00b-a327-4da6-bbf2-0c3d72816ba0;24;27397250;2025-09-29
689635513;18578185;69f54ee3-5680-4415-8693-7185788789b3;24;27397250;2025-09-29
689635510;18580814;9861444c-e181-4d2a-a171-a0fe3036b3fa;24;27397250;2025-09-29
689635527;174914516;17378f2b-3a3f-42a3-bb8d-bdaebabdf4b1;10;27408459;2025-09-29
689637696;5771785;e1ccf330-c69d-4f35-b0e7-c8c1f8e915ba;20;27398700;2025-09-29
689637693;164117352;ef207a24-1beb-4ee1-8f09-6136edbc0a21;20;27408933;2025-09-29
689637697;5775366;240d9f5c-73b0-4305-badd-620076a49cfc;20;27398700;2025-09-29
689637700;5778950;3e44b075-e559-4eea-9cd1-053a856c29d5;20;27398700;2025-09-29
689637704;174915597;60e037cb-4c7d-4972-b979-a4b1c75a101f;10;27393001;2025-09-29
689637708;174915601;9976c48e-066a-4610-a985-030b33b23e83;10;27393001;2025-09-29
689637712;174915605;7ba0f1ac-f75a-4141-8eaa-1e237f052f7c;10;27393001;2025-09-29
689637716;174915609;54b51071-a2ff-4501-af1f-b6cf96584934;10;27393001;2025-09-29
689637720;50765011;0ac69d0c-8681-4abd-9b51-e2bb99ebb5d9;24;27408935;2025-09-29
689637724;50737301;8ba0e526-5220-4a90-ab04-4e1ac680c748;24;27408935;2025-09-29
689637701;5770046;3581cf11-5dfd-4495-8a48-5c19f5da1139;20;27398700;2025-09-29
689637705;174915598;a2722fc2-b425-4a70-88eb-9a11cd3b4846;10;27393001;2025-09-29
689637709;174915602;f0dde1a8-f6e3-4934-8c2c-c3079c9b3492;10;27393001;2025-09-29
689637713;174915606;95377140-cda7-4f0d-8000-9735b8bafef3;10;27393001;2025-09-29
689637717;174915610;e096c455-b1d8-4b82-87ef-d4a7ad98d1e8;10;27393001;2025-09-29
