OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
5472614;80347f0a-4a7f-45c0-9816-36ee2e7365ab;689722454;1;10;2019-03-20;2025-09-30
5479886;5e065806-024f-44a7-9470-0f5a58bb4344;689725370;1;10;2019-05-13;2025-09-30
5482014;3537aab4-7be7-4480-a0c0-4bfb00038be6;689725330;1;10;2019-10-25;2025-09-30
15178926;036d7c18-072e-4253-b0be-8b080d8e5993;689688085;1;10;2019-03-21;2025-09-29
96211024;3a3f79ad-2869-48df-9f87-65c4838e1c1b;689721900;1;10;2020-04-02;2025-09-30
15182946;734ea1f7-b2bb-4fd1-9360-c626ee2c8804;689721866;1;10;2019-03-21;2025-09-30
15188823;db1c1b52-eada-4acd-a535-000243c9a29c;689688052;1;10;2019-04-02;2025-09-29
15187525;5bf8b34e-65ad-4389-8aeb-f5c9df6eb446;689721862;1;10;2019-03-21;2025-09-30
15305746;93929988-d2aa-4067-bfd2-382759a5a6f2;689719163;1;10;2019-02-23;2025-09-30
15199648;85dcff05-9764-4561-b9c8-212b4a8c11f5;689721852;1;10;2019-08-14;2025-09-30
15308446;c6023ae7-79ba-4712-be0a-540558bc8bc8;689721861;1;10;2019-03-21;2025-09-30
34202492;a8ae17d6-a70d-4efa-96c8-9356116b732b;689725844;1;10;2019-06-25;2025-09-30
77597693;4b43af4f-b9ca-488a-a9e4-a0ff4e757604;689645040;1;10;2012-02-27;2025-09-29
29210084;5ddde22e-7dfe-4cb8-b01a-f4ee59f15771;689649967;1;11;2019-04-08;2025-09-29
29210485;718bf685-eb0c-4d40-b11d-9c52499e0d91;689680899;1;12;2019-10-12;2025-09-29
29220552;d582c59b-05b9-42fe-a5c3-311b0526e5b2;689649968;1;11;2019-08-30;2025-09-29
29221833;aac1e8d2-9599-4e30-8d6f-c6a1ff806b06;689680904;1;12;2019-10-12;2025-09-29
45218245;6717a443-e84c-416d-b545-04228469bc1c;689687863;1;10;2019-03-22;2025-09-29
45219166;3431ca8d-e5b3-46de-9f39-3a0bc586a6bd;689686027;1;10;2019-04-26;2025-09-29
45218952;82ce85ff-c04e-410a-a242-e70eec3dc993;689725216;1;10;2019-03-22;2025-09-30
45220292;8780824c-2207-43d7-83ff-4bb6e9167f4c;689725213;1;10;2019-05-30;2025-09-30
96211010;ebe64bd8-5e19-490d-b9c3-b3dc64334cca;689722132;1;10;2020-04-02;2025-09-30
57916108;fb880a81-bfa9-4054-a0d5-10acceebac07;689722164;1;10;2019-04-24;2025-09-30
57935155;d2bc461f-9814-4744-b8a2-67326f79b30c;689722229;1;10;2019-08-07;2025-09-30
64143966;d992f4f6-8c5c-469f-8574-acf434d37ac0;689721876;1;10;2019-05-21;2025-09-30
64158891;8b0a9734-3442-44d9-a58a-906a2a6b72ea;689721878;1;10;2019-11-19;2025-09-30
52331430;db7215ee-75c3-46af-ad30-373475f9bf5c;689725272;1;10;2019-04-24;2025-09-30
167367316;6042cb80-669d-45a0-85d0-46aecead4ea2;689733489;1;10;2024-11-12;2025-09-30
97116783;90ad936f-b881-491e-a9a1-8bc5597b2c55;689691879;1;10;2020-06-11;2025-09-29
5351688;74010884-a4e3-4d44-9f4e-a5006a8d3c63;689691715;1;10;2019-02-23;2025-09-29
5357890;0eb2cb6e-6fa7-4a6e-812f-a475427ab435;689716409;1;10;2019-05-13;2025-09-30
5358528;435fb0f4-fe04-4841-97ad-bab3daa692fc;689691743;1;10;2019-05-13;2025-09-29
5346923;1bc1d7b4-5c6e-4825-83de-55bb7ce17cfc;689692238;1;10;2019-02-23;2025-09-29
5358016;5130c008-40b6-4144-9ffb-a88ba93ee01f;689691753;1;10;2019-05-13;2025-09-29
66026578;0023b709-7b01-44b7-a613-0024eadd9c2a;689753731;1;10;2019-08-07;2025-09-30
66022160;38e8073b-1e5e-466b-a3c4-69df4b1000e4;689787481;1;10;2019-02-23;2025-10-01
66026361;5f666f9c-3f29-4480-bf37-3b341faf66cc;689753738;1;10;2019-02-23;2025-09-30
103099620;7e4d42a0-fcf7-41b7-81f3-fa04aeed9013;689683307;1;10;2021-12-02;2025-09-29
22092512;ff09bbcf-2f8e-41da-92f9-7f026f04ff8b;689683361;1;10;2019-05-06;2025-09-29
22103136;edfe745c-9664-4d97-9853-f4a7e700fe96;689683363;1;10;2019-05-06;2025-09-29
39059078;9e50f74e-e734-4452-849e-432303ab6580;689683732;1;10;2019-06-17;2025-09-29
11288396;ddc1fb4c-1b0a-49d1-aeb9-53f5bb44b827;689675910;1;10;2019-02-23;2025-09-29
80868843;63755bab-684a-41c3-a3f6-cc8f646d13d9;689680067;1;10;2019-05-06;2025-09-29
80867600;4755e98e-4214-4f70-b66e-34c4ad49f1a3;689680127;1;10;2019-05-06;2025-09-29
80881724;532a51e2-d27a-4787-afd6-68fedaa206fd;689680086;1;10;2019-12-06;2025-09-29
34927491;03c67541-6124-4b25-a0b8-7a85534e253f;689719004;1;10;2019-04-08;2025-09-30
34927989;5a7984a6-becd-4a53-aa96-9614de59ca87;689718990;1;10;2019-04-08;2025-09-30
