ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1643313657;174776639;689292076;689646439;15;1;2025-09-29;2025-09-22;2025-09-29
1644457731;174776639;689646439;0;13;403870000000310033610003000000010;2025-09-29;2025-09-29;2079-06-06
1644619418;174943025;689695828;0;7;40387000;2025-09-29;2025-09-29;2079-06-06
1644619420;174943025;689695828;0;1;7817;2025-09-29;2025-09-29;2079-06-06
1644619422;174943025;689695828;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644619424;174943025;689695828;0;21;40387000;2025-09-29;2025-09-29;2079-06-06
1644665593;174949023;689708178;0;2;7817;2025-09-30;2025-09-30;2079-06-06
1644665595;174949023;689708178;0;7;40345000;2025-09-30;2025-09-30;2079-06-06
1644665597;174949023;689708178;0;15;39;2025-09-30;2025-09-30;2079-06-06
1644665599;174949023;689708178;0;21;40345000;2025-09-30;2025-09-30;2079-06-06
1644665631;174949028;689708184;0;2;7807;2025-09-30;2025-09-30;2079-06-06
1644665633;174949028;689708184;0;7;40395000;2025-09-30;2025-09-30;2079-06-06
1644665635;174949028;689708184;0;15;2;2025-09-30;2025-09-30;2079-06-06
1644665637;174949028;689708184;0;21;40395000;2025-09-30;2025-09-30;2079-06-06
1644665661;174949032;689708191;0;1;7817;2025-09-30;2025-09-30;2079-06-06
1644665663;174949032;689708191;0;6;40294551000;2025-09-30;2025-09-30;2079-06-06
1644665665;174949032;689708191;0;15;2;2025-09-30;2025-09-30;2079-06-06
1644665667;174949032;689708191;0;21;40398000;2025-09-30;2025-09-30;2079-06-06
1644750790;174958917;689732955;0;1;7807;2025-09-30;2025-09-30;2079-06-06
1644750792;174958917;689732955;0;7;40395000;2025-09-30;2025-09-30;2079-06-06
1644750794;174958917;689732955;0;15;2;2025-09-30;2025-09-30;2079-06-06
1644750796;174958917;689732955;0;21;40395000;2025-09-30;2025-09-30;2079-06-06
1644842543;174969594;689756691;0;2;7817;2025-09-30;2025-09-30;2079-06-06
1644842545;174969594;689756691;0;7;40345000;2025-09-30;2025-09-30;2079-06-06
1644842547;174969594;689756691;0;15;15;2025-09-30;2025-09-30;2079-06-06
1644842549;174969594;689756691;0;21;40345000;2025-09-30;2025-09-30;2079-06-06
1644997250;174988951;689814093;0;1;7802;2025-10-01;2025-10-01;2079-06-06
1644997252;174988951;689814093;0;6;40265555000;2025-10-01;2025-10-01;2079-06-06
1644997254;174988951;689814093;0;15;23;2025-10-01;2025-10-01;2079-06-06
1644997256;174988951;689814093;0;21;40312000;2025-10-01;2025-10-01;2079-06-06
1644997873;174989162;689814337;0;2;7807;2025-10-01;2025-10-01;2079-06-06
1644997875;174989162;689814337;0;7;40396000;2025-10-01;2025-10-01;2079-06-06
1644997877;174989162;689814337;0;13;403960000000000003510191000000000;2025-10-01;2025-10-01;2079-06-06
1644998707;174989385;689814694;0;1;7842;2025-10-01;2025-10-01;2079-06-06
1644998709;174989385;689814694;0;6;40298565000;2025-10-01;2025-10-01;2079-06-06
1644998711;174989385;689814694;0;15;55;2025-10-01;2025-10-01;2079-06-06
1644998713;174989385;689814694;0;21;40912000;2025-10-01;2025-10-01;2079-06-06
1645005248;174990220;689816773;0;2;7814;2025-10-01;2025-10-01;2079-06-06
1645005250;174990220;689816773;0;7;40367000;2025-10-01;2025-10-01;2079-06-06
1645005252;174990220;689816773;0;13;403670000000000003310486000000000;2025-10-01;2025-10-01;2079-06-06
1645005402;174990243;689816806;0;1;7838;2025-10-01;2025-10-01;2079-06-06
1645005404;174990243;689816806;0;6;40262561000;2025-10-01;2025-10-01;2079-06-06
1645005406;174990243;689816806;0;15;2;2025-10-01;2025-10-01;2079-06-06
1645005408;174990243;689816806;0;21;40301000;2025-10-01;2025-10-01;2079-06-06
1645008045;174990569;689817406;0;2;7817;2025-10-01;2025-10-01;2079-06-06
1645008047;174990569;689817406;0;7;40342000;2025-10-01;2025-10-01;2079-06-06
1645008049;174990569;689817406;0;13;403420000000000003010001000000000;2025-10-01;2025-10-01;2079-06-06
1645008876;174990692;689817614;0;1;7817;2025-10-01;2025-10-01;2079-06-06
1645008878;174990692;689817614;0;6;40294502000;2025-10-01;2025-10-01;2079-06-06
1645008880;174990692;689817614;0;15;2;2025-10-01;2025-10-01;2079-06-06
1645008882;174990692;689817614;0;21;40387000;2025-10-01;2025-10-01;2079-06-06
1645010422;174990886;689817934;0;2;7840;2025-10-01;2025-10-01;2079-06-06
1645010424;174990886;689817934;0;7;40910000;2025-10-01;2025-10-01;2079-06-06
1645010426;174990886;689817934;0;13;409100000000000010010002000000000;2025-10-01;2025-10-01;2079-06-06
