ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
249587196;174914094;1423136;689634824;99605445111;0;0;2025-09-29;2025-09-29;2079-06-06;1;1416230.95251505.95251511.1419045.1423136.174914094
249633443;174949049;1420828;689708278;99605445111;0;0;2025-09-30;2025-09-30;2079-06-06;1;1416230.95251505.95251511.1419045.1420828.174949049
249674848;174970834;1420663;689777450;99630165051;0;0;2025-10-01;2025-10-01;2079-06-06;1;1416230.95251493.95251497.1417550.1420663.174970834
249674979;174970965;1415298;689777730;99701000001;0;0;2025-10-01;2025-10-01;2079-06-06;1;1416230.95251504.1416363.1415298.174970965
249674984;174970970;1417472;689777736;99701000001;0;0;2025-10-01;2025-10-01;2079-06-06;1;1416230.95251504.1416363.1417472.174970970
249674980;174970966;1415298;689777731;99701000001;0;0;2025-10-01;2025-10-01;2079-06-06;1;1416230.95251504.1416363.1415298.174970966
249674983;174970969;1423965;689777735;99701000001;0;0;2025-10-01;2025-10-01;2079-06-06;1;1416230.95251504.1416363.1423965.174970969
43617183;72881637;1421728;108526498;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1421728.72881637
43494436;81694915;1419297;121391811;99701000001;0;0;2025-10-01;2016-09-27;2079-06-06;0;1416230.95251504.1416363.1419297.81694915
43505841;53800523;1420074;80527554;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1420074.53800523
43803064;34218956;1422717;52117771;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1422717.34218956
43754050;61794571;1422869;92278013;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1422869.61794571
43091048;82019370;1413676;121870914;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1413676.82019370
43346849;35802302;1417055;54373173;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1417055.35802302
43324602;16570753;1416492;26261960;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1416492.16570753
43471483;83099389;1419526;123436173;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1419526.83099389
43386456;74092099;1417345;110278570;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1417345.74092099
43801366;34191407;1422717;52074711;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1422717.34191407
43689512;50170483;1422225;75312938;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1422225.50170483
43374566;40234343;1417797;60911976;99701000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;1416230.95251504.1416363.1417797.40234343
43190072;59237822;59237641;88490786;99701000;0;0;2025-10-01;2017-05-17;2079-06-06;0;1416230.95251504.1416363.1413734.59237641.59237822
43394598;16465485;16464341;26110552;99701000;0;0;2025-10-01;2017-05-17;2079-06-06;0;1416230.95251504.1416363.1417501.16464341.16465485
249683014;174978939;1454365;689793939;99625405101;0;0;2025-10-01;2025-10-01;2079-06-06;1;1416230.95251500.95251501.1414469.1454365.174978939
