OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
72881637;d6023b2b-baa3-4084-8acc-6626961dd9d2;689778045;0;10;2019-07-14;2025-10-01
59237822;ce85999b-2783-4a8f-a1ce-218b788e3753;689778070;0;11;2017-05-17;2025-10-01
53800523;4089dcb8-22d0-434d-a73b-84cfcae07abc;689778053;0;10;2019-07-14;2025-10-01
5448873;7acc642e-837b-40f1-871b-5f84728f650d;689778060;0;10;2019-07-14;2025-10-01
16570753;4730c73f-781b-4390-a130-7f7c59a2e18a;689778046;0;10;2019-07-14;2025-10-01
18432835;52ae824b-ee70-4761-a974-77cf4e66daa5;689778055;0;10;2019-07-14;2025-10-01
174914094;356f3e5a-e4ef-423d-a749-8804c664aab3;689634824;1;10;2025-09-29;2025-09-29
174949049;087a97ec-6016-435f-92c4-ff67ccb443f9;689708278;1;9;2025-09-30;2025-09-30
174970834;8fb3eeed-4fb7-4b3d-9be3-9a50ce576d68;689777450;1;9;2025-10-01;2025-10-01
174970964;c1b92c62-d080-44b7-8007-d3c876d3755d;689777729;1;9;2025-10-01;2025-10-01
174970966;06cb59fc-128d-409e-a5f3-c5abf706c9be;689777731;1;10;2025-10-01;2025-10-01
174970968;6fd702cd-999a-49f1-bd3c-e81d8ddfa16e;689777734;1;10;2025-10-01;2025-10-01
174970969;a9e1462f-d775-4528-ab3c-344d0bc8eaba;689777735;1;9;2025-10-01;2025-10-01
9776063;29ee79f0-6470-4101-baec-b6280d1d3dc9;689777804;1;10;2019-07-14;2025-10-01
55031931;4f2f43ae-6475-427b-9afe-c6b88c109506;689778052;0;10;2019-07-14;2025-10-01
16465526;4fd8c102-1267-465a-9ceb-3e3c4177ce48;689778068;0;11;2017-05-17;2025-10-01
174978939;3290218e-a558-4c18-9723-8e8072a7daf7;689793939;1;10;2025-10-01;2025-10-01
16465485;39416b65-a9f7-490f-ab30-60e3ff9fd01d;689778069;0;11;2017-05-17;2025-10-01
2228711;9fa814eb-74f6-4754-aa93-c3395c97e667;689778044;0;10;2019-07-14;2025-10-01
34218956;ce566fa4-7669-4b83-8b43-cdd189d94b3c;689778057;0;10;2019-07-14;2025-10-01
48234278;648b428f-aa2a-40ac-97db-9c87483f3a86;689778047;0;10;2019-07-14;2025-10-01
81694915;9fb3b39c-8608-4ac0-836f-c9ff45e7b7ce;689778049;0;10;2019-07-14;2025-10-01
83099389;c9b2c7d6-f297-4df3-8cea-2b031548ef9f;689778050;0;10;2015-07-25;2025-10-01
