ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;AREACODE;CITYCODE;PLACECODE;PLANCODE;STREETCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
247058306;174944672;1421814;689699387;83;1;0;27;0;5;0;0;2025-09-29;2025-09-29;2079-06-06;1;1447184.1450759.1450172.1421814.174944672
247034800;174921933;1460006;689649253;83;0;1;0;0;49;0;0;2025-09-29;2025-09-29;2079-06-06;1;1447184.1447228.1460006.174921933
247058415;174944738;1422829;689699640;83;1;0;27;0;13;0;0;2025-09-29;2025-09-29;2079-06-06;1;1447184.1450759.1450172.1422829.174944738
247047244;174933867;1458174;689675581;83;1;0;41;0;1;0;0;2025-09-29;2025-09-29;2079-06-06;1;1447184.1450759.1448579.1458174.174933867
247047246;174933869;1458174;689675583;83;1;0;41;0;1;0;0;2025-09-29;2025-09-29;2079-06-06;1;1447184.1450759.1448579.1458174.174933869
247057902;174944269;1421814;689698047;83;1;0;27;0;5;0;0;2025-09-29;2025-09-29;2079-06-06;1;1447184.1450759.1450172.1421814.174944269
247058057;174944423;1421814;689698511;83;1;0;27;0;5;0;0;2025-09-29;2025-09-29;2079-06-06;1;1447184.1450759.1450172.1421814.174944423
247063351;174949593;1422829;689709385;83;1;0;27;0;13;0;0;2025-09-30;2025-09-30;2079-06-06;1;1447184.1450759.1450172.1422829.174949593
247063385;174949625;1422012;689709450;83;1;0;27;0;7;0;0;2025-09-30;2025-09-30;2079-06-06;1;1447184.1450759.1450172.1422012.174949625
247063391;174949630;1422314;689709485;83;1;0;27;0;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1447184.1450759.1450172.1422314.174949630
247063387;174949627;1422012;689709459;83;1;0;27;0;7;0;0;2025-09-30;2025-09-30;2079-06-06;1;1447184.1450759.1450172.1422012.174949627
247063434;174949673;1422252;689709529;83;1;0;27;0;9;0;0;2025-09-30;2025-09-30;2079-06-06;1;1447184.1450759.1450172.1422252.174949673
247090250;174974927;1454380;689786534;83;1;0;24;0;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1450759.1451686.1454380.174974927
247090271;174974948;1447241;689786647;83;1;0;31;0;5;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1450759.1449515.1447241.174974948
247092272;174976926;78280909;689790816;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78280909.174976926
247096500;174981078;78280909;689798766;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78280909.174981078
247096507;174981085;78270090;689798775;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174981085
247096518;174981096;78270090;689798800;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174981096
247096568;174981146;78270090;689798883;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174981146
247096570;174981148;78270090;689798888;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174981148
247096586;174981164;78270090;689798933;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174981164
247096647;174981225;78270090;689799050;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174981225
247096692;174981270;78270090;689799106;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174981270
247096704;174981282;78270090;689799137;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174981282
247096724;174981300;78270090;689799191;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174981300
247097818;174982377;78270090;689801256;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174982377
247097845;174982404;78270090;689801284;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174982404
247097850;174982409;78270090;689801293;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174982409
247099025;174983561;78270090;689803555;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174983561
247099027;174983563;78270090;689803558;83;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;1447184.1447228.1460267.78270090.174983563
