ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
111813973;174976926;999057bf-1d56-4803-88b2-ce1163ace6ad;689790816;84;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814687;174981078;541096b2-ce36-4423-abb4-353fe01fabfe;689798766;96;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814703;174981146;29293f2e-197a-42d5-b343-0d32802e746f;689798883;14;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814706;174981158;81cac3e9-c5bf-4403-bb46-304dc69588cb;689798898;17;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814732;174981282;d2e73d39-a64a-446a-ba71-e0f50ebfe208;689799137;25;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814736;174981300;f111d958-963c-4ad9-a731-784f825b4a53;689799191;27;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814692;174981088;3bd8439b-d149-45ec-ae70-b517999d16fc;689798783;11;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814695;174981126;57105574-ace7-44fd-8144-126dffab6ea0;689798844;13;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814707;174981161;19b52b7c-eddf-488f-9649-45ac2ce0a9fc;689798921;18;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814724;174981245;42608ef9-e9b3-4e07-a0db-f3d31aff0aad;689799077;22;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111814729;174981275;02359575-2b4c-47dc-8036-b3b3155f0b6c;689799116;24;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111815203;174982409;7ef05f71-e339-407a-a790-7d5470edda1c;689801293;35;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111815198;174982382;f21658bc-af17-4972-a523-7b0136c1ff00;689801261;30;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111815201;174982407;40411ede-5dd7-40ac-b3a3-9a2a683625a3;689801290;34;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111815445;174983561;b0e7141b-ae05-4cc8-a34b-8f1138a3ab8f;689803555;5;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111815446;174983563;27c1ca71-0279-4728-9634-09e1b0e23566;689803558;8;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
