ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644469776;174921933;689649253;0;1;2900;2025-09-29;2025-09-29;2079-06-06
1644469778;174921933;689649253;0;6;11111000000;2025-09-29;2025-09-29;2079-06-06
1644469780;174921933;689649253;0;8;83:00:050026:463;2025-09-29;2025-09-29;2079-06-06
1644469782;174921933;689649253;0;13;118510000010000004920253000000000;2025-09-29;2025-09-29;2079-06-06
1644552323;174933866;689675580;0;1;2900;2025-09-29;2025-09-29;2079-06-06
1644552325;174933866;689675580;0;6;11181934001;2025-09-29;2025-09-29;2079-06-06
1644552327;174933866;689675580;0;8;83:00:010004:505;2025-09-29;2025-09-29;2079-06-06
1644552329;174933866;689675580;0;13;118114761010000000120047000000000;2025-09-29;2025-09-29;2079-06-06
1644552331;174933867;689675581;0;1;2900;2025-09-29;2025-09-29;2079-06-06
1644552333;174933867;689675581;0;6;11181934001;2025-09-29;2025-09-29;2079-06-06
1644552335;174933867;689675581;0;8;83:00:010004:503;2025-09-29;2025-09-29;2079-06-06
1644552337;174933867;689675581;0;13;118114761010000000120048000000000;2025-09-29;2025-09-29;2079-06-06
1644552339;174933868;689675582;0;1;2900;2025-09-29;2025-09-29;2079-06-06
1644552341;174933868;689675582;0;6;11181934001;2025-09-29;2025-09-29;2079-06-06
1644552343;174933868;689675582;0;8;83:00:010004:506;2025-09-29;2025-09-29;2079-06-06
1644552345;174933868;689675582;0;13;118114761010000000120049000000000;2025-09-29;2025-09-29;2079-06-06
1644552347;174933869;689675583;0;1;2900;2025-09-29;2025-09-29;2079-06-06
1644552349;174933869;689675583;0;6;11181934001;2025-09-29;2025-09-29;2079-06-06
1644552351;174933869;689675583;0;8;83:00:010004:504;2025-09-29;2025-09-29;2079-06-06
1644552353;174933869;689675583;0;13;118114761010000000120050000000000;2025-09-29;2025-09-29;2079-06-06
1644552355;174933870;689675584;0;1;2900;2025-09-29;2025-09-29;2079-06-06
1644552357;174933870;689675584;0;6;11181934001;2025-09-29;2025-09-29;2079-06-06
1644552359;174933870;689675584;0;8;83:00:010004:502;2025-09-29;2025-09-29;2079-06-06
1644552361;174933870;689675584;0;13;118114761010000000120051000000000;2025-09-29;2025-09-29;2079-06-06
1644894555;174974928;689786537;0;1;2900;2025-10-01;2025-10-01;2079-06-06
1644894557;174974928;689786537;0;6;11181908001;2025-10-01;2025-10-01;2079-06-06
1644894559;174974928;689786537;0;15;18;2025-10-01;2025-10-01;2079-06-06
1644894561;174974928;689786537;0;21;11811443;2025-10-01;2025-10-01;2079-06-06
1644894813;174974948;689786647;0;2;2900;2025-10-01;2025-10-01;2079-06-06
1644894815;174974948;689786647;0;7;11811466101;2025-10-01;2025-10-01;2079-06-06
1644894817;174974948;689786647;0;15;15;2025-10-01;2025-10-01;2079-06-06
1644894819;174974948;689786647;0;21;11811466;2025-10-01;2025-10-01;2079-06-06
