OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
174921933;3e6e4b1a-941c-45fe-997e-03d437d83721;689649253;1;10;2025-09-29;2025-09-29
174933867;1fc2e138-8c0d-4fc8-9b16-dc25e3198742;689675581;1;10;2025-09-29;2025-09-29
174933869;dc664ee6-a57a-43e0-82fb-617eedc37660;689675583;1;10;2025-09-29;2025-09-29
174944269;006fd4ee-df36-46c3-93d0-00f7931b01e3;689698047;1;9;2025-09-29;2025-09-29
174944423;eae0fde1-013a-426b-b435-8ca8893b4fc7;689698511;1;9;2025-09-29;2025-09-29
174944672;efa69dde-f4c4-4992-901f-c1e3714dd0c0;689699387;1;9;2025-09-29;2025-09-29
174944732;bb642bf4-78c1-4e81-9b50-747c70390887;689699619;1;9;2025-09-29;2025-09-29
174949593;0a4e4d10-0fe3-401a-a277-a81c108a25b3;689709385;1;9;2025-09-30;2025-09-30
174949625;d2ef7723-15c2-4c64-9bd4-e8be1ec11ecc;689709450;1;9;2025-09-30;2025-09-30
174949630;a56a47b2-75e0-463f-bbb6-0dc795824562;689709485;1;9;2025-09-30;2025-09-30
174949628;2ce50e39-8dd5-42e0-8016-e4fd9827781a;689709467;1;9;2025-09-30;2025-09-30
174949674;74379bbc-d6b6-49f2-83b5-67c97ee7cf55;689709530;1;9;2025-09-30;2025-09-30
174974927;573862de-4eea-4529-9d8a-0f16ab7743d7;689786534;1;9;2025-10-01;2025-10-01
174974948;2d052da1-0a8a-43a4-b83e-b644aa82bd1d;689786647;1;10;2025-10-01;2025-10-01
174976926;999057bf-1d56-4803-88b2-ce1163ace6ad;689790816;1;11;2025-10-01;2025-10-01
174981078;541096b2-ce36-4423-abb4-353fe01fabfe;689798766;1;11;2025-10-01;2025-10-01
174981085;68d7eaf9-40e2-4aac-98b2-80a720566017;689798775;1;11;2025-10-01;2025-10-01
174981096;55b0710a-a86a-47ca-8e7e-bb2dc33eae32;689798800;1;11;2025-10-01;2025-10-01
174981146;29293f2e-197a-42d5-b343-0d32802e746f;689798883;1;11;2025-10-01;2025-10-01
174981151;2ae1aa8a-999c-4c3a-99e0-0b4049e77534;689798891;1;11;2025-10-01;2025-10-01
174981161;19b52b7c-eddf-488f-9649-45ac2ce0a9fc;689798921;1;11;2025-10-01;2025-10-01
174981225;56b94299-8dc3-4cd5-bf27-ac860f0d4224;689799050;1;11;2025-10-01;2025-10-01
174981282;d2e73d39-a64a-446a-ba71-e0f50ebfe208;689799137;1;11;2025-10-01;2025-10-01
174981275;02359575-2b4c-47dc-8036-b3b3155f0b6c;689799116;1;11;2025-10-01;2025-10-01
174981300;f111d958-963c-4ad9-a731-784f825b4a53;689799191;1;11;2025-10-01;2025-10-01
174982377;0ccd67f8-b03c-4731-83ed-3c56bcad0e44;689801256;1;11;2025-10-01;2025-10-01
174982404;60dcf5cf-8199-4896-9335-2aa9d74ca158;689801284;1;11;2025-10-01;2025-10-01
174982407;40411ede-5dd7-40ac-b3a3-9a2a683625a3;689801290;1;11;2025-10-01;2025-10-01
174983561;b0e7141b-ae05-4cc8-a34b-8f1138a3ab8f;689803555;1;11;2025-10-01;2025-10-01
174983565;1b8f982d-ffd5-47d7-9974-b6ffa8ff69e4;689803561;1;11;2025-10-01;2025-10-01
104780262;6016def8-77b8-49a9-967a-979f87f85dfe;689786653;1;9;2022-06-21;2025-10-01
