ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
74180086;174944269;006fd4ee-df36-46c3-93d0-00f7931b01e3;689698047;12;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180146;174944423;eae0fde1-013a-426b-b435-8ca8893b4fc7;689698511;23/1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180212;174944672;efa69dde-f4c4-4992-901f-c1e3714dd0c0;689699387;23/2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180224;174944732;bb642bf4-78c1-4e81-9b50-747c70390887;689699619;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74182930;174949623;9b2729a3-3402-4e3c-989f-7ddf47dcf7e5;689709444;5;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74182935;174949629;ae0d16fc-7a15-4667-8b53-bb36cddc9c97;689709472;8;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74182937;174949632;a7a5f8ff-b44e-4684-b74a-7f0d0e753381;689709487;8;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74182904;174949593;0a4e4d10-0fe3-401a-a277-a81c108a25b3;689709385;1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74182934;174949628;2ce50e39-8dd5-42e0-8016-e4fd9827781a;689709467;22А;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74198307;174974927;573862de-4eea-4529-9d8a-0f16ab7743d7;689786534;6;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74204958;174986726;f43b55f7-52e5-4f63-bbe2-3c4d4300161b;689810783;26;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
