ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
48842581;81659760;e4376a24-8b7e-4d5c-8653-8925d0dcdca0;121339748;2;2;10;0;111814275;2025-10-01;2018-08-10;2025-10-01;0;0
11158053;19986519;7d6f0828-79b9-4508-803d-d6e7094f836d;31319271;2;2;10;0;111817562;2025-10-01;2018-08-15;2025-10-01;0;0
11160462;19990296;197c5420-7809-4dd8-9322-ed1487dad40d;31324783;1;2;10;0;111814300;2025-10-01;2018-08-16;2025-10-01;0;0
11174450;20013660;69fef837-48a9-4f7d-ae43-9488e9abd78c;31358835;1;2;10;0;111814236;2025-10-01;2018-08-14;2025-10-01;0;0
11166233;20000389;99d9edd0-f3a5-4470-becf-3d8903cd4bfb;31340028;3;2;10;0;111810781;2025-09-30;2018-08-15;2025-09-30;0;0
11174436;20013641;4e239528-76a1-49a6-91c4-2ade8d8c5b8b;31358796;2;2;10;0;111814235;2025-10-01;2018-08-14;2025-10-01;0;0
22713273;38914053;76526cb9-e0d6-4b46-afaf-7f614a10cd52;58982947;2;2;10;0;111818643;2025-10-01;2019-02-04;2025-10-01;0;0
24328923;41504770;a5cf866e-2678-4e5d-8056-060a06cb5768;62759987;1;2;10;0;111818225;2025-10-01;2018-08-20;2025-10-01;0;0
35952676;60312846;0e60fd33-3eb5-43e0-b817-30443abcc217;90047398;1;2;10;0;111814669;2025-10-01;2019-02-01;2025-10-01;0;0
40553895;68014550;b8243f8a-44a5-4307-b892-186715488d01;101389367;1;2;10;0;111818004;2025-10-01;2018-08-20;2025-10-01;0;0
46870622;78361346;5a045ec2-afd6-4dbc-b5bc-882ec3c3bc98;116497424;1;2;10;0;111817575;2025-10-01;2018-08-24;2025-10-01;0;0
111793983;174913348;19c5db92-2230-4ac9-97a3-2666e92117a8;689633163;24;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795647;174917421;bfc92711-50f4-4fa5-8a7b-6be8569fdcbf;689640835;67;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795649;174917423;4827f791-9a12-41b8-a9ed-0dac98f5bd33;689640837;54;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795651;174917425;b53f0cd6-94c0-4c00-a14f-e186ef2c173d;689640839;52;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795653;174917427;237cde7c-4e46-469a-8a11-3bcda8330c3c;689640841;65;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795655;174917429;2cd20412-a3d2-4d47-b917-054b8505bc8b;689640843;63;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795657;174917431;b3b7f05e-bbf5-41e3-bcc7-bd9954d94310;689640845;61;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795659;174917433;bb590749-adf9-4a6f-8358-f38e345ba9ea;689640847;59;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795661;174917435;51bcee75-1ff1-40d4-83d7-fd63bdfbd364;689640849;56;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802160;174935298;bb33defd-9ee3-43a3-8b60-8547332e4ca8;689679322;289;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111802211;174935561;80945e1e-3303-4c0b-8c56-623007bcb155;689679819;6;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111806681;76096286;2566b9a7-e1ac-4d3d-8cf1-972e6c46618b;689708486;2;2;30;45479997;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806682;76096345;3da35dd5-d72a-45da-89ab-397bea4746dd;689708487;6;2;30;45480055;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806683;76096383;42de88d7-f49b-40f9-933c-c2bc2f1e675d;689708488;9;2;30;45480096;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806684;76096806;5b25d0aa-2908-453a-a4cf-ad618340c515;689708489;8;2;30;45480519;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806685;76096825;7612a483-6572-4b56-9d3a-4f1867ec5ecf;689708490;1;2;30;45480537;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806686;76096833;832d30fc-10dd-4e04-936b-ad713e1e2ed7;689708491;4;2;30;45480545;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806687;76096851;8e2223bf-2421-4e1e-8269-8eb1fbdc4518;689708492;10;2;30;45480563;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806688;76096859;d4b6ef68-65a7-49c5-af94-90aeeb82f734;689708493;3;2;30;45480571;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806689;76096865;d7604cc6-a36f-483b-b733-29b7724432b0;689708494;12;2;30;45480577;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806690;76096871;e67c134c-4845-4414-843d-6dae76e52b60;689708495;7;2;30;45480584;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806691;76096876;edc0a021-ed46-4286-ada8-339163abe64d;689708496;5;2;30;45480588;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806692;76097067;ff6d7907-7f65-4da5-ac41-fb28f65dde9f;689708497;11;2;30;45480777;0;2025-09-30;2025-09-30;2079-06-06;1;0
111806822;174950272;a8c99bb3-7e65-4c53-86e8-5f220f03e1ac;689710629;233;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
111810782;20000493;ab96149e-2996-4122-a0dd-7a3a31c11834;689752536;2;2;55;11166294;129182983;2025-09-30;2025-09-30;2079-06-06;1;0
11166365;20000584;e87c9f40-7d51-4b40-a532-e35759e4c547;31340274;1;2;10;0;111810783;2025-09-30;2018-08-15;2025-09-30;0;0
11167541;20002111;55d90a91-4e52-4ecb-80b1-ab5bdfc0cbdf;31342308;2;2;10;0;111810803;2025-09-30;2018-08-15;2025-09-30;0;0
11167574;20002143;eda70814-43a9-46a7-8037-1d5cf8c158b3;31342350;1;2;10;0;111810804;2025-09-30;2018-08-15;2025-09-30;0;0
111814236;20013660;69fef837-48a9-4f7d-ae43-9488e9abd78c;689793175;1;2;55;11174450;129186199;2025-10-01;2025-10-01;2079-06-06;1;0
111814300;19990296;197c5420-7809-4dd8-9322-ed1487dad40d;689793663;1;2;55;11160462;129186255;2025-10-01;2025-10-01;2079-06-06;1;0
111814274;81658616;b5f63e9c-6f47-4a02-8819-f699e1084f39;689793436;1;2;55;48841792;129186229;2025-10-01;2025-10-01;2079-06-06;1;0
111814280;81675718;ddf85002-6532-43af-ae8e-06c7cfbae7b3;689793569;2;2;55;48852032;129186236;2025-10-01;2025-10-01;2079-06-06;1;0
111814281;81676158;f6ea1f13-7667-4ca7-bd39-cd74ee57c8ed;689793571;1;2;55;48852328;129186237;2025-10-01;2025-10-01;2079-06-06;1;0
111814669;60312846;0e60fd33-3eb5-43e0-b817-30443abcc217;689798543;1;2;30;35952676;0;2025-10-01;2025-10-01;2079-06-06;1;0
108655299;165495075;a9751e68-0894-43d1-8e57-9ff7350b20d2;601619524;1;2;10;0;111814670;2025-10-01;2024-09-23;2025-10-01;0;0
111817563;19986610;bafbefaa-ce26-4c34-b9de-ba7da43a62e1;689813814;1;2;55;11158116;129189795;2025-10-01;2025-10-01;2079-06-06;1;0
111817575;78361346;5a045ec2-afd6-4dbc-b5bc-882ec3c3bc98;689813880;1;2;55;46870622;129189808;2025-10-01;2025-10-01;2079-06-06;1;0
111817580;81840799;1da71d8e-fb6e-466d-a476-65ca10687b3f;689814067;1;2;55;48949311;129189917;2025-10-01;2025-10-01;2079-06-06;1;0
111818003;68014487;075c99e4-54c8-4d92-9f40-29867941d479;689814774;2;2;55;40553844;129189995;2025-10-01;2025-10-01;2079-06-06;1;0
40557428;68020874;294da609-196f-449f-b8e5-5346c5645ad4;101399004;1;2;10;0;111818011;2025-10-01;2018-08-20;2025-10-01;0;0
111818012;68021051;fa3ea91e-a11e-4fd8-b45f-19c43f15a923;689814929;2;2;55;40557527;129190027;2025-10-01;2025-10-01;2079-06-06;1;0
111818224;41504755;7235b00a-e392-4902-8018-42bb6601ff92;689816815;2;2;55;24328909;129190337;2025-10-01;2025-10-01;2079-06-06;1;0
111818227;41512829;6be03256-070d-4b40-9dcf-411d0fab1d7e;689816859;2;2;55;24334049;129190360;2025-10-01;2025-10-01;2079-06-06;1;0
24334052;41512852;e91debec-69ba-4c49-a15e-4c75e02397cf;62771796;1;2;10;0;111818228;2025-10-01;2018-08-20;2025-10-01;0;0
15805671;27653194;735db95d-ad2a-4edf-a56b-e124ddb371b3;42608101;1;2;10;0;111818626;2025-10-01;2019-02-04;2025-10-01;0;0
29003273;49043547;5c5c287f-306d-48ee-b861-92d8f6a6e522;73677927;1;1;10;0;111818627;2025-10-01;2019-02-04;2025-10-01;0;0
29003324;49043652;713a2597-135a-478a-b95e-ad159e7132f2;73678084;2;1;10;0;111818628;2025-10-01;2019-02-04;2025-10-01;0;0
29002974;49043076;5b88974b-c918-4314-bee4-4096d30dea7e;73677234;4;1;10;0;111818630;2025-10-01;2019-02-04;2025-10-01;0;0
111818629;49050012;ba2461fb-30ba-4005-9411-256494955a65;689818687;3;2;20;29007610;;2025-10-01;2025-10-01;2079-06-06;1;1
111818643;38914053;76526cb9-e0d6-4b46-afaf-7f614a10cd52;689818820;2;2;30;22713273;0;2025-10-01;2025-10-01;2079-06-06;1;0
111818686;174991616;ecf1a2ce-eeee-4c42-a846-6b39b639c868;689819317;505;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818688;174991618;75e229bb-b51f-49c4-bc1c-506f0b7ba20d;689819319;503;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818690;174991620;2148189d-8e4b-46ed-8d3b-8121d0bbf772;689819321;501;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818693;174991622;54050e06-d64e-4f53-af97-95701189a9e4;689819323;405;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818695;174991625;43189de5-5f6a-4dd6-bf40-8d97332775fc;689819326;403;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818697;174991627;861a3cfb-62ae-432a-9b56-a15aa0bbfcf8;689819328;401;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818699;174991629;5b5a277e-ed00-4c96-a6bb-4beea96c29d3;689819330;320;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111818701;174991631;d5ea49b9-6900-4092-9f79-9a28e9154a9a;689819332;318;1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
