OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
68708738;8d253b88-01ae-4fcc-9ab5-3a2a06e75dd3;689779386;1;10;2017-12-18;2025-10-01
68791683;42d9250e-c6f2-4efd-a7bd-7a741ad5a872;689781553;1;11;2018-01-12;2025-10-01
174911743;5928a472-7d89-4a64-9ce8-1779718a67fc;689629030;1;11;2025-09-29;2025-09-29
174911745;fbbb0988-f9ad-44a5-a4cd-3e2673a9cd5d;689629032;1;11;2025-09-29;2025-09-29
174911747;3497f673-83e0-4b2a-a616-bfaaf5f27ca4;689629034;1;11;2025-09-29;2025-09-29
174911749;3ab5f9c7-5896-4b57-b80f-48f51e08d55e;689629036;1;11;2025-09-29;2025-09-29
174911751;814e2c99-769a-4741-9765-d9f89b1e3283;689629038;1;11;2025-09-29;2025-09-29
174911753;9d0b07a2-6c18-4931-9b83-e5c22ba6b813;689629040;1;11;2025-09-29;2025-09-29
174911755;7a875d02-5729-4d78-a998-5a7e536f9695;689629042;1;11;2025-09-29;2025-09-29
174911757;ee4c38a5-fffc-4155-b4bb-9ba8eb956a59;689629044;1;11;2025-09-29;2025-09-29
174911759;9236e6e9-8ece-43c1-9e53-69b89fffe941;689629046;1;11;2025-09-29;2025-09-29
174911761;5c9a6c42-4f95-4751-8bd3-dc34c2ab1466;689629048;1;11;2025-09-29;2025-09-29
174911763;7967e892-7524-497e-8d4e-7847258347e6;689629050;1;11;2025-09-29;2025-09-29
174911765;83e51114-e242-4416-899f-e3a2e9d22b6c;689629052;1;11;2025-09-29;2025-09-29
174945126;eb199498-eee0-4fbc-a42d-6608ece07c3d;689701129;1;10;2025-09-30;2025-09-30
