ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
50223696;83933634;319bad73-cab6-4147-a7ce-15e8045998ea;124688765;2;2;10;0;111803425;2025-09-29;2015-10-28;2025-09-29;0;0
6718647;12457018;82fadd75-c3f0-4239-a92c-99bc1d2fe507;20106300;4;2;10;0;111813814;2025-10-01;2004-12-29;2025-10-01;0;0
6719003;12457717;f1015229-487b-41df-9341-fbaf81d7e50c;20107258;1;2;10;0;111813816;2025-10-01;2004-12-29;2025-10-01;0;0
17746838;30747948;83f10d16-8eee-428d-aacc-73411d71ae75;47068138;1;2;10;0;111813918;2025-10-01;2018-09-06;2025-10-01;0;0
506912;2301932;bd84cd83-0c99-40bc-98a7-0fbcefbe7cd9;5290491;2;2;10;0;111794300;2025-09-29;2003-05-16;2025-09-29;0;0
111794301;2301951;d7dbb976-75b7-4f9d-839e-6ecba3ed0c51;689635159;1;2;55;506931;129165729;2025-09-29;2025-09-29;2079-06-06;1;0
111800142;83934486;de5cd69f-64e7-4bac-8a6a-275961cd7eb2;689664285;1а;2;20;50224148;;2025-09-29;2025-09-29;2079-06-06;1;1
111803425;83933634;319bad73-cab6-4147-a7ce-15e8045998ea;689686679;1;2;20;50223696;;2025-09-29;2025-09-29;2079-06-06;1;1
111803641;83968675;1d7b70b1-7fa6-4ed5-b6f1-986ab9394891;689687410;2;2;30;50243843;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803879;83934076;74cbb89c-832d-4f63-9576-7cc1cfd88bd4;689690779;4;2;30;50223894;0;2025-09-29;2025-09-29;2079-06-06;1;0
111813813;12456947;80176c93-5ab7-45a1-ad6f-200df3ffcb97;689790011;2;2;55;6718601;129185787;2025-10-01;2025-10-01;2079-06-06;1;0
111813815;12457303;ae1cc0d9-f5d3-4983-96e0-c226b1fe98df;689790015;3;2;55;6718823;129185789;2025-10-01;2025-10-01;2079-06-06;1;0
111813918;30747948;83f10d16-8eee-428d-aacc-73411d71ae75;689790317;1;2;30;17746838;0;2025-10-01;2025-10-01;2079-06-06;1;0
