ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1478157114;78747598;572711943;689704586;8;89:10:010102:1029;2025-09-30;2023-11-13;2025-09-30
1361607359;13642820;487707040;689635129;8;89:02:020103:847;2025-09-29;2022-11-25;2025-09-29
1458402607;77257779;562465148;689691830;8;89:07:020101:2480;2025-09-29;2023-10-02;2025-09-29
1494497583;17364841;582683513;689704587;8;89:10:010203:630;2025-09-30;2024-01-04;2025-09-30
1494497658;52873821;582683589;689704594;8;89:10:010208:664;2025-09-30;2024-01-04;2025-09-30
1494497588;52994675;582683519;689704600;8;89:10:010208:1901;2025-09-30;2024-01-04;2025-09-30
1494497972;53250226;582683903;689691513;8;89:07:010101:2428;2025-09-29;2024-01-04;2025-09-29
1644407362;174913258;689633033;0;8;89:05:010307:9649;2025-09-29;2025-09-29;2079-06-06
1644407364;174913258;689633033;0;2;8900;2025-09-29;2025-09-29;2079-06-06
1644407366;174913258;689633033;0;4;8911;2025-09-29;2025-09-29;2079-06-06
1644407368;174913258;689633033;0;15;110;2025-09-29;2025-09-29;2079-06-06
1644407370;174913258;689633033;0;21;71940000;2025-09-29;2025-09-29;2079-06-06
1644407372;174913259;689633034;0;2;8900;2025-09-29;2025-09-29;2079-06-06
1644407374;174913259;689633034;0;4;8911;2025-09-29;2025-09-29;2079-06-06
1644407376;174913259;689633034;0;7;71940000;2025-09-29;2025-09-29;2079-06-06
1644407378;174913259;689633034;0;15;111;2025-09-29;2025-09-29;2079-06-06
1644407380;174913259;689633034;0;21;71940000;2025-09-29;2025-09-29;2079-06-06
1644407382;174913260;689633035;0;2;8900;2025-09-29;2025-09-29;2079-06-06
1644407384;174913260;689633035;0;4;8911;2025-09-29;2025-09-29;2079-06-06
1644407386;174913260;689633035;0;7;71940000;2025-09-29;2025-09-29;2079-06-06
1644407388;174913260;689633035;0;15;112;2025-09-29;2025-09-29;2079-06-06
1644407390;174913260;689633035;0;21;71940000;2025-09-29;2025-09-29;2079-06-06
1644407252;174913247;689633000;0;2;8900;2025-09-29;2025-09-29;2079-06-06
1644407254;174913247;689633000;0;4;8901;2025-09-29;2025-09-29;2079-06-06
1644407256;174913247;689633000;0;7;71951000;2025-09-29;2025-09-29;2079-06-06
1644407258;174913247;689633000;0;15;48;2025-09-29;2025-09-29;2079-06-06
1644407260;174913247;689633000;0;21;71951000;2025-09-29;2025-09-29;2079-06-06
1644407262;174913248;689633005;0;2;8900;2025-09-29;2025-09-29;2079-06-06
1644407264;174913248;689633005;0;4;8911;2025-09-29;2025-09-29;2079-06-06
1644407266;174913248;689633005;0;7;71940000;2025-09-29;2025-09-29;2079-06-06
1644407268;174913248;689633005;0;15;15;2025-09-29;2025-09-29;2079-06-06
1644407270;174913248;689633005;0;21;71940000;2025-09-29;2025-09-29;2079-06-06
1644407272;174913249;689633006;0;2;8900;2025-09-29;2025-09-29;2079-06-06
1644407274;174913249;689633006;0;4;8911;2025-09-29;2025-09-29;2079-06-06
1644407276;174913249;689633006;0;7;71940000;2025-09-29;2025-09-29;2079-06-06
1644407278;174913249;689633006;0;15;16;2025-09-29;2025-09-29;2079-06-06
1644407280;174913249;689633006;0;21;71940000;2025-09-29;2025-09-29;2079-06-06
1644407282;174913250;689633007;0;2;8900;2025-09-29;2025-09-29;2079-06-06
1644407284;174913250;689633007;0;4;8911;2025-09-29;2025-09-29;2079-06-06
