ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
74164314;174911724;1ffad6ff-78f0-4ddc-b147-e4e983c2efaf;689628797;32;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165442;174913270;cc4961d5-1fff-4385-904f-397c0a4909d2;689633052;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165464;174913339;5e653f08-2a8d-41f8-8614-6df156357297;689633145;16в;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166702;174915575;fe0570cb-a6c9-4fb2-8f4a-f34f0692512e;689637628;1042;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167441;174917306;3622abba-a370-4fe0-90b5-4feb8c010e22;689640644;64;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167443;174917308;2550e44d-4db4-4758-a0f4-18139d394d97;689640646;48;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167445;174917310;c97e88f0-215f-44e8-9534-09d68e5d51a5;689640648;44;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167447;174917312;5dae56a6-5036-4043-91c6-5d5ad4fe60b5;689640650;55;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167449;174917314;232fc975-23af-464a-8cf9-f50e1baaa9ff;689640652;51;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167451;174917316;e059d295-4a67-4274-8010-a1535be3308e;689640654;39;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167453;174917318;a76edf55-9e3d-4f8d-8452-40ca097c5459;689640656;60;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167455;174917320;cf903ea8-2eea-4b14-86f3-87a247256286;689640658;56;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167457;174917322;4bb43c96-1ae2-4d49-8ed5-857ef67e4334;689640660;52;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172190;174928497;269089b6-779e-4f4c-9f8e-e5a3b1cd7642;689664411;47;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172192;174928499;a6315e2d-fb69-47f1-8749-4713cb2ac6cc;689664413;43;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172194;174928501;9b9c5c7c-125f-4abf-a496-0acc9b45d1c9;689664415;35;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74175195;174933873;e146f1c2-31e3-477f-8057-b92bd40a8130;689675591;10;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177233;174939478;05d06092-17eb-4438-bcbe-62d39b289063;689688594;39/14/474;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74193115;174965390;99a5d374-46c1-420c-bcf4-7328effbef56;689746029;59А;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74197315;174972176;273e1d0f-3bdf-4c83-8523-14826bc13fef;689780787;5а;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74199038;174976529;e2d27bdd-91b2-472f-af25-6ee40348ac1f;689790151;29;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74204644;174986251;992e2870-dc4f-4d59-bf24-bd14691a600a;689809964;45;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74204646;174986253;1ca39034-d292-4a87-860a-f02a38c6937e;689809966;39/1;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74204648;174986255;f1c42513-b840-471d-8da3-9d8e7d3b372d;689809968;38А;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74204650;174986257;6ccb2bf7-bd87-4c54-8540-efcea45e5ca2;689809970;30Б;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74204652;174986259;0239ea65-3318-41c9-8c4c-42f079f63c8a;689809972;21;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74204654;174986261;05262834-2c2a-4a37-9242-4b10844e4beb;689809974;1а;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74204703;174986329;697887dc-6b14-4662-b885-9ee94d86f082;689810073;5;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
74205811;174988922;4a12ea15-dfea-49ac-9b82-e47f83c74eba;689813968;16в;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
