ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;AREACODE;CITYCODE;PLACECODE;PLANCODE;STREETCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
234656794;164327360;155738977;598408457;90;0;2;11;0;2;0;247108246;2025-10-01;2024-07-18;2025-10-01;0;155635744.155635756.155708853.155738977.164327360
232769418;162631790;158018085;591090544;90;0;2;3;0;9;0;247109584;2025-10-01;2024-02-28;2025-10-01;0;155635744.155635756.155815423.158018085.162631790
236905058;166461446;157761524;604954881;90;0;2;11;0;13;0;247107923;2025-10-01;2024-10-18;2025-10-01;0;155635744.155635756.155708853.157761524.166461446
241558413;169895956;158590803;620112155;90;0;2;7;0;6;0;247109184;2025-10-01;2025-01-30;2025-10-01;0;155635744.155635756.155815513.158590803.169895956
236950976;166507140;155738977;605077834;90;0;2;11;0;2;0;247108287;2025-10-01;2024-10-21;2025-10-01;0;155635744.155635756.155708853.155738977.166507140
236960238;166516200;157624409;605092544;90;0;2;11;0;10;0;247108828;2025-10-01;2024-10-21;2025-10-01;0;155635744.155635756.155708853.157624409.166516200
236962853;166518773;157624409;605096132;90;0;2;11;0;10;0;247108833;2025-10-01;2024-10-21;2025-10-01;0;155635744.155635756.155708853.157624409.166518773
236968474;166524365;157761524;605104510;90;0;2;11;0;13;0;247107936;2025-10-01;2024-10-21;2025-10-01;0;155635744.155635756.155708853.157761524.166524365
232908668;162767231;155738977;591529943;90;0;2;11;0;2;0;247108308;2025-10-01;2024-03-12;2025-10-01;0;155635744.155635756.155708853.155738977.162767231
241792710;170082624;158018085;638496806;90;0;2;3;0;9;0;247109587;2025-10-01;2025-02-06;2025-10-01;0;155635744.155635756.155815423.158018085.170082624
241790413;170081474;157978645;638493685;90;0;2;3;0;8;0;247109632;2025-10-01;2025-02-06;2025-10-01;0;155635744.155635756.155815423.157978645.170081474
228224495;158831540;156622655;502294173;90;0;2;2;0;7;228037811;0;2025-10-01;2023-05-25;2079-06-06;0;155635744.155635756.156622655.158831540
228616374;159263960;157636263;506747187;90;0;2;12;0;23;0;247107871;2025-10-01;2023-06-28;2025-10-01;0;155635744.155635756.155666734.157636263.159263960
229317742;159826858;158601142;508545204;90;0;2;7;0;7;0;247109331;2025-10-01;2023-08-29;2025-10-01;0;155635744.155635756.155815513.158601142.159826858
229496789;160005764;158831540;508742735;90;0;2;2;0;7;0;247109145;2025-10-01;2023-08-29;2025-10-01;0;155635744.155635756.156622655.158831540.160005764
229579121;160088007;158032242;508830331;90;0;2;11;0;15;0;247108683;2025-10-01;2023-08-29;2025-10-01;0;155635744.155635756.155708853.158032242.160088007
229592673;160101559;157761524;508844139;90;0;2;11;0;13;0;247107995;2025-10-01;2023-08-29;2025-10-01;0;155635744.155635756.155708853.157761524.160101559
229602971;160111857;155738977;508854440;90;0;2;11;0;2;0;247108384;2025-10-01;2023-08-29;2025-10-01;0;155635744.155635756.155708853.155738977.160111857
229614971;160123857;158252861;508866476;90;0;2;12;0;23;0;247107901;2025-10-01;2023-08-29;2025-10-01;0;155635744.155635756.155666734.157636263.158252861.160123857
229617799;160126685;158825311;508869304;90;0;2;27;0;37;0;247109441;2025-10-01;2023-08-29;2025-10-01;0;155635744.155635756.155635843.158825311.160126685
229629061;160137947;157970749;508880566;90;0;2;9;0;8;0;247107818;2025-10-01;2023-08-29;2025-10-01;0;155635744.155635756.155640335.157970749.160137947
229810580;160316295;158590803;528186399;90;0;2;7;0;6;0;247109200;2025-10-01;2023-09-12;2025-10-01;0;155635744.155635756.155815513.158590803.160316295
230012047;160502962;158590803;547107303;90;0;2;7;0;6;0;247109204;2025-10-01;2023-09-28;2025-10-01;0;155635744.155635756.155815513.158590803.160502962
230203745;160659261;158601142;566272069;90;0;2;7;0;7;0;247109353;2025-10-01;2023-10-11;2025-10-01;0;155635744.155635756.155815513.158601142.160659261
233103997;162955290;155738977;592575344;90;0;2;11;0;2;0;247108442;2025-10-01;2024-03-27;2025-10-01;0;155635744.155635756.155708853.155738977.162955290
231271432;161671220;158590803;576224155;90;0;2;7;0;6;0;247109224;2025-10-01;2023-12-11;2025-10-01;0;155635744.155635756.155815513.158590803.161671220
231326864;161720160;158601142;576371779;90;0;2;7;0;7;0;247109365;2025-10-01;2023-12-12;2025-10-01;0;155635744.155635756.155815513.158601142.161720160
233271691;163112025;158601142;593050580;90;0;2;7;0;7;0;247109366;2025-10-01;2024-04-08;2025-10-01;0;155635744.155635756.155815513.158601142.163112025
233338264;163171421;158601142;593219417;90;0;2;7;0;7;0;247109369;2025-10-01;2024-04-11;2025-10-01;0;155635744.155635756.155815513.158601142.163171421
235257487;164890904;157978645;600049423;90;0;2;3;0;8;0;247109648;2025-10-01;2024-08-27;2025-10-01;0;155635744.155635756.155815423.157978645.164890904
232521537;162392843;158032242;589476599;90;0;2;11;0;15;0;247108717;2025-10-01;2024-02-08;2025-10-01;0;155635744.155635756.155708853.158032242.162392843
