OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
160514540;08d28181-af00-48d3-99a5-57f471cbc665;689682084;1;11;2023-09-29;2025-09-29
160453508;d43ffe00-f0c6-45bb-bbff-bdbbd584951f;689721632;1;11;2023-09-25;2025-09-30
160309762;55d17739-66d0-4a58-bb7c-e60272fd0b13;689821555;1;11;2023-09-12;2025-10-01
160461699;80604a9c-dd48-47d4-befc-862535743063;689721540;1;11;2023-09-25;2025-09-30
160311748;33d86f0a-8cdf-4306-8bad-aadb975e69d3;689723828;1;11;2023-09-12;2025-09-30
173918251;73b9328d-f4c0-4844-828b-15d2864b3f13;689681983;1;11;2025-08-08;2025-09-29
163344527;d366387d-4f48-4644-832d-8f4a65effef4;689821473;1;10;2024-04-24;2025-10-01
160316366;b033ca85-ee51-46c0-ac47-c7ac22ac1fb7;689721675;1;11;2023-09-12;2025-09-30
160478678;0615c9cc-b12a-4b67-8616-db42e70c9599;689707929;1;11;2023-09-26;2025-09-30
161671341;655fd9b3-deac-40e8-904b-a8696f493d47;689820348;1;10;2023-12-11;2025-10-01
160526996;09d15b6f-1427-49bf-ad49-56eaee728033;689721518;1;11;2023-09-29;2025-09-30
163790655;a07e4e95-9c1b-4b11-bd28-a4e8f1ce73cd;689820560;1;10;2024-06-05;2025-10-01
170068114;c6bebb32-5acf-42cd-a72f-bd56c2150056;689821834;1;10;2025-02-06;2025-10-01
160500668;81a947c3-462b-4090-b2b7-9d02da1425f8;689784051;1;11;2023-09-28;2025-10-01
160338479;f0866e01-31db-4188-9ce8-7f13fa0c36ce;689681957;1;11;2023-09-14;2025-09-29
170081474;76b2df0a-09a6-42c2-81de-c364fe569ec6;689822344;1;10;2025-02-06;2025-10-01
170082624;c5cca658-0eb3-402a-9ab4-a2211256c27a;689822295;1;10;2025-02-06;2025-10-01
174170635;3d400ebd-ae0c-401b-9fa0-cfef4652269c;689723731;1;10;2025-08-21;2025-09-30
165884368;abfe0b1e-ebd7-4e88-af92-16f75706a007;689821249;1;10;2024-10-03;2025-10-01
160907143;6b53309f-e4ad-4d6f-a91e-19ac7bd67450;689816614;1;11;2023-10-30;2025-10-01
171279254;22f45fbc-cd34-4fca-aee8-2147aff091e0;689676288;1;11;2025-03-27;2025-09-29
162137619;4017b8a9-4a38-47f7-9dcb-ca772dbba68b;689820970;1;10;2024-01-22;2025-10-01
160620315;b1dde47a-f11c-48ff-a29b-a5b84d49aebc;689822353;1;10;2023-10-09;2025-10-01
170146475;33ef513b-6a9d-4fb4-bebf-23902a0c071a;689653676;1;11;2025-02-10;2025-09-29
162139903;abdc2bb7-c3ca-4c7b-952a-20a9562b035c;689822045;1;10;2024-01-22;2025-10-01
160770181;e00cd58f-9adf-494d-8b61-778302471c9d;689748468;1;10;2023-10-20;2025-09-30
167872667;a60cf145-a795-42fe-8023-7a4dc087c6b3;689821780;1;10;2024-11-25;2025-10-01
155789346;6de59183-08fe-4c51-b5c4-897e30a7de4d;689650775;1;10;2022-09-30;2025-09-29
171298185;7585b9e0-f50e-4156-881e-d5ca77d66b96;689802827;1;10;2025-03-27;2025-10-01
167876339;b62f8930-10c8-4222-a632-9c77604bcd09;689821699;1;10;2024-11-25;2025-10-01
168763336;c3131182-936f-4448-9dc7-25e58edfa334;689821240;1;9;2024-12-16;2025-10-01
173960141;530f701a-ed33-487f-b5ed-bb80e83a50b7;689819447;1;11;2025-08-12;2025-10-01
171317241;4957496a-6767-4fec-95cc-314600baaac4;689816635;1;11;2025-03-28;2025-10-01
170467468;b78d0271-24fe-4c8e-83ae-e15beb95bae3;689821286;1;10;2025-02-20;2025-10-01
166774964;405bb3ba-939b-4d96-93ca-6bcf7a9cc573;689721484;1;11;2024-10-28;2025-09-30
168763295;7b4fb71c-f4fe-4444-af1a-c0715c9dc6fc;689820567;1;9;2024-12-16;2025-10-01
168763298;fff8d5eb-de65-4071-a866-6f06f3b5bff7;689820570;1;9;2024-12-16;2025-10-01
168763302;452ee655-d2bb-4d71-92c6-fae891c7d731;689820574;1;9;2024-12-16;2025-10-01
168763304;32a15981-74a2-45dd-9ecb-2c115d4448b2;689820576;1;9;2024-12-16;2025-10-01
155674173;7451103e-8ae5-4824-b55b-ec3f8d7e67c7;689816488;1;10;2022-09-30;2025-10-01
155666692;23ce320d-170c-4b80-afde-0f192ed63af6;689751499;1;10;2022-09-30;2025-09-30
155692668;558a93f0-b2af-4320-bbd9-d24714eec043;689751482;1;10;2022-09-30;2025-09-30
155696177;31c7b609-b926-4f1e-b3c6-d2df359dd9d0;689802824;1;10;2022-09-30;2025-10-01
170274322;fda02827-ef54-4615-81c2-3362c7f961d3;689707877;1;11;2025-02-14;2025-09-30
169632299;0f3e2574-1ea8-4dae-8eec-1aba3e60be8f;689662942;1;10;2025-01-22;2025-09-29
155684654;33a62281-4820-494b-94ed-18c10de81383;689820352;1;8;2022-09-30;2025-10-01
168766136;5f737de9-e079-4f58-b4dd-0e64471ce6a9;689821241;1;9;2024-12-16;2025-10-01
166008116;cf1ecfb2-cf0f-40e2-8199-600b88f0e4ee;689821012;1;9;2024-10-08;2025-10-01
160684245;6c7a7d3f-faeb-4616-8720-131217bc3adf;689723703;1;11;2023-10-13;2025-09-30
158614398;c909f74b-8350-4895-be1a-4e48a63ddb40;689820243;1;8;2023-04-17;2025-10-01
170555685;c31a1387-f1da-45c3-b568-2d453e0925c9;689676290;1;11;2025-02-25;2025-09-29
155721374;cbc850c7-f0e6-4965-8769-76fd35db0f6e;689667683;1;10;2022-09-30;2025-09-29
168772293;e3e719cc-f725-458b-badd-284fe1ad2ff7;689821546;1;11;2024-12-16;2025-10-01
