ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
22214657;1441777;3950418;689675860;10;91002000013001404;2025-09-29;2015-07-22;2025-09-29
1644553617;1441777;689675860;0;13;356074081010000001411;2025-09-29;2025-09-29;2079-06-06
1644566670;174935790;689680272;0;7;35616403;2025-09-29;2025-09-29;2079-06-06
1644566672;174935790;689680272;0;2;9108;2025-09-29;2025-09-29;2079-06-06
1644566674;174935790;689680272;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644566676;174935790;689680272;0;21;35616403;2025-09-29;2025-09-29;2079-06-06
1644782715;174962652;689741234;0;2;9109;2025-09-30;2025-09-30;2079-06-06
1644782717;174962652;689741234;0;4;9104;2025-09-30;2025-09-30;2079-06-06
1644782719;174962652;689741234;0;7;35604404111;2025-09-30;2025-09-30;2079-06-06
1644782721;174962652;689741234;0;15;10;2025-09-30;2025-09-30;2079-06-06
1644782723;174962652;689741234;0;21;35604404;2025-09-30;2025-09-30;2079-06-06
1644980715;174986365;689810216;0;2;9108;2025-10-01;2025-10-01;2079-06-06
1644980717;174986365;689810216;0;7;35616403;2025-10-01;2025-10-01;2079-06-06
1644980719;174986365;689810216;0;15;1;2025-10-01;2025-10-01;2079-06-06
1644980721;174986365;689810216;0;21;35616403;2025-10-01;2025-10-01;2079-06-06
1644992108;174988302;689812952;0;7;35647470;2025-10-01;2025-10-01;2079-06-06
1644992110;174988302;689812952;0;15;388;2025-10-01;2025-10-01;2079-06-06
1644992112;174988302;689812952;0;21;35647470;2025-10-01;2025-10-01;2079-06-06
