ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
12240406;21820022;6c4c09f6-a0f0-411c-a9ec-4d42d0c93034;34059120;1;2;10;0;111818195;2025-10-01;2015-07-01;2025-10-01;0;0
111794343;174914392;3c044a75-4197-4ec7-b011-56502a03c52c;689635339;26;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
52135467;99659648;ccc3f084-6938-42ab-9402-a264251d67cf;165203113;8;1;10;0;111794864;2025-09-29;2020-12-17;2025-09-29;0;0
111798157;174925108;42cb3782-bb93-4aff-8bd0-4ec85a7cdded;689654282;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798159;174925110;95357ab6-97a7-40d6-becc-2a3915f51756;689654284;4а;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798161;174925112;70807e42-3516-400f-b4e3-e096b6b03391;689654286;8;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798163;174925114;aa703c14-64bc-4a50-bc8c-4e7fba7ebe7c;689654288;5;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798165;174925117;e913849a-5f61-456c-867a-5cbfdc3fbd78;689654291;3;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798167;174925119;3159fa05-9e5a-40b1-8729-3c8b0e7de556;689654293;8;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798169;174925121;f06f0a2f-85e0-4bed-9565-77e92b4ea424;689654295;6;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798171;174925123;79956706-32f6-48c2-9b13-a137ca82b797;689654297;8;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798173;174925125;457d8a8a-d862-4403-adaa-5559849a3487;689654299;11;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798175;174925127;94badd48-112a-458a-8956-46cffccdc2cc;689654301;13;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798177;174925129;3ece8ba3-aad6-48cb-bb61-1342d987b457;689654303;1а;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798179;174925131;2769e7ec-ebb1-4bb4-8d5c-29d4a22a1dec;689654305;3;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798181;174925133;0d798575-eb5f-430e-ba45-3bbcee892394;689654307;5а;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798183;174925135;fe302648-6e41-4d2d-9084-3fddb16ce5fc;689654309;10;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798185;174925137;2e14d2cc-7341-4374-a5ad-aef0ea6baeb3;689654311;14;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798190;174925142;b328ee39-d5af-4e42-aff9-d8a7ed0d1319;689654319;5;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798192;174925153;650b47ed-f781-4a58-8c00-a0bf31247457;689654358;4;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798194;174925155;c4b65b04-a1a2-4ecf-8887-956f44cff0cb;689654360;8;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798196;174925157;80da4232-e5a7-494a-a30f-ca07baece46b;689654362;13;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798198;174925159;c248c32a-6f14-444e-9dde-33b5033865d4;689654364;16;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798200;174925161;3d22b1a2-5c3a-43e6-b185-143aaee5ee44;689654366;22;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798202;174925163;7d6a0d44-05b7-42dc-b556-6323646ff143;689654368;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798204;174925165;18f6fa74-45e3-4f74-9dfc-e454afdf3725;689654370;12;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798596;174925575;01d18476-7bc1-4bb6-802d-bd0053807f0f;689654952;5;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798598;174925577;c08e3e65-e60b-4b83-8088-298c261c6773;689654954;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798600;174925579;54aa6a71-126a-4e10-83b4-195e7d6ef562;689654956;10а;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798602;174925581;62f021b8-8bc3-4bce-9c09-a0d87b15f782;689654958;13;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798604;174925583;86798210-cf09-4b16-9d3f-ac80693fc4f5;689654960;16;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
