ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1361807044;57750959;487906728;689735699;8;90:01:120101:318;2025-09-30;2022-11-25;2025-09-30
1361884942;33711324;487984624;689807829;8;90:05:140101:19;2025-10-01;2022-11-25;2025-10-01
1463757105;18526586;567166788;689809176;8;90:01:120301:391;2025-10-01;2023-10-17;2025-10-01
1464256639;21151762;567575539;689744471;8;90:08:190101:948;2025-09-30;2023-10-18;2025-09-30
1485355571;13231750;575390400;689787631;8;90:05:040401:75;2025-10-01;2023-11-29;2025-10-01
1462376766;77057655;566024124;689744706;8;90:01:120101:2266;2025-09-30;2023-10-11;2025-09-30
1503399848;66164772;590189933;689682747;8;90:01:140101:85;2025-09-29;2024-02-13;2025-09-29
1503401770;54765706;590191849;689682162;8;90:01:140301:886;2025-09-29;2024-02-13;2025-09-29
1503404508;12552108;590194576;689744416;8;90:01:140101:1346;2025-09-30;2024-02-13;2025-09-30
1503404291;72187645;590194362;689816331;8;90:01:140101:2057;2025-10-01;2024-02-13;2025-10-01
1503405741;54765489;590195811;689682208;8;90:01:140301:727;2025-09-29;2024-02-13;2025-09-29
1520987663;55002488;599426925;689675878;8;90:01:020401:849;2025-09-29;2024-08-08;2025-09-29
1644416797;174914389;689635335;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416799;174914389;689635335;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416801;174914389;689635335;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644416803;174914389;689635335;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416808;174914391;689635338;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416810;174914391;689635338;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416815;174914391;689635338;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644416817;174914391;689635338;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416833;174914394;689635342;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416835;174914394;689635342;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416839;174914394;689635342;0;15;94;2025-09-29;2025-09-29;2079-06-06
1644416841;174914394;689635342;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644424657;174915584;689637673;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644424659;174915584;689637673;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644424661;174915584;689637673;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644424663;174915584;689637673;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644424665;174915585;689637674;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644424667;174915585;689637674;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644424669;174915585;689637674;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644424671;174915585;689637674;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644424675;174915586;689637676;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644424677;174915586;689637676;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644424679;174915586;689637676;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644424681;174915586;689637676;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644424691;174915588;689637679;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644424693;174915588;689637679;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644424695;174915588;689637679;0;8;90:19:010102:334;2025-09-29;2025-09-29;2079-06-06
1644424697;174915588;689637679;0;13;357150000010000002030022000000000;2025-09-29;2025-09-29;2079-06-06
1460389246;77028408;564147066;689637806;8;90:08:140101:1103;2025-09-29;2023-10-09;2025-09-29
1485277566;26642909;575350894;689637812;8;90:08:140201:380;2025-09-29;2023-11-29;2025-09-29
1508711852;83589858;592903164;689637879;8;90:08:140301:373;2025-09-29;2024-04-03;2025-09-29
1399539367;53633424;508221728;689644738;8;90:08:060101:508;2025-09-29;2023-08-21;2025-09-29
1644448539;174919038;689644748;0;1;9109;2025-09-29;2025-09-29;2079-06-06
1644448541;174919038;689644748;0;3;9104;2025-09-29;2025-09-29;2079-06-06
1644448543;174919038;689644748;0;6;35204000263;2025-09-29;2025-09-29;2079-06-06
1644448545;174919038;689644748;0;8;90:01:180101:4035;2025-09-29;2025-09-29;2079-06-06
1644448547;174919038;689644748;0;13;356044841010000000820048000000000;2025-09-29;2025-09-29;2079-06-06
1401503985;6154314;509125481;689644739;8;90:08:060101:616;2025-09-29;2023-09-04;2025-09-29
1361878659;23909457;487978342;689644745;8;90:08:060201:779;2025-09-29;2022-11-25;2025-09-29
1644461765;66544028;689647427;0;8;90:08:090101:1522;2025-09-29;2025-09-29;2079-06-06
1644474584;174922610;689650395;0;2;9109;2025-09-29;2025-09-29;2079-06-06
1644474586;174922610;689650395;0;7;35607413101;2025-09-29;2025-09-29;2079-06-06
1644474601;174922610;689650395;0;15;111;2025-09-29;2025-09-29;2079-06-06
1644474605;174922610;689650395;0;21;35607413;2025-09-29;2025-09-29;2079-06-06
1644474609;174922616;689650401;0;2;9109;2025-09-29;2025-09-29;2079-06-06
1644474611;174922616;689650401;0;7;35607413101;2025-09-29;2025-09-29;2079-06-06
1644474614;174922616;689650401;0;15;112;2025-09-29;2025-09-29;2079-06-06
1644474618;174922616;689650401;0;21;35607413;2025-09-29;2025-09-29;2079-06-06
1644474621;174922619;689650404;0;2;9109;2025-09-29;2025-09-29;2079-06-06
1644474623;174922619;689650404;0;7;35607413101;2025-09-29;2025-09-29;2079-06-06
1644474724;174922635;689650420;0;2;9109;2025-09-29;2025-09-29;2079-06-06
1644474726;174922635;689650420;0;7;35607413101;2025-09-29;2025-09-29;2079-06-06
1644474736;174922635;689650420;0;15;98;2025-09-29;2025-09-29;2079-06-06
1644474739;174922635;689650420;0;21;35607413;2025-09-29;2025-09-29;2079-06-06
1644474743;174922639;689650424;0;2;9109;2025-09-29;2025-09-29;2079-06-06
1644474745;174922639;689650424;0;7;35607413101;2025-09-29;2025-09-29;2079-06-06
1644474748;174922639;689650424;0;15;99;2025-09-29;2025-09-29;2079-06-06
1644474752;174922639;689650424;0;21;35607413;2025-09-29;2025-09-29;2079-06-06
1644474755;174922642;689650427;0;2;9109;2025-09-29;2025-09-29;2079-06-06
