ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
249619884;174938932;1442171;689687682;35712000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252037.1435682.1442411.1442171.174938932
249641634;174957161;26974547;689726745;35729000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;1434425.95252043.1435569.1439567.26974547.174957161
249641797;174957324;1451130;689727900;35635425101;0;0;2025-09-30;2025-09-30;2079-06-06;1;1434425.95251929.95251937.1451863.1451130.174957324
100087914;6221611;1458402;10992465;35647470131;0;0;2025-09-30;2014-04-22;2079-06-06;0;1434425.95251985.95252003.1456835.1458402.6221611
100125981;26817030;1457261;41383415;35631450101;0;0;2025-10-01;2014-04-22;2079-06-06;0;1434425.95251909.95251924.1452142.1457261.26817030
100713325;57899888;1461393;86553387;35647438101;0;0;2025-10-01;2014-04-22;2079-06-06;0;1434425.95251985.95251995.1452813.1461393.57899888
100713920;57901748;1461393;86555831;35647438101;0;0;2025-10-01;2014-04-22;2079-06-06;0;1434425.95251985.95251995.1452813.1461393.57901748
246696853;172286755;1443255;646206774;35709000001;0;249633248;2025-09-30;2025-05-19;2025-09-30;0;1434425.95252036.1435316.1443255.172286755
249587496;174914390;52670844;689635336;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.1433273.52670844.174914390
249587500;174914394;1443958;689635342;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.1443958.174914394
249587510;174914404;174748728;689635362;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748728.174914404
249587512;174914406;174748728;689635364;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748728.174914406
249587514;174914408;174748728;689635367;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748728.174914408
249587516;174914410;174748728;689635369;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748728.174914410
249587522;174914416;174748732;689635378;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748732.174914416
249587524;174914418;174748732;689635380;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748732.174914418
249587495;174914389;103155773;689635335;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.98011795.103155773.174914389
249587499;174914393;1443958;689635341;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.1443958.174914393
249587502;174914396;174748736;689635350;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748736.174914396
249587504;174914398;174748736;689635352;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748736.174914398
249587506;174914400;174748736;689635355;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748736.174914400
249587508;174914402;174748736;689635357;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748736.174914402
249587519;174914413;174748731;689635374;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748731.174914413
249587521;174914415;174748731;689635376;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748731.174914415
249587541;174914435;174748741;689635402;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748741.174914435
249587527;174914421;174748732;689635384;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748732.174914421
249587529;174914423;174748732;689635386;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748732.174914423
249587531;174914425;174748732;689635389;35715000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;1434425.95252038.1434506.174723432.174748732.174914425
