ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
562721909;93953281;136879876;689675999;8;90:03:090101:2570;2025-09-29;2019-10-07;2025-09-29
570043213;94702993;137654796;689716261;8;90:14:101101:499;2025-09-30;2019-06-20;2025-09-30
1644416770;174914385;689635329;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416772;174914385;689635329;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416774;174914385;689635329;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644416793;174914385;689635329;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416822;174914393;689635341;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416824;174914393;689635341;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416829;174914393;689635341;0;15;61;2025-09-29;2025-09-29;2079-06-06
1644416831;174914393;689635341;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416848;174914395;689635348;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416850;174914395;689635348;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416854;174914395;689635348;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644416856;174914395;689635348;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416858;174914396;689635350;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416860;174914396;689635350;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416862;174914396;689635350;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644416864;174914396;689635350;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416866;174914397;689635351;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416868;174914397;689635351;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416870;174914397;689635351;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644416872;174914397;689635351;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416874;174914398;689635352;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644416876;174914398;689635352;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644416878;174914398;689635352;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644416880;174914398;689635352;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416882;174914399;689635354;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416884;174914399;689635354;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416886;174914399;689635354;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644416888;174914399;689635354;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416892;174914400;689635355;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416894;174914400;689635355;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416896;174914400;689635355;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644416898;174914400;689635355;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416900;174914401;689635356;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416902;174914401;689635356;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416904;174914401;689635356;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644416906;174914401;689635356;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416908;174914402;689635357;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416910;174914402;689635357;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416913;174914402;689635357;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644416915;174914402;689635357;0;21;35715000;2025-09-29;2025-09-29;2079-06-06
1644416991;174914412;689635373;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416917;174914403;689635360;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644416919;174914403;689635360;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644416921;174914403;689635360;0;8;90:19:010117:3216;2025-09-29;2025-09-29;2079-06-06
1644416923;174914403;689635360;0;13;357150000010914000110001000000000;2025-09-29;2025-09-29;2079-06-06
1644416926;174914404;689635362;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644416928;174914404;689635362;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644416930;174914404;689635362;0;8;90:19:010117:3145;2025-09-29;2025-09-29;2079-06-06
1644416932;174914404;689635362;0;13;357150000010914000110002000000000;2025-09-29;2025-09-29;2079-06-06
1644416934;174914405;689635363;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644416936;174914405;689635363;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644416938;174914405;689635363;0;8;90:19:010117:3144;2025-09-29;2025-09-29;2079-06-06
1644416940;174914405;689635363;0;13;357150000010914000110003000000000;2025-09-29;2025-09-29;2079-06-06
1644416942;174914406;689635364;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644416944;174914406;689635364;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644416946;174914406;689635364;0;8;90:19:010117:3119;2025-09-29;2025-09-29;2079-06-06
1644416948;174914406;689635364;0;13;357150000010914000110004000000000;2025-09-29;2025-09-29;2079-06-06
1644416950;174914407;689635366;0;2;9111;2025-09-29;2025-09-29;2079-06-06
1644416952;174914407;689635366;0;7;35715000001;2025-09-29;2025-09-29;2079-06-06
1644416954;174914407;689635366;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644416956;174914407;689635366;0;13;357150000010914000110005000000000;2025-09-29;2025-09-29;2079-06-06
1644416958;174914408;689635367;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644416960;174914408;689635367;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644416962;174914408;689635367;0;8;90:19:010117:3227;2025-09-29;2025-09-29;2079-06-06
1644416964;174914408;689635367;0;13;357150000010914000110006000000000;2025-09-29;2025-09-29;2079-06-06
1644416966;174914409;689635368;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644416968;174914409;689635368;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644416970;174914409;689635368;0;8;90:19:010117:3141;2025-09-29;2025-09-29;2079-06-06
1644416972;174914409;689635368;0;13;357150000010914000110007000000000;2025-09-29;2025-09-29;2079-06-06
1644416974;174914410;689635369;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644416976;174914410;689635369;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644416978;174914410;689635369;0;8;90:19:010117:3130;2025-09-29;2025-09-29;2079-06-06
1644416980;174914410;689635369;0;13;357150000010914000110008000000000;2025-09-29;2025-09-29;2079-06-06
1644416982;174914411;689635370;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644416984;174914411;689635370;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644416986;174914411;689635370;0;8;90:19:010117:3205;2025-09-29;2025-09-29;2079-06-06
1644416988;174914411;689635370;0;13;357150000010914000110009000000000;2025-09-29;2025-09-29;2079-06-06
1644417022;174914416;689635378;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644417024;174914416;689635378;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644417026;174914416;689635378;0;8;90:19:010117:3177;2025-09-29;2025-09-29;2079-06-06
1644417028;174914416;689635378;0;13;357150000010914000510001000000000;2025-09-29;2025-09-29;2079-06-06
1644417030;174914417;689635379;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644417032;174914417;689635379;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644417034;174914417;689635379;0;8;90:19:010117:3142;2025-09-29;2025-09-29;2079-06-06
1644417036;174914417;689635379;0;13;357150000010914000510002000000000;2025-09-29;2025-09-29;2079-06-06
1644417038;174914418;689635380;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644417040;174914418;689635380;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644417042;174914418;689635380;0;8;90:19:010117:3140;2025-09-29;2025-09-29;2079-06-06
1644417044;174914418;689635380;0;13;357150000010914000510003000000000;2025-09-29;2025-09-29;2079-06-06
1644417046;174914419;689635382;0;1;9111;2025-09-29;2025-09-29;2079-06-06
1644417048;174914419;689635382;0;6;35412000000;2025-09-29;2025-09-29;2079-06-06
1644417050;174914419;689635382;0;8;90:19:010117:3136;2025-09-29;2025-09-29;2079-06-06
1644417053;174914419;689635382;0;13;357150000010914000510004000000000;2025-09-29;2025-09-29;2079-06-06
1644417055;174914420;689635383;0;1;9111;2025-09-29;2025-09-29;2079-06-06
