CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689642679;174917864;8731d4f3-5354-4ace-b203-df3596d16981;10;27409666;2025-09-29
689642693;174917866;d411df7a-6358-41d0-9cc9-f33669c2cc16;10;27409670;2025-09-29
689642699;174917868;21d43801-c363-4593-89bd-10d72c292b5d;10;27409673;2025-09-29
689642717;174917873;11dfcb78-dc4b-4ca4-b9ec-e5a74347938f;10;27409679;2025-09-29
689642825;7660440;7572bb94-56d6-46e3-918d-40a0a86d51af;24;27409696;2025-09-29
689642856;94484203;cb2892e3-f968-4a30-acd6-74d022181050;50;27409707;2025-09-29
689642874;101356727;c312c74b-f701-4d68-b36e-cb24988cea3f;50;27409707;2025-09-29
689642967;174918050;dfa07af9-f68a-4455-beec-00211810724c;10;27409718;2025-09-29
689642972;157606270;ecf63c10-235f-46bc-8a5d-1f9e44e1493b;50;27409719;2025-09-29
689642976;174918054;e2d88ebb-eb55-4bbc-9091-29b128b1bcd7;10;27409721;2025-09-29
689642979;101846653;d49ef2a9-ddd5-4c04-ba9d-ddb7d0423257;20;27409724;2025-09-29
689645425;86171336;829f75fa-127b-4080-af1f-3427b2103937;60;27409731;2025-09-29
689645427;174919454;c5b0bf42-197a-4c54-988d-6c166e172a52;61;27409731;2025-09-29
689645469;103686012;1040e8c6-4f42-4334-b079-aeab63a6989e;20;27409731;2025-09-29
689645473;174919498;345995b6-804b-4657-884d-533025d79f63;10;27409731;2025-09-29
689645510;87286161;65afffac-947f-45c0-9e65-1477a2136303;20;27410178;2025-09-29
689645518;174919539;d358e0cf-c528-48db-a889-c63e79260f69;10;27410179;2025-09-29
689645522;101436715;66e2c0cd-a657-43dd-8447-db56302f1669;50;27410180;2025-09-29
689648305;174798160;cdb55d7c-7369-4192-a303-e7d57a7537bd;50;27410670;2025-09-29
689649344;174921977;df27ccf9-26e1-4db0-a1b7-70de8a2b8611;61;27410826;2025-09-29
689649346;174921979;94080e2a-6ff4-4fd2-bdaa-0ac9394c0f5b;61;27410826;2025-09-29
689681091;161514945;ec9e2019-132d-4586-ad3b-a4ab7f95345b;30;27415042;2025-09-29
689683951;86531035;f365c639-2e61-4dec-99d1-bbaed52b2f34;50;27415374;2025-09-29
689684141;174937860;c3d7407f-c35c-4c17-839c-423225dfe3be;61;27415378;2025-09-29
689684167;174937864;6ea0efea-4d68-4c9f-8509-9fe016b591ca;10;27415378;2025-09-29
689697102;174943763;6466f840-31b6-4fc6-b63f-ed7d4273b53b;10;27417578;2025-09-29
689701168;174807214;6fe805a5-319f-424b-a647-d002395b486d;29;;2025-09-30
689745018;174964702;3b441e3e-eedf-45b6-8400-5b2798c4f91a;10;27426245;2025-09-30
689745174;174964774;c3b1f9dd-5884-4d67-9fb8-e3bc0305389c;10;27426299;2025-09-30
689745328;158459985;572f42f5-0343-4ab9-af73-7fa707a145fe;50;27426339;2025-09-30
689745956;174965365;b3491d69-64a4-40b0-b3af-eef2cfca0963;10;27426441;2025-09-30
689746032;174965392;c525dd5d-69d1-4f30-8a35-45611707459b;10;27426467;2025-09-30
689752184;3020021;750bf74f-8f13-4ae3-ade3-b4dc9dd509f8;50;27427854;2025-09-30
689755423;174968893;db818544-b1f1-426f-b491-25fcbbcf3f9b;10;27428611;2025-09-30
689803609;89665631;9f990fd5-397f-4b6f-ac6e-40ff1b2230e8;60;27434715;2025-10-01
689803611;174983591;c095138a-b801-43c3-9f95-c4c932e9bb8c;61;27434715;2025-10-01
689803702;88442478;53bae8f0-5171-43f6-9a81-829bc2575a24;30;27434738;2025-10-01
689803723;174983643;3ccaca0e-7ec3-4876-b96e-3a84daf89d7c;10;27434738;2025-10-01
689803754;174983656;7f8a1ec9-8d04-46e8-a06f-69f10b794e35;10;27434738;2025-10-01
689788230;89446122;646df8a4-f742-46be-a3ec-d64a878d0361;50;27431819;2025-10-01
689788239;101764364;e95b1756-f0c0-4bde-9e1a-f68a0e8706b0;50;27431827;2025-10-01
689788257;86765336;3c208d0d-688b-43d8-9645-2af103e12c1d;20;27431841;2025-10-01
689788261;174975577;3870c178-7861-49be-a8ec-0a71e609c3b7;10;27431844;2025-10-01
689788288;174975579;198457f3-334c-4627-9620-4756b48799ea;10;27431850;2025-10-01
689791492;174977203;27f5a244-e57b-4c19-a645-62cb1587f1c9;10;27432532;2025-10-01
689791610;86943632;3d6152bc-3544-44a1-9532-dd090e658ec3;20;27432554;2025-10-01
689791628;65255852;ece5f981-4d90-46e3-8674-25f26562cb4d;20;27432554;2025-10-01
689791736;174977396;1c057bd9-8757-4772-b873-c4a420856619;10;27432572;2025-10-01
