ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
30940627;3020021;6325856;689752184;15;6;2025-09-30;2018-12-27;2025-09-30
334891052;59490156;88854752;689642872;15;76;2025-09-29;2019-11-27;2025-09-29
1644439193;174917864;689642679;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644439195;174917864;689642679;0;6;67263000000;2025-09-29;2025-09-29;2079-06-06
1644439197;174917864;689642679;0;8;91:01:002001:1255;2025-09-29;2025-09-29;2079-06-06
1644439199;174917864;689642679;0;13;673020000000000038420038000000000;2025-09-29;2025-09-29;2079-06-06
1644439175;174917862;689642674;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644439177;174917862;689642674;0;6;67263000023;2025-09-29;2025-09-29;2079-06-06
1644439179;174917862;689642674;0;8;91:01:037001:1822;2025-09-29;2025-09-29;2079-06-06
1644439181;174917862;689642674;0;13;673060001670000002920008000000000;2025-09-29;2025-09-29;2079-06-06
1644439220;174917866;689642693;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644439222;174917866;689642693;0;6;67269000000;2025-09-29;2025-09-29;2079-06-06
1644439224;174917866;689642693;0;8;91:04:004001:1363;2025-09-29;2025-09-29;2079-06-06
1644439226;174917866;689642693;0;13;673140000000000121120018000000000;2025-09-29;2025-09-29;2079-06-06
1644439240;174917868;689642699;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644439242;174917868;689642699;0;6;67269000000;2025-09-29;2025-09-29;2079-06-06
1644439244;174917868;689642699;0;8;91:04:002011:893;2025-09-29;2025-09-29;2079-06-06
1644439246;174917868;689642699;0;13;673140000000000005520235000000000;2025-09-29;2025-09-29;2079-06-06
1644439278;174917871;689642711;0;6;67264000000;2025-09-29;2025-09-29;2079-06-06
1644439280;174917871;689642711;0;8;91:02:003003:346;2025-09-29;2025-09-29;2079-06-06
1644439282;174917871;689642711;0;2;9200;2025-09-29;2025-09-29;2079-06-06
1644439284;174917871;689642711;0;13;673120000000000021220257000000000;2025-09-29;2025-09-29;2079-06-06
1644439298;174917873;689642717;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644439253;174917869;689642704;0;2;9200;2025-09-29;2025-09-29;2079-06-06
1644439255;174917869;689642704;0;7;67302000;2025-09-29;2025-09-29;2079-06-06
1644439257;174917869;689642704;0;15;57;2025-09-29;2025-09-29;2079-06-06
1644439259;174917869;689642704;0;21;67302000;2025-09-29;2025-09-29;2079-06-06
1644439300;174917873;689642717;0;6;67264000000;2025-09-29;2025-09-29;2079-06-06
1644439302;174917873;689642717;0;8;91:02:006019:1471;2025-09-29;2025-09-29;2079-06-06
1644439304;174917873;689642717;0;13;673100000002378000020065000000000;2025-09-29;2025-09-29;2079-06-06
1644439664;174917920;689642811;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644439666;174917920;689642811;0;6;67263000000;2025-09-29;2025-09-29;2079-06-06
1644439668;174917920;689642811;0;8;91:01:005013:403;2025-09-29;2025-09-29;2079-06-06
1644439670;174917920;689642811;0;13;673020000002199000120023000000000;2025-09-29;2025-09-29;2079-06-06
1644439945;59490156;689642872;0;15;311;2025-09-29;2025-09-29;2079-06-06
724442943;101356727;194294241;689642874;15;218;2025-09-29;2021-05-27;2025-09-29
1644439951;101356727;689642874;0;13;673020000001828000130312000000010;2025-09-29;2025-09-29;2079-06-06
1644439952;101356618;689642875;0;15;313;2025-09-29;2025-09-29;2079-06-06
1644440370;157606270;689642972;0;15;212;2025-09-29;2025-09-29;2079-06-06
1644440392;174918054;689642976;0;1;9200;2025-09-29;2025-09-29;2079-06-06
1644440394;174918054;689642976;0;6;67269000000;2025-09-29;2025-09-29;2079-06-06
1644440396;174918054;689642976;0;8;91:04:002018:1666;2025-09-29;2025-09-29;2079-06-06
1644440398;174918054;689642976;0;13;673140000001355168420537000000000;2025-09-29;2025-09-29;2079-06-06
1644440429;43093216;689642986;0;13;673140000000000038220009000000010;2025-09-29;2025-09-29;2079-06-06
1644451963;103686012;689645469;0;13;673140000000000038230082000000010;2025-09-29;2025-09-29;2079-06-06
1644451981;174919497;689645472;0;2;9200;2025-09-29;2025-09-29;2079-06-06
1644451983;174919497;689645472;0;7;67314000;2025-09-29;2025-09-29;2079-06-06
1644451985;174919497;689645472;0;15;129;2025-09-29;2025-09-29;2079-06-06
1644451987;174919497;689645472;0;21;67314000;2025-09-29;2025-09-29;2079-06-06
1644451989;174919498;689645473;0;2;9200;2025-09-29;2025-09-29;2079-06-06
1644451991;174919498;689645473;0;7;67314000;2025-09-29;2025-09-29;2079-06-06
1644451993;174919498;689645473;0;15;130;2025-09-29;2025-09-29;2079-06-06
1644451995;174919498;689645473;0;21;67314000;2025-09-29;2025-09-29;2079-06-06
1644451997;174919499;689645474;0;2;9200;2025-09-29;2025-09-29;2079-06-06
1644451999;174919499;689645474;0;7;67314000;2025-09-29;2025-09-29;2079-06-06
1644452001;174919499;689645474;0;15;131;2025-09-29;2025-09-29;2079-06-06
1644452003;174919499;689645474;0;21;67314000;2025-09-29;2025-09-29;2079-06-06
1644452385;174919539;689645518;0;2;9200;2025-09-29;2025-09-29;2079-06-06
1644452387;174919539;689645518;0;7;67310000;2025-09-29;2025-09-29;2079-06-06
